n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
232,379,985,384,129,197,721,134.34,17.28,16.44
44,87,140,253,830,518,214,168.81,33.65,35.87999999999998
410,657,31,470,499,464,399,137.05,19.82,19.92
506,586,196,918,850,412,91,120.54,18.17,18.680000000000003
496,239,777,20,717,273,532,157.82,25.55,25.71999999999999
417,485,923,933,388,743,116,107.79,16.91,16.280000000000005
678,264,99,833,64,395,635,127.75,20.25,20.96
849,386,110,676,59,346,240,137.12,20.56,21.519999999999996
707,88,509,925,665,529,923,147.0,21.49,21.360000000000003
212,595,827,145,621,65,552,141.36,21.65,21.760000000000005
968,38,500,718,198,151,968,135.18,19.01,21.560000000000006
880,592,467,746,598,902,455,121.5,14.53,15.440000000000001
292,570,365,875,899,436,138,137.29,19.08,19.55999999999999
162,782,615,99,544,706,321,135.55,17.65,18.52
718,365,972,659,863,506,515,125.4,18.49,18.04
638,202,316,153,364,541,291,146.45,23.22,22.52
522,672,73,827,924,877,519,135.42,19.99,19.439999999999998
934,718,558,225,352,249,929,138.6,19.23,18.72
12,302,351,225,273,34,433,161.77,30.96,30.959999999999994
260,385,305,854,722,912,426,105.34,15.03,15.200000000000003
179,673,405,119,170,954,679,157.55,23.78,23.799999999999994
872,998,26,206,996,784,164,152.63,21.15,21.480000000000004
307,119,13,815,782,389,350,160.9,26.45,27.120000000000005
856,174,582,446,926,237,142,136.41,17.25,18.16
419,577,456,416,427,82,602,131.21,18.54,19.6
71,295,734,97,34,87,679,164.76,27.96,29.040000000000006
109,782,533,539,368,157,827,147.59,23.58,25.999999999999986
958,517,499,725,152,618,64,127.83,17.32,17.64
194,17,934,143,348,395,674,144.94,28.25,27.4
587,123,761,306,359,333,988,163.17,25.63,24.479999999999993
374,3,661,855,510,215,62,176.26,62.22,61.20000000000005
896,632,33,904,988,889,777,135.33,22.19,22.959999999999997
827,836,593,176,182,345,993,130.24,17.21,17.64
441,452,123,85,205,619,229,143.86,21.73,21.160000000000004
509,830,484,809,158,390,124,151.53,20.99,21.44
111,594,738,463,663,129,736,148.53,26.44,32.319999999999965
450,526,742,92,732,950,482,143.89,19.03,20.279999999999994
577,403,836,369,466,230,52,137.41,19.81,19.76
202,50,456,114,110,216,742,147.55,22.43,23.880000000000006
4,725,615,626,928,23,670,186.53,39.41,40.43999999999999
372,849,442,540,95,991,766,128.46,20.37,19.6
773,614,514,838,722,582,205,141.76,18.21,20.07999999999999
513,234,331,538,393,761,532,126.13,21.94,20.439999999999994
662,200,6,296,627,303,930,174.93,38.42,39.71999999999999
81,761,328,949,928,412,229,145.32,20.27,20.6
647,303,81,560,429,762,378,132.4,16.66,17.480000000000004
826,964,758,870,328,528,309,132.51,14.94,16.2
640,851,980,365,802,916,302,130.28,14.26,14.2
667,866,111,200,496,378,387,132.59,19.26,20.39999999999999
981,599,867,940,319,210,297,133.91,19.63,20.23999999999999
406,627,392,862,941,700,536,128.98,17.94,19.599999999999994
958,707,745,364,840,692,619,113.1,15.57,16.12
599,370,689,437,200,501,842,121.55,17.65,17.48
541,519,858,83,275,167,70,118.51,18.92,19.880000000000003
510,750,887,277,429,798,119,130.87,19.58,19.72
639,849,844,280,298,280,823,94.05,12.88,15.36
845,516,275,283,909,647,421,139.67,18.18,19.839999999999996
250,370,251,988,253,809,516,115.85,16.2,15.96
765,468,255,239,832,830,610,146.69,19.25,19.280000000000005
537,849,200,376,508,799,108,158.49,24.0,25.07999999999999
812,114,397,86,670,174,798,141.22,19.42,20.160000000000004
580,437,942,46,805,931,140,139.02,27.88,26.239999999999995
22,624,195,701,270,89,97,160.29,27.98,27.959999999999997
473,470,889,685,927,289,947,125.68,15.84,15.96
579,94,129,621,366,885,668,145.82,23.84,23.239999999999995
67,327,809,39,855,941,85,147.7,27.34,27.880000000000003
879,140,669,823,375,848,76,120.51,17.41,17.240000000000002
834,236,742,37,614,809,326,140.75,23.51,23.11999999999999
227,303,761,366,990,334,67,146.61,19.28,19.680000000000003
532,921,116,938,738,624,356,149.25,23.98,23.96
444,163,160,261,914,398,152,148.18,22.3,23.400000000000002
441,745,800,66,102,547,227,146.33,20.99,21.519999999999992
84,300,947,180,345,767,203,151.37,21.89,24.000000000000007
111,968,52,58,569,805,753,146.68,26.58,27.919999999999984
181,844,174,572,654,334,302,129.16,20.76,20.6
903,248,753,512,490,113,576,141.1,17.19,17.160000000000004
735,958,84,140,953,767,135,174.73,25.75,25.68000000000001
230,334,223,417,178,173,138,141.76,20.25,20.720000000000002
780,450,62,711,908,459,599,142.1,22.48,22.799999999999983
683,628,294,424,833,958,447,136.79,19.66,18.36
592,703,918,754,944,380,708,129.16,21.92,21.919999999999995
577,727,501,889,375,752,864,123.74,16.68,16.479999999999997
798,540,191,316,272,696,968,116.96,14.84,15.680000000000001
487,853,130,859,857,283,511,119.92,19.45,19.039999999999992
650,994,518,546,807,959,524,141.51,24.72,25.439999999999984
296,826,222,582,539,400,785,106.1,15.47,15.520000000000003
138,844,500,662,487,127,298,132.53,17.77,17.6
403,32,35,889,380,518,967,149.17,22.48,23.320000000000004
303,355,384,715,28,636,146,157.22,26.12,27.559999999999995
850,704,14,81,847,189,459,172.92,29.99,31.240000000000002
593,970,130,786,987,861,435,91.32,13.09,13.2
577,645,592,988,898,110,381,129.74,19.56,19.6
514,40,615,732,671,377,366,141.32,21.14,21.91999999999999
108,969,327,665,104,488,863,136.81,19.22,19.200000000000003
173,661,241,488,373,590,354,130.82,18.79,19.79999999999999
955,380,771,827,439,383,760,96.03,15.03,14.920000000000003
643,686,39,752,144,951,726,153.88,25.52,26.639999999999993
678,911,666,320,62,33,982,155.09,31.55,33.35999999999998
238,522,369,495,375,487,574,115.55,16.49,16.36
177,308,142,662,272,804,23,157.92,31.01,30.99999999999999
