n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
241,310,105,738,405,490,158,92,68,181.15,31.0,34.43999999999998
20,411,562,939,296,819,783,60,227,181.84,31.36,32.55999999999999
532,549,368,283,798,176,846,108,268,155.9,26.02,24.88
219,965,949,26,848,656,826,266,819,157.95,22.77,22.880000000000003
278,198,168,317,296,642,888,749,983,156.9,28.65,31.319999999999986
875,868,901,381,88,865,620,345,687,154.66,26.58,27.44
397,518,254,182,253,484,286,91,967,174.7,34.04,34.0
957,837,886,964,560,860,307,7,930,189.21,43.15,43.63999999999997
298,586,721,903,319,868,783,520,199,161.5,23.44,23.160000000000004
423,433,613,295,441,462,165,238,312,134.03,22.49,22.8
265,832,816,44,83,47,473,641,287,183.36,38.9,38.35999999999999
531,547,663,482,717,351,148,689,200,163.86,30.44,29.639999999999993
68,422,935,207,650,647,451,282,188,163.41,29.21,32.67999999999998
364,446,764,602,328,649,571,203,926,134.98,21.12,21.0
331,103,859,63,725,234,284,783,596,168.71,32.88,30.759999999999994
630,882,243,125,339,957,181,297,470,157.82,29.77,30.599999999999987
26,43,365,714,84,917,987,977,292,177.5,32.7,34.32000000000001
752,691,982,334,18,330,295,329,989,173.79,38.0,39.87999999999998
156,793,667,420,882,965,890,635,696,153.98,22.27,22.800000000000004
837,79,300,632,196,915,454,299,139,152.61,24.5,25.120000000000008
256,390,613,984,162,339,586,9,372,172.7,41.51,41.12
45,465,173,373,802,823,371,297,585,156.82,25.48,25.599999999999998
99,449,212,434,938,212,116,60,63,174.69,31.2,37.92000000000001
56,754,172,609,693,993,153,621,41,171.78,32.26,33.11999999999999
559,502,596,255,329,36,125,854,541,165.43,29.56,29.760000000000005
299,792,419,667,205,489,206,247,449,156.61,24.83,24.760000000000005
420,503,37,224,431,454,254,662,910,149.82,33.93,35.759999999999984
438,850,220,510,192,32,37,260,259,176.59,37.16,36.32
248,538,213,790,237,427,890,267,145,161.94,27.9,28.75999999999999
332,52,912,950,322,578,119,583,412,160.88,23.65,23.72
985,922,668,669,891,809,734,762,41,160.6,26.82,25.559999999999995
506,396,95,440,215,952,894,586,921,153.59,25.76,26.400000000000002
966,946,169,344,303,672,482,818,922,167.48,24.47,24.24
657,322,834,430,540,220,670,820,702,133.94,18.77,19.68
820,274,346,944,401,979,508,76,879,166.99,25.87,26.79999999999999
994,286,984,642,684,195,45,404,920,167.01,28.31,29.999999999999993
634,130,785,991,275,683,876,61,890,142.76,25.21,24.679999999999993
171,704,650,475,582,483,764,413,949,143.98,22.05,21.63999999999999
399,223,817,3,216,944,160,13,624,189.05,74.74,78.32000000000005
897,263,118,405,829,788,801,390,898,143.37,27.96,28.95999999999999
227,563,54,899,973,206,165,687,622,157.05,24.01,24.480000000000004
338,838,913,575,792,803,482,937,539,149.03,25.85,26.159999999999997
450,27,80,35,712,608,115,500,574,180.53,39.3,40.0
885,263,622,792,142,42,371,81,786,162.09,30.89,32.399999999999984
900,535,926,10,304,857,355,847,76,169.5,35.22,35.63999999999999
87,982,556,464,390,210,806,318,397,155.37,28.29,30.639999999999986
239,776,498,876,989,409,97,79,117,174.22,34.08,34.64
937,635,817,906,374,524,444,425,878,157.41,26.53,28.479999999999986
728,795,454,68,643,902,963,200,652,157.34,26.16,27.959999999999997
309,952,856,490,432,121,817,571,171,143.16,23.0,23.64
380,895,166,180,723,152,334,506,880,165.5,26.32,27.480000000000004
