n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
243,606,557,133,378,937,618,485,640,594,67,169.61,37.72,36.79999999999998
620,13,930,857,480,265,564,239,196,734,481,164.95,34.94,37.92000000000001
553,856,562,487,406,654,881,154,237,650,155,159.42,28.86,29.599999999999994
888,948,535,399,759,15,687,795,65,163,776,173.12,36.27,35.879999999999995
980,605,43,308,798,31,843,886,275,484,609,178.67,35.04,36.27999999999999
736,942,899,396,731,807,943,437,404,745,820,163.71,32.64,34.15999999999999
590,455,987,958,137,899,374,99,36,139,506,183.39,37.05,37.68
222,264,988,688,446,797,641,875,308,431,519,148.84,29.76,28.79999999999999
853,395,587,359,546,599,417,598,237,925,344,170.32,32.29,33.79999999999999
698,937,951,29,876,286,620,687,712,167,715,180.38,32.27,33.52
881,334,987,554,926,585,582,106,730,671,216,154.48,26.78,26.520000000000003
648,851,587,273,291,127,64,493,874,654,495,171.47,30.49,30.519999999999992
90,352,819,68,420,918,154,20,300,437,787,181.46,40.22,42.32
425,893,121,45,619,629,779,46,386,735,600,189.16,40.47,41.839999999999996
338,564,902,944,285,517,241,36,317,7,78,188.65,54.18,57.03999999999999
110,614,548,32,971,202,994,417,298,625,269,166.54,31.41,33.31999999999999
159,706,43,888,347,321,368,981,141,918,882,177.47,30.34,32.24
386,385,471,890,532,395,659,887,609,697,572,167.41,26.04,26.360000000000007
105,635,996,963,830,519,277,441,649,737,732,147.73,24.37,24.480000000000004
243,958,308,447,264,533,310,561,347,11,807,191.7,41.75,42.11999999999999
425,593,322,20,385,630,603,647,136,61,648,179.28,40.28,42.759999999999984
642,340,477,361,695,939,361,623,723,285,755,157.7,27.58,30.0
501,22,603,62,977,692,21,986,378,257,643,190.43,41.34,44.919999999999995
467,305,606,615,327,181,372,189,320,776,378,174.36,29.66,29.8
864,609,270,307,806,386,107,790,832,27,994,183.88,37.18,37.76
582,700,752,134,317,512,227,669,823,275,244,168.09,33.72,34.87999999999998
335,191,694,445,665,714,99,104,615,329,971,167.56,34.2,34.239999999999995
341,691,853,229,448,829,876,983,173,81,344,173.77,34.96,35.16
759,665,223,906,582,461,277,230,805,123,34,183.86,36.31,34.48000000000001
542,980,195,322,826,856,858,588,187,884,285,159.71,23.58,23.759999999999998
348,826,847,657,87,825,634,353,603,132,431,169.85,35.21,38.239999999999974
298,530,812,870,277,475,354,649,426,297,429,174.37,29.35,29.47999999999999
581,419,36,942,423,159,204,4,488,965,852,189.39,49.24,52.67999999999999
901,637,522,444,572,972,949,734,227,33,763,175.94,37.06,40.51999999999997
467,856,771,678,765,531,986,295,556,349,911,170.99,33.37,32.83999999999999
232,882,69,878,602,994,293,122,829,250,46,178.89,30.98,30.560000000000006
35,925,822,710,524,946,203,918,904,921,440,161.48,26.57,27.52
590,50,13,492,763,123,175,515,307,244,678,190.23,47.57,50.839999999999975
20,537,549,423,54,961,934,626,116,349,128,184.0,41.4,43.959999999999994
258,995,882,553,488,831,801,62,360,226,202,184.47,34.48,33.480000000000004
125,547,908,836,122,175,245,810,280,943,910,160.68,33.82,33.03999999999999
825,131,843,942,7,499,643,584,883,409,51,195.39,48.57,53.39999999999998
774,277,254,275,632,539,532,433,52,484,330,179.52,36.13,37.68
795,839,1,877,56,793,129,47,127,51,70,183.08,39.1,38.760000000000005
494,998,33,874,729,88,527,514,501,323,160,178.66,40.11,43.63999999999997
322,73,359,395,662,398,600,311,369,271,195,185.99,35.44,38.879999999999995
336,438,126,130,568,3,733,740,389,814,81,184.8,67.79,70.96000000000005
580,182,43,382,471,618,665,801,554,389,651,175.07,36.79,36.8
820,44,637,907,441,54,381,642,508,778,719,190.61,45.98,49.23999999999999
322,430,973,710,428,471,18,250,223,548,276,182.04,38.19,38.68
711,604,73,822,435,229,436,133,900,28,958,181.1,39.54,44.439999999999976
333,383,992,919,572,809,891,268,124,475,707,153.87,24.64,24.56
126,961,832,749,678,870,908,542,811,385,683,148.37,27.61,29.999999999999993
111,751,326,577,544,105,831,601,733,5,484,187.63,45.71,48.439999999999976
146,241,792,398,45,539,94,577,101,675,901,176.25,31.64,32.16000000000001
384,183,839,24,349,861,872,124,26,864,117,182.75,44.2,43.879999999999995
689,493,856,713,975,291,592,306,817,90,37,174.99,32.93,31.799999999999997
785,577,523,541,732,244,109,567,766,102,956,166.7,33.42,35.879999999999974
566,62,563,332,890,577,184,847,79,247,184,175.18,29.29,34.519999999999996
661,255,465,630,716,771,965,403,258,376,613,153.85,25.2,26.12
406,961,358,569,428,989,85,384,512,240,996,173.51,30.43,32.79999999999999
951,422,863,765,990,164,425,707,582,774,593,163.18,30.73,29.23999999999999
690,946,529,702,495,159,658,410,918,908,152,170.45,34.34,36.55999999999999
166,98,509,766,495,938,715,529,973,453,600,166.13,34.81,33.919999999999995
736,878,190,139,273,770,203,150,599,527,322,147.93,28.78,30.15999999999999
957,237,871,707,550,976,798,302,687,722,875,150.69,28.57,27.399999999999988
423,609,874,598,598,273,910,222,314,23,274,168.95,30.61,34.44
490,823,391,205,176,583,369,244,329,494,792,170.28,25.93,26.2
884,147,428,714,491,718,613,210,479,594,854,154.93,31.19,31.19999999999998
923,841,668,570,28,492,738,74,877,970,409,177.43,43.11,51.19999999999997
801,751,903,983,46,478,932,235,912,240,663,170.28,33.4,33.12
734,795,691,70,981,222,874,260,247,911,194,172.38,33.68,33.44
794,264,140,191,636,721,691,879,37,921,956,161.83,29.8,30.36
261,173,885,46,320,187,433,93,746,818,87,186.61,41.53,43.23999999999998
120,94,270,853,935,298,36,365,463,594,751,179.98,42.4,41.59999999999999
691,344,7,30,342,339,446,388,497,79,215,196.53,53.63,52.839999999999996
659,599,760,978,501,400,128,557,326,122,904,160.76,31.23,31.52
281,78,681,442,115,448,908,540,930,256,99,180.38,35.06,37.16
540,963,717,383,694,790,377,775,461,302,678,164.01,23.51,24.400000000000002
692,686,669,966,825,836,271,109,772,967,984,151.18,24.47,26.639999999999993
346,688,579,549,538,116,682,505,520,360,60,174.91,34.3,34.559999999999995
735,301,694,745,579,760,186,661,661,747,646,148.89,22.94,25.320000000000004
153,183,379,911,942,671,465,126,110,954,573,180.2,30.98,33.759999999999984
144,942,339,660,737,665,611,430,568,307,663,165.4,25.99,25.6
191,468,493,319,800,180,722,70,109,733,185,175.03,36.33,35.32
772,567,556,589,757,401,367,102,272,277,392,167.97,33.9,34.51999999999999
54,893,139,43,490,516,277,253,712,787,527,184.29,35.01,35.080000000000005
362,896,340,967,413,458,554,828,790,70,361,154.02,28.66,27.76
509,867,114,155,276,604,102,697,115,577,797,174.28,31.46,32.72
931,744,114,189,714,193,580,426,686,761,400,172.1,30.97,33.03999999999999
835,766,131,606,622,149,880,407,817,198,557,143.99,28.55,31.239999999999995
540,174,582,183,206,889,256,378,800,300,30,179.82,39.16,38.8
862,822,455,912,417,972,834,392,323,565,927,163.43,27.12,27.03999999999999
597,317,648,509,541,703,723,306,917,880,683,170.61,34.71,32.96
495,30,615,195,744,649,2,110,788,774,677,160.5,32.46,33.879999999999995
239,503,177,536,640,471,203,198,800,542,216,174.9,38.18,41.35999999999998
37,832,512,948,661,969,454,114,579,290,982,152.99,28.48,29.36000000000001
673,913,156,138,478,811,90,638,945,51,26,176.83,32.46,34.20000000000001
368,633,239,518,79,510,551,19,952,347,330,190.21,35.41,36.040000000000006
336,891,352,711,710,137,82,878,859,615,793,177.24,29.17,29.240000000000002
