n0,monte_carlo,monte_carlo_max_hop,two_hop
232,15.08,2.31,2.0
379,24.63,2.16,2.2399999999999998
985,33.23,2.22,2.2800000000000002
384,16.28,1.62,1.68
129,37.43,3.54,3.5199999999999996
197,33.84,2.88,2.9999999999999996
721,13.37,1.6,1.72
44,102.75,10.85,11.63999999999999
87,44.77,3.88,3.4800000000000004
140,42.75,4.13,4.400000000000001
253,47.87,3.65,4.000000000000001
830,20.33,1.99,1.88
518,24.43,2.67,2.76
214,59.57,8.96,7.959999999999995
410,41.11,4.06,3.639999999999999
657,27.25,1.61,1.7999999999999998
31,64.63,5.18,5.600000000000001
470,13.58,1.87,1.88
499,7.18,1.63,1.72
464,10.62,1.78,1.68
399,58.24,3.61,3.6000000000000005
506,43.42,3.49,3.440000000000001
586,14.38,1.83,1.76
196,30.1,2.82,2.920000000000001
918,19.42,2.64,2.4800000000000004
850,44.21,3.51,3.320000000000001
412,12.07,1.71,1.72
91,43.61,3.04,3.200000000000001
496,24.28,2.18,2.16
239,25.05,3.09,2.7200000000000006
777,19.5,2.07,1.9200000000000002
20,93.25,11.44,11.67999999999999
717,14.03,1.8,2.04
273,23.75,2.96,2.6
532,29.47,2.58,2.6000000000000005
417,16.61,1.74,1.6800000000000002
485,13.2,2.22,2.04
923,36.81,1.96,2.2
933,13.32,1.54,1.56
388,29.91,2.69,2.48
743,24.38,2.0,1.76
116,48.49,6.22,5.240000000000001
678,11.48,2.86,2.8
264,18.72,1.63,1.76
99,38.47,3.95,3.7600000000000002
833,29.79,3.46,3.639999999999999
64,51.37,4.85,4.200000000000001
395,21.5,2.77,3.12
635,15.18,1.56,1.68
849,18.96,1.94,2.3600000000000003
386,40.96,3.18,3.24
110,27.03,1.98,2.08
676,8.87,1.59,1.6
59,56.11,3.72,3.9600000000000004
346,15.4,2.11,2.12
240,65.17,6.19,6.159999999999993
707,12.54,2.29,2.04
88,47.88,5.09,5.480000000000002
509,25.44,3.86,3.440000000000001
925,11.26,2.02,1.9200000000000002
665,36.55,3.51,3.5200000000000005
529,38.2,2.73,2.7600000000000002
923,24.05,2.2,2.2
212,51.95,5.06,5.7600000000000025
595,24.82,2.92,2.8000000000000003
827,13.13,1.63,1.8800000000000001
145,35.85,2.98,2.8000000000000007
621,27.71,2.22,2.4400000000000004
65,32.22,4.85,4.240000000000001
552,20.12,1.84,1.84
968,11.83,1.8,1.9200000000000002
38,72.95,5.25,5.120000000000001
500,25.57,2.17,2.2
718,20.42,1.79,1.72
198,49.26,4.62,4.200000000000001
151,43.86,4.51,4.48
968,21.66,1.71,1.9200000000000002
880,16.84,1.99,1.92
592,21.76,2.93,2.7600000000000007
467,24.21,2.22,2.08
746,21.78,2.32,2.6800000000000006
598,29.3,2.65,2.44
902,24.93,2.1,1.84
455,13.74,1.78,1.72
292,23.97,2.47,2.44
570,49.13,6.27,6.039999999999992
365,36.07,3.26,2.8400000000000003
875,17.71,1.69,1.72
899,7.66,1.72,1.84
436,33.4,2.64,2.7600000000000007
138,21.03,2.47,2.4800000000000004
162,25.96,2.97,2.7200000000000006
782,36.41,2.64,2.880000000000001
615,16.67,1.51,1.6800000000000002
99,54.1,3.97,3.7600000000000002
544,26.42,3.15,2.8000000000000007
706,19.58,2.09,2.04
321,35.5,3.04,2.72
718,20.37,1.63,1.72
365,34.23,2.65,2.8400000000000003
