n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
812,587,841,82,496,780,267,131.35,20.06,21.639999999999993
37,0,149,678,600,481,988,182.8,42.11,42.51999999999998
777,752,382,327,788,22,279,138.14,24.72,24.119999999999997
500,821,202,747,893,423,932,126.44,17.33,16.600000000000005
551,552,698,96,197,576,566,133.28,20.55,21.719999999999995
716,824,746,271,678,822,624,140.61,17.56,18.840000000000003
702,90,864,434,343,95,370,149.16,21.35,22.32
819,419,824,256,455,716,96,157.48,23.52,24.71999999999999
773,201,717,650,815,298,99,124.1,19.64,20.799999999999994
974,46,602,924,205,847,671,134.18,18.4,18.360000000000003
934,369,498,955,852,931,198,132.82,19.37,20.28
527,589,660,993,714,913,824,107.18,13.27,14.240000000000002
515,999,938,29,648,370,250,139.37,18.61,19.200000000000006
616,440,311,365,603,122,91,144.23,21.76,21.440000000000005
512,901,694,537,203,119,622,133.68,17.93,18.319999999999997
678,274,319,736,200,388,495,119.01,23.53,22.959999999999994
228,141,611,214,854,886,897,158.0,24.67,25.719999999999988
714,534,12,193,796,173,17,172.76,37.62,37.639999999999986
663,340,571,926,687,635,633,102.31,13.85,13.28
313,383,386,540,398,296,129,141.57,20.74,20.400000000000002
695,500,55,189,433,608,764,151.41,21.3,20.71999999999999
407,98,451,251,825,91,913,139.02,21.49,21.599999999999994
617,686,891,910,456,457,802,121.26,15.91,16.279999999999994
851,389,815,78,529,436,482,128.41,21.67,21.159999999999997
310,722,836,418,963,87,196,149.63,20.05,19.959999999999994
764,696,272,462,499,739,802,120.27,14.05,14.08
988,176,18,22,550,126,257,174.24,36.34,36.16
603,821,369,192,262,514,462,134.57,23.87,25.199999999999985
337,949,529,260,420,949,900,117.44,15.97,19.8
431,626,497,274,616,486,672,121.51,17.44,18.879999999999995
490,503,145,738,386,508,313,157.65,24.52,28.079999999999977
649,824,478,331,375,675,166,104.13,13.8,14.520000000000001
994,935,945,634,385,711,617,116.7,18.65,17.999999999999993
272,327,661,407,998,499,746,118.31,17.93,17.840000000000003
812,161,959,847,297,573,6,169.4,36.5,38.11999999999999
638,460,987,58,186,30,624,168.54,28.8,28.799999999999997
792,583,114,698,735,379,370,112.4,17.31,17.880000000000003
