n0,monte_carlo,monte_carlo_max_hop,two_hop
331,30.19,2.02,2.16
970,26.75,1.96,1.7999999999999998
154,30.97,3.13,3.0399999999999996
404,54.01,5.06,5.999999999999993
666,39.29,4.12,3.480000000000001
49,69.39,9.6,8.599999999999993
74,75.35,9.6,9.079999999999995
840,33.35,2.67,2.7600000000000007
548,19.19,2.35,2.2800000000000002
96,55.09,7.81,7.7199999999999935
374,29.93,2.15,2.2
596,16.94,2.16,2.2
59,58.54,4.56,3.9600000000000004
931,45.25,3.23,3.0400000000000005
519,26.07,1.74,1.6400000000000001
219,37.12,3.84,3.2800000000000002
38,71.9,4.75,5.120000000000001
88,46.06,5.54,5.480000000000002
444,40.83,3.47,3.4799999999999986
428,26.67,1.83,1.8
71,89.41,7.81,7.200000000000003
246,29.59,2.69,2.880000000000001
92,28.5,2.33,2.5600000000000005
564,18.61,1.71,1.7199999999999998
434,20.32,2.1,2.08
60,34.04,4.91,4.64
846,33.38,2.61,3.0400000000000005
579,11.32,2.24,2.32
126,45.63,4.29,4.2
970,26.16,1.76,1.7999999999999998
228,25.08,2.34,2.5200000000000005
645,19.66,3.31,2.920000000000001
642,20.41,3.18,3.2
596,12.53,2.14,2.2
970,10.41,1.74,1.7999999999999998
63,65.02,5.33,5.320000000000002
590,45.12,6.97,5.439999999999992
599,33.27,2.19,2.08
406,15.5,2.33,2.08
50,33.13,4.36,3.6799999999999997
999,15.48,1.54,1.56
226,25.92,2.91,2.9200000000000004
47,72.56,7.74,7.480000000000001
570,58.98,6.89,6.039999999999992
879,37.82,2.25,2.24
136,36.68,2.97,3.1200000000000006
296,14.62,2.19,2.16
429,17.98,1.93,1.8399999999999999
147,20.82,2.74,2.76
553,25.84,1.98,2.16
120,48.01,3.23,3.08
584,50.06,3.02,3.120000000000001
315,24.88,2.62,2.52
573,12.62,1.67,1.68
835,29.72,2.71,2.6400000000000006
698,42.43,2.68,2.6000000000000005
185,41.11,2.48,2.52
105,52.94,3.51,3.1600000000000006
595,35.65,2.74,2.8000000000000003
584,32.44,2.9,3.120000000000001
654,13.77,1.83,1.7599999999999998
192,43.23,7.16,7.479999999999993
381,66.51,5.32,6.24
99,52.6,4.22,3.7600000000000002
560,12.87,1.59,1.56
729,17.46,2.2,2.52
64,60.21,4.73,4.200000000000001
577,17.14,2.01,2.04
61,50.45,4.42,4.919999999999999
633,15.85,1.64,1.56
210,40.93,5.88,6.399999999999992
508,56.43,5.25,6.279999999999992
696,19.13,2.42,2.48
544,37.75,2.9,2.8000000000000007
437,15.53,2.27,1.9999999999999998
795,29.79,1.94,1.8800000000000001
321,26.64,2.67,2.72
476,22.82,2.1,2.08
599,28.38,2.25,2.08
945,31.88,2.48,2.6400000000000006
464,16.43,1.48,1.68
370,11.7,1.79,1.96
306,55.33,3.17,3.16
254,67.46,7.18,6.759999999999993
813,13.44,1.81,1.6400000000000001
184,30.25,3.11,3.1999999999999997
715,37.35,2.78,3.2000000000000006
798,21.46,1.63,1.7199999999999998
249,25.03,4.42,3.959999999999999
83,49.15,3.86,4.640000000000001
588,17.83,2.16,2.24
307,22.88,2.49,2.2800000000000002
537,38.33,3.56,3.4799999999999986
506,28.27,3.64,3.440000000000001
896,13.94,1.57,1.6
351,6.63,2.0,2.16
746,26.21,3.1,2.6800000000000006
459,40.98,2.64,2.5600000000000005
294,33.35,2.28,2.4
623,40.23,2.75,2.6400000000000006
