n0,monte_carlo,monte_carlo_max_hop,two_hop
241,25.26,2.84,2.9200000000000004
310,25.31,2.28,2.08
105,40.67,3.45,3.1600000000000006
738,52.83,4.43,5.5199999999999925
405,50.28,5.57,6.479999999999992
490,6.58,1.75,1.8800000000000001
158,55.03,5.93,5.159999999999999
92,20.39,2.72,2.5600000000000005
68,59.32,5.03,4.760000000000002
20,109.29,11.05,11.67999999999999
411,21.85,2.57,2.6000000000000005
562,7.25,1.52,1.56
939,20.09,1.92,1.9600000000000002
296,20.1,2.22,2.16
819,45.7,2.37,2.8000000000000007
783,32.33,2.97,3.000000000000001
60,46.58,4.7,4.64
227,22.32,2.07,2.1599999999999997
532,24.39,2.53,2.6000000000000005
549,24.59,1.99,2.04
368,46.51,3.97,3.6800000000000006
283,23.69,2.72,2.5999999999999996
798,9.63,1.76,1.7199999999999998
176,27.26,2.5,2.2
846,23.74,2.73,3.0400000000000005
108,37.42,4.42,3.88
268,34.63,3.38,3.1200000000000006
219,47.71,3.25,3.2800000000000002
965,10.14,1.61,1.56
949,19.34,1.61,1.56
26,72.66,7.62,7.480000000000002
848,16.41,1.44,1.56
656,10.49,1.84,1.96
826,10.57,1.73,1.6400000000000001
266,14.42,1.87,1.96
819,44.05,2.58,2.8000000000000007
278,23.41,2.27,2.2
198,41.63,4.0,4.200000000000001
168,37.62,7.04,6.039999999999993
317,59.15,7.17,7.2799999999999905
296,32.24,2.2,2.16
642,18.37,3.27,3.2
888,9.31,1.54,1.56
749,38.95,3.0,3.0000000000000004
983,6.05,1.72,1.76
875,14.87,1.82,1.72
868,13.93,1.55,1.6800000000000002
901,15.9,1.65,1.88
381,57.41,5.78,6.24
88,63.49,6.13,5.480000000000002
865,17.87,1.81,1.84
620,19.74,2.75,2.6400000000000006
345,48.33,3.39,3.6800000000000006
687,25.2,2.26,2.3600000000000003
397,46.12,3.89,3.680000000000001
518,26.45,2.9,2.76
254,54.67,5.63,6.759999999999993
182,49.1,4.14,4.12
253,44.81,3.8,4.000000000000001
484,32.1,3.35,3.6400000000000006
286,43.3,4.32,4.359999999999999
91,27.9,3.23,3.200000000000001
967,6.7,1.49,1.56
957,29.04,5.5,5.439999999999992
837,19.37,2.16,2.3200000000000003
886,50.39,6.39,5.639999999999992
964,10.2,1.45,1.56
560,16.71,1.48,1.56
860,6.82,1.77,1.64
307,24.05,2.55,2.2800000000000002
7,128.66,20.5,21.31999999999999
930,40.03,4.27,4.080000000000001
298,30.11,2.64,2.68
586,8.14,1.89,1.76
721,20.16,1.64,1.72
903,23.01,1.96,1.96
319,57.3,3.51,3.4400000000000004
868,24.74,1.69,1.6800000000000002
783,32.52,2.78,3.000000000000001
520,26.62,3.09,3.24
199,29.38,4.04,3.6800000000000006
423,29.06,2.05,1.8800000000000001
433,36.19,2.73,2.6800000000000006
613,26.92,2.15,2.16
295,46.45,5.82,5.160000000000001
441,16.1,1.51,1.6
462,28.61,1.85,1.88
165,34.98,2.73,2.84
238,31.81,2.71,2.76
312,19.26,2.14,1.8399999999999999
265,29.69,4.6,3.7600000000000007
832,7.43,1.6,1.8
816,13.08,1.57,1.56
44,99.33,10.03,11.63999999999999
83,48.01,4.53,4.640000000000001
47,77.31,7.68,7.480000000000001
473,48.95,4.12,3.5999999999999996
641,23.0,2.21,1.96
287,21.36,2.51,2.6
531,38.88,2.98,3.400000000000001
