n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
978,883,970,869,57,93,86,369,855,173,753,173.39,30.87,31.079999999999995
828,685,874,315,257,620,217,621,36,595,697,168.87,35.32,35.040000000000006
162,441,653,402,822,740,880,521,972,380,557,154.9,23.55,24.6
958,455,514,274,922,36,891,28,372,476,954,175.89,38.77,41.399999999999984
326,929,389,433,913,905,538,168,573,181,241,169.06,34.34,38.31999999999998
236,24,180,332,177,139,522,522,368,526,690,181.93,38.6,41.120000000000005
573,186,915,456,815,424,752,537,928,930,781,157.11,27.31,26.799999999999997
372,808,607,362,370,879,984,456,165,977,772,144.66,26.54,26.28
409,732,756,472,670,543,255,501,285,947,510,173.01,29.73,30.639999999999997
512,527,851,815,362,677,904,465,921,924,472,156.19,23.1,23.520000000000003
359,581,743,942,570,741,467,498,674,227,963,148.66,28.72,29.319999999999993
332,834,716,855,170,897,929,631,274,791,933,164.38,25.97,25.76
491,316,310,980,818,723,851,516,575,530,519,144.14,28.9,26.719999999999995
667,630,602,416,319,748,212,500,524,375,956,171.64,36.46,38.71999999999999
700,638,903,77,803,840,349,743,8,929,834,174.23,36.34,36.96
195,762,108,60,588,668,50,279,605,232,698,169.44,32.47,32.959999999999994
896,937,108,772,534,139,874,272,250,844,215,169.04,31.0,30.360000000000003
966,901,61,433,919,734,777,32,58,371,368,189.06,37.27,37.44
176,255,688,24,84,117,977,69,25,41,746,203.72,55.14,56.64
940,21,382,261,130,832,958,160,752,188,535,190.66,32.09,31.76000000000001
708,1,394,603,44,813,253,155,994,37,4,190.36,56.87,62.67999999999998
352,960,630,642,760,765,115,292,345,500,31,162.79,32.58,31.240000000000002
315,459,564,784,619,757,46,923,270,773,411,174.61,29.28,29.16
883,636,722,157,484,981,230,95,676,703,323,162.3,34.06,36.959999999999994
858,104,24,458,807,895,970,130,530,598,799,175.37,37.05,37.64
402,498,527,335,147,895,982,349,265,268,620,175.96,29.04,29.840000000000003
993,429,668,18,716,571,982,143,686,58,259,189.92,43.57,45.15999999999998
34,134,165,174,98,464,650,237,520,938,725,174.76,37.17,39.959999999999994
956,32,252,238,731,455,75,256,82,605,233,183.38,37.71,40.31999999999999
639,810,819,638,726,368,262,700,433,285,538,176.93,30.73,31.439999999999994
768,4,154,36,393,418,164,113,524,741,89,193.02,54.02,60.79999999999998
246,104,102,20,186,768,237,107,222,25,533,199.09,47.68,49.07999999999999
685,475,464,317,548,657,389,217,701,928,778,147.22,27.65,27.039999999999996
986,215,746,825,444,435,523,21,595,605,52,187.57,39.63,38.52000000000001
902,428,951,537,595,185,942,96,679,821,491,157.78,29.0,29.879999999999992
374,19,531,983,943,121,625,375,296,706,954,152.35,30.11,31.84
381,315,19,895,701,422,103,107,313,203,860,186.9,41.23,41.919999999999995
793,688,845,16,831,462,61,420,652,497,474,188.02,39.15,39.99999999999999
213,910,602,628,75,5,291,24,381,313,957,185.57,49.19,50.47999999999998
740,78,224,773,502,196,118,585,382,401,733,154.03,26.08,26.72
474,143,771,353,404,908,124,260,124,125,82,167.76,38.2,43.719999999999985
631,870,342,656,400,982,217,709,107,25,633,184.32,29.72,30.280000000000005
674,481,795,44,740,722,509,297,366,982,468,178.21,35.65,36.67999999999999
144,817,383,275,495,538,886,489,736,977,745,173.24,32.51,37.67999999999997
823,429,954,503,856,696,303,404,237,160,500,166.66,31.15,32.83999999999999
610,265,561,437,712,695,715,940,86,599,745,174.51,25.05,26.080000000000005
837,589,98,72,364,180,558,150,825,426,919,173.76,31.17,31.079999999999995
68,817,88,933,916,697,829,663,38,131,997,173.54,34.59,35.919999999999995
303,399,237,725,686,906,697,337,449,176,536,164.03,30.88,31.559999999999995
293,114,159,553,972,992,773,433,98,336,528,170.81,29.73,30.520000000000003
254,732,526,263,173,916,161,472,970,720,240,184.58,34.31,37.199999999999974
413,895,367,801,782,587,746,148,477,451,736,179.59,40.64,43.919999999999966
30,829,609,392,902,754,184,402,522,54,494,177.96,33.11,33.56
280,414,259,727,748,959,422,722,663,483,368,156.0,32.18,32.319999999999986
985,560,338,730,763,933,674,83,779,839,872,168.7,28.24,27.879999999999995
743,230,545,636,192,412,835,682,391,902,650,166.69,30.31,33.23999999999998
