n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
137,582,867,821,782,64,261,140.67,19.63,19.360000000000007
120,507,779,460,483,667,388,120.55,15.89,16.68
807,214,96,499,29,914,855,163.2,31.7,29.719999999999985
399,443,622,780,785,2,712,146.81,24.45,24.479999999999997
456,272,738,821,234,605,967,109.04,17.75,18.23999999999999
104,923,325,31,22,26,665,175.73,34.68,33.96000000000001
554,9,961,902,390,702,221,168.4,35.16,34.44
992,432,743,29,540,227,782,134.62,18.5,19.720000000000006
448,961,507,566,238,353,236,140.62,22.09,21.400000000000002
693,224,779,470,975,296,948,96.9,14.74,15.119999999999997
22,426,857,938,569,944,657,153.99,18.9,19.240000000000002
102,190,644,741,880,303,123,131.15,20.95,21.399999999999995
760,340,917,738,996,728,512,107.07,16.66,17.719999999999995
958,990,432,519,849,932,686,109.23,14.19,14.400000000000002
194,310,290,601,996,903,511,151.6,19.21,19.600000000000005
866,963,517,402,603,873,35,125.87,16.5,16.360000000000003
491,248,761,816,413,424,680,126.78,17.28,17.119999999999997
177,375,561,903,719,794,690,138.01,20.39,19.439999999999998
755,383,88,449,679,520,110,153.27,23.2,23.83999999999999
797,167,533,860,402,379,501,139.38,16.87,16.800000000000004
750,30,480,44,315,720,868,161.26,30.66,29.23999999999999
629,607,592,403,662,174,172,143.75,20.16,20.36
514,232,12,789,204,552,942,162.6,30.27,31.03999999999998
880,561,237,414,526,352,975,134.33,16.01,16.599999999999998
867,591,361,470,931,275,675,118.64,16.08,16.560000000000002
561,623,980,746,5,392,802,146.64,29.41,28.43999999999999
877,840,977,907,960,758,524,115.88,18.58,18.8
828,132,531,796,574,210,436,161.8,26.59,26.83999999999999
972,57,492,890,373,583,567,133.64,22.18,21.75999999999999
204,963,516,423,496,832,365,106.13,14.72,15.200000000000001
424,354,1,551,553,638,805,137.67,18.74,18.320000000000004
627,339,469,614,28,823,235,160.94,29.13,28.439999999999994
650,181,563,598,185,881,93,134.24,25.57,26.839999999999982
817,564,816,871,836,953,261,113.28,16.25,16.28
33,861,966,689,72,85,888,158.05,29.75,28.279999999999987
17,463,14,772,773,287,255,173.32,37.62,38.8
275,112,816,639,189,352,297,128.92,17.55,17.840000000000003
71,171,163,261,540,974,172,147.04,21.46,22.680000000000007
672,279,663,728,301,465,719,138.79,20.2,19.23999999999999
329,508,485,116,24,319,395,175.88,30.08,31.36
351,431,815,192,264,111,259,143.81,27.92,28.919999999999973
921,747,522,214,988,620,442,140.09,21.51,21.759999999999998
836,998,21,230,18,406,149,168.58,35.47,34.71999999999999
36,736,982,164,456,721,518,153.45,27.46,28.559999999999995
694,436,557,852,225,999,645,129.65,19.29,18.56
816,711,528,461,228,536,664,111.62,17.58,19.239999999999995
31,404,691,589,822,328,675,139.45,23.17,22.719999999999995
646,436,60,755,305,128,991,150.43,22.12,23.39999999999999
217,896,48,313,72,879,78,156.13,24.83,24.559999999999995
317,939,961,305,761,162,426,153.03,23.55,22.399999999999988
578,258,133,8,574,899,870,159.88,28.38,28.599999999999994
38,604,839,222,985,922,583,133.9,17.76,17.120000000000005
471,175,847,888,890,997,798,138.6,16.94,17.12
720,637,521,38,387,205,355,155.44,23.65,23.439999999999998
101,210,587,690,918,443,605,138.78,23.14,25.43999999999999
198,504,106,960,681,399,303,132.82,21.0,21.760000000000005
516,511,17,333,626,892,411,166.77,26.35,27.879999999999992
921,288,18,160,205,878,335,172.87,29.12,30.679999999999996
830,576,801,138,347,439,218,140.08,18.68,18.800000000000004
272,690,98,857,388,954,560,128.26,15.81,15.160000000000002
352,936,903,857,703,547,496,112.85,15.86,16.560000000000002
786,545,240,66,742,41,86,145.41,25.3,27.439999999999984
136,173,170,932,551,218,274,132.46,19.3,19.560000000000002
777,340,614,518,861,261,376,112.44,15.3,15.640000000000002
346,348,116,298,240,888,966,138.04,21.47,21.799999999999994
618,798,977,732,908,500,138,115.71,15.72,17.839999999999993
593,564,788,106,328,40,416,147.96,19.09,19.880000000000003
74,389,886,807,150,848,128,151.14,29.8,29.759999999999984
349,117,629,601,800,948,387,142.29,21.0,21.480000000000004
78,584,563,229,579,83,975,135.51,19.22,20.0
273,373,912,302,577,547,947,107.09,16.28,15.600000000000001
117,468,918,283,110,805,46,148.76,25.16,25.800000000000004
847,302,12,628,686,14,93,179.35,40.25,44.15999999999998
423,117,845,906,808,40,192,150.8,29.05,30.319999999999993
245,804,600,431,165,118,461,117.23,21.41,21.27999999999999
171,697,247,162,761,865,105,137.9,19.75,19.6
445,932,987,387,825,993,555,111.18,18.15,19.039999999999992
931,837,301,563,259,728,488,118.35,18.7,18.92
322,102,212,667,325,40,27,182.8,37.38,39.160000000000004
10,805,947,302,743,610,327,164.83,29.62,29.879999999999995
460,400,320,408,64,65,935,156.05,23.89,25.399999999999995
324,993,615,993,466,114,256,140.98,18.26,19.200000000000003
220,803,632,796,912,555,888,108.99,16.68,15.840000000000002
704,480,677,364,265,187,554,129.81,18.77,17.96
212,314,203,252,369,83,839,139.09,23.44,23.320000000000004
287,91,771,458,92,667,588,140.71,18.56,18.440000000000005
658,347,963,232,399,989,314,155.01,24.46,25.719999999999985
42,335,191,324,811,867,592,143.01,18.79,18.920000000000005
914,943,310,251,342,103,557,134.5,21.24,21.199999999999996
626,592,826,610,94,250,225,120.41,18.35,18.040000000000003
20,827,249,411,74,274,564,178.68,29.54,32.75999999999999
888,72,746,76,22,650,10,181.41,36.91,42.27999999999998
297,768,811,367,505,480,883,136.01,18.85,20.279999999999994
879,157,103,513,796,814,335,154.55,27.94,26.839999999999986
78,521,972,681,177,183,794,164.68,26.67,28.07999999999999
153,144,841,886,327,312,109,145.04,24.6,27.11999999999999
726,526,854,941,616,300,129,122.5,18.0,17.56
915,211,145,558,932,739,32,130.6,18.6,18.6
798,323,840,924,638,823,688,128.96,20.5,21.79999999999999
928,566,860,966,764,706,210,113.91,17.89,18.359999999999992
