n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
232,379,985,384,129,197,721,44,87,167.27,32.26,31.55999999999999
140,253,830,518,214,410,657,31,470,165.59,31.9,33.76
499,464,399,506,586,196,918,850,412,140.92,21.11,22.560000000000002
91,496,239,777,20,717,273,532,417,170.94,31.22,30.599999999999994
485,923,933,388,743,116,678,264,99,145.85,22.66,22.920000000000005
833,64,395,635,849,386,110,676,59,160.26,24.74,25.799999999999997
346,240,707,88,509,925,665,529,923,157.05,31.78,29.639999999999997
212,595,827,145,621,65,552,968,38,167.41,28.74,28.800000000000008
500,718,198,151,968,880,592,467,746,147.73,23.31,23.96
598,902,455,292,570,365,875,899,436,134.06,24.57,23.07999999999999
138,162,782,615,99,544,706,321,718,170.49,21.57,22.72
365,972,659,863,506,515,638,202,316,156.45,25.14,26.840000000000003
153,364,541,291,522,672,73,827,924,158.3,26.77,27.759999999999994
877,519,934,718,558,225,352,249,929,140.13,21.23,22.240000000000002
12,302,351,225,273,34,433,260,385,179.86,34.79,36.72
305,854,722,912,426,179,673,405,119,151.06,22.39,24.679999999999993
170,954,679,872,998,26,206,996,784,156.99,24.58,25.120000000000008
164,307,119,13,815,782,389,350,856,165.46,33.09,33.28000000000001
174,582,446,926,237,142,419,577,456,142.38,22.48,22.64
416,427,82,602,71,295,734,97,34,188.64,33.52,35.20000000000001
87,679,109,782,533,539,368,157,827,161.61,29.42,31.359999999999985
958,517,499,725,152,618,64,194,17,165.49,32.74,33.08
934,143,348,395,674,587,123,761,306,157.67,26.78,28.039999999999992
359,333,988,374,3,661,855,510,215,194.96,64.42,66.40000000000005
62,896,632,33,904,988,889,777,827,157.09,29.66,31.39999999999999
836,593,176,182,345,993,441,452,123,157.43,24.91,25.400000000000006
85,205,619,229,509,830,484,809,158,141.59,26.52,26.840000000000003
390,124,111,594,738,463,663,129,736,157.61,35.07,38.35999999999997
450,526,742,92,732,950,482,577,403,146.42,24.0,25.079999999999995
836,369,466,230,52,202,50,456,114,156.84,29.82,29.96
110,216,742,4,725,615,626,928,23,184.51,47.16,46.75999999999999
670,372,849,442,540,95,991,766,773,163.99,23.34,24.360000000000003
614,514,838,722,582,205,513,234,331,149.6,25.15,24.239999999999995
538,393,761,532,662,200,6,296,627,188.86,43.61,45.12
303,930,81,761,328,949,928,412,229,159.27,27.2,26.759999999999998
647,303,81,560,429,762,378,826,964,134.1,19.67,20.680000000000003
758,870,328,528,309,640,851,980,365,147.13,22.32,22.040000000000003
802,916,302,667,866,111,200,496,378,138.81,22.29,22.55999999999999
387,981,599,867,940,319,210,297,406,155.92,25.39,25.319999999999993
627,392,862,941,700,536,958,707,745,138.44,24.65,23.599999999999987
364,840,692,619,599,370,689,437,200,131.67,21.53,22.36
501,842,541,519,858,83,275,167,70,161.5,22.76,24.080000000000002
510,750,887,277,429,798,119,639,849,172.44,23.89,23.88
844,280,298,280,823,845,516,275,283,129.23,21.53,24.07999999999999
909,647,421,250,370,251,988,253,809,145.07,21.87,21.000000000000004
516,765,468,255,239,832,830,610,537,151.44,25.36,24.439999999999998
849,200,376,508,799,108,812,114,397,159.14,28.47,30.879999999999995
86,670,174,798,580,437,942,46,805,160.54,28.31,28.959999999999994
931,140,22,624,195,701,270,89,97,167.18,33.19,35.239999999999995
473,470,889,685,927,289,947,579,94,130.16,21.0,22.0
129,621,366,885,668,67,327,809,39,180.89,39.75,37.99999999999999
855,941,85,879,140,669,823,375,848,134.89,20.59,20.8
76,834,236,742,37,614,809,326,227,166.07,30.91,28.719999999999995
303,761,366,990,334,67,532,921,116,168.36,28.73,27.440000000000005
938,738,624,356,444,163,160,261,914,167.6,29.6,29.839999999999996
398,152,441,745,800,66,102,547,227,170.85,29.13,29.56
84,300,947,180,345,767,203,111,968,165.71,31.98,32.2
52,58,569,805,753,181,844,174,572,170.71,32.66,33.55999999999999
654,334,302,903,248,753,512,490,113,139.11,22.14,22.080000000000002
576,735,958,84,140,953,767,135,230,171.19,28.77,30.52000000000001
334,223,417,178,173,138,780,450,62,155.34,26.68,28.68
711,908,459,599,683,628,294,424,833,131.65,25.21,24.71999999999999
958,447,592,703,918,754,944,380,708,156.05,28.65,27.479999999999993
577,727,501,889,375,752,864,798,540,143.84,20.38,20.719999999999995
191,316,272,696,968,487,853,130,859,154.75,24.73,24.359999999999992
857,283,511,650,994,518,546,807,959,153.74,27.69,27.639999999999983
524,296,826,222,582,539,400,785,138,147.77,21.86,21.92
844,500,662,487,127,298,403,32,35,170.73,28.06,28.680000000000007
889,380,518,967,303,355,384,715,28,167.66,32.38,31.639999999999993
636,146,850,704,14,81,847,189,459,181.26,35.66,37.2
593,970,130,786,987,861,435,577,645,107.24,17.25,18.16
592,988,898,110,381,514,40,615,732,172.83,29.54,29.799999999999997
671,377,366,108,969,327,665,104,488,153.69,25.86,24.960000000000004
863,173,661,241,488,373,590,354,955,133.53,21.31,23.07999999999999
380,771,827,439,383,760,643,686,39,157.95,29.52,29.87999999999999
752,144,951,726,678,911,666,320,62,148.24,30.08,30.599999999999987
33,982,238,522,369,495,375,487,574,161.78,27.54,28.079999999999995
177,308,142,662,272,804,23,802,451,177.92,37.08,38.119999999999976
759,294,598,700,267,465,861,303,296,140.48,21.32,21.079999999999995
412,880,509,457,672,644,91,511,919,149.82,22.2,23.239999999999995
669,449,349,139,592,994,754,110,370,130.4,20.69,19.760000000000005
734,614,682,467,370,481,586,392,208,133.78,18.59,19.64
559,535,726,604,177,800,149,516,842,133.07,21.58,23.91999999999999
35,90,561,812,681,777,318,222,150,168.08,29.04,30.240000000000002
651,410,259,970,902,818,202,979,118,159.44,24.58,26.76
14,37,453,735,848,216,324,321,28,191.11,44.8,50.079999999999984
5,753,17,755,131,589,309,655,318,187.52,41.67,52.15999999999997
11,45,832,218,336,324,875,95,424,180.7,36.77,36.68
240,933,867,0,890,697,98,528,523,175.79,42.5,45.03999999999999
207,493,938,774,734,838,431,927,114,157.21,25.33,25.959999999999994
435,518,151,76,149,673,726,797,974,150.06,22.83,23.560000000000002
805,680,722,354,958,611,446,672,51,158.87,22.86,22.160000000000004
259,419,710,679,203,28,291,65,788,168.93,31.27,32.75999999999999
499,322,712,165,230,56,406,847,709,152.54,23.02,23.119999999999997
316,269,315,534,283,617,22,415,813,143.25,27.88,28.359999999999996
213,720,709,711,717,216,193,114,826,139.11,23.08,23.28
790,670,887,958,798,506,159,732,844,138.54,21.3,21.560000000000002
322,244,669,928,84,445,354,914,518,156.46,31.98,31.159999999999997
844,906,562,700,510,930,474,890,627,149.87,22.42,22.96
994,373,632,140,631,169,480,99,226,150.45,22.49,24.680000000000007
