n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
637,261,759,367,814,119.23,19.82,21.95999999999998
707,965,861,757,667,78.13,9.8,9.32
944,542,29,860,476,109.34,13.56,13.040000000000003
794,965,255,664,53,113.25,14.36,14.360000000000003
922,160,115,380,480,108.45,12.34,12.68
889,252,389,556,104,118.5,13.26,13.48
587,255,13,748,221,151.1,26.64,28.319999999999986
417,286,186,938,888,95.83,14.76,13.72
784,398,163,780,816,99.42,13.15,13.000000000000002
73,142,632,632,455,132.92,16.79,19.839999999999993
129,135,1,995,892,146.7,18.55,18.159999999999997
5,214,792,220,983,154.53,27.85,28.83999999999999
169,893,170,296,321,118.08,13.51,13.920000000000003
984,203,552,897,694,72.85,10.09,10.24
640,209,186,963,991,131.0,17.71,18.319999999999993
707,201,989,988,915,106.47,13.34,14.439999999999994
392,305,22,369,424,120.27,17.04,16.48
169,958,149,270,66,120.33,13.49,13.400000000000002
339,308,837,617,600,113.4,13.4,14.279999999999998
3,610,694,724,346,171.06,49.19,52.040000000000056
67,317,363,838,313,145.14,20.47,20.999999999999993
492,713,323,189,492,90.98,14.75,21.519999999999975
483,721,180,58,262,110.52,17.14,18.07999999999999
998,961,23,972,767,139.19,20.11,19.24
366,865,413,18,562,133.34,23.05,23.199999999999992
806,428,374,385,592,103.28,11.27,11.560000000000002
861,9,463,47,724,157.9,32.81,32.92
185,638,978,977,201,93.49,11.47,11.48
121,773,251,951,839,107.88,13.35,13.360000000000003
964,473,352,524,363,108.2,15.31,15.08
914,537,256,794,473,133.07,15.29,15.119999999999997
110,603,766,799,816,95.09,10.34,10.680000000000001
376,880,302,37,443,113.79,13.71,14.440000000000001
968,93,213,348,525,124.8,17.47,16.319999999999993
625,371,940,151,348,100.69,12.92,13.160000000000002
282,946,719,558,94,113.71,16.98,15.319999999999993
319,702,324,313,181,111.68,15.06,16.12
817,80,641,152,738,143.62,23.74,20.799999999999994
705,316,495,165,737,106.49,11.06,11.48
49,82,615,546,945,122.89,19.13,20.07999999999999
415,32,243,758,608,143.53,23.09,23.39999999999999
352,846,256,466,666,131.51,16.79,16.44
431,149,57,938,653,120.3,19.46,17.799999999999994
33,820,505,342,858,118.46,18.45,17.95999999999999
212,133,749,577,972,125.79,18.69,20.679999999999993
135,645,918,806,423,121.21,13.67,13.720000000000004
109,172,444,381,152,123.81,22.27,22.599999999999994
60,865,430,301,144,111.85,13.97,14.24
464,944,635,872,173,87.52,10.73,10.879999999999999
999,534,464,983,499,64.81,8.38,8.36
705,747,325,490,280,100.86,13.16,12.440000000000001
298,481,413,923,150,107.78,12.11,12.080000000000002
115,386,841,544,982,91.24,12.56,12.200000000000003
183,642,959,511,888,115.28,20.03,19.199999999999985
346,184,91,503,278,109.2,13.96,16.599999999999994
527,800,561,888,514,107.93,14.1,15.319999999999993
369,64,804,814,793,143.76,17.36,16.240000000000002
364,711,601,679,35,119.08,14.97,15.320000000000004
777,313,372,572,721,116.7,11.7,11.160000000000002
684,287,855,497,271,91.89,11.85,11.96
788,707,733,300,979,82.1,11.47,11.84
968,348,665,182,594,116.86,16.05,17.559999999999995
872,11,485,560,792,129.19,18.57,20.11999999999999
256,333,687,280,474,125.68,13.45,13.440000000000001
295,836,512,662,689,116.19,15.28,15.600000000000001
816,365,356,280,659,100.66,12.43,12.160000000000002
353,755,960,848,418,121.81,19.14,19.479999999999986
358,944,863,176,890,93.46,11.04,11.0
887,704,460,999,373,78.8,10.32,10.64
979,342,530,145,542,127.65,17.16,18.039999999999992
170,203,856,370,959,115.75,17.01,17.199999999999992
874,488,289,708,80,127.86,18.7,18.919999999999995
736,686,747,426,175,117.25,15.81,16.199999999999996
631,799,958,594,528,113.39,14.38,14.399999999999993
681,958,430,309,638,104.1,12.25,12.56
566,793,887,652,277,122.85,14.51,15.440000000000001
737,28,200,163,600,148.57,26.58,24.919999999999987
451,639,665,185,224,118.15,16.04,16.23999999999999
777,702,184,646,735,106.88,12.14,12.48
42,482,231,169,55,124.12,19.55,18.879999999999995
913,136,113,324,991,113.9,12.04,12.440000000000001
185,494,198,561,36,147.06,21.96,21.000000000000007
425,476,359,389,678,104.49,14.99,15.999999999999993
626,73,604,209,243,135.73,24.05,24.479999999999986
735,924,382,0,358,168.38,33.97,34.39999999999999
415,974,285,876,419,90.02,11.87,11.280000000000001
887,117,705,851,560,97.43,11.53,12.080000000000004
382,987,36,563,628,127.08,17.28,17.320000000000004
308,97,302,558,524,94.68,15.2,15.559999999999999
347,973,594,300,981,103.48,16.9,15.599999999999994
360,838,132,429,419,116.38,16.76,15.719999999999995
832,577,657,551,378,71.87,9.93,9.8
478,145,160,610,391,112.16,12.66,14.239999999999998
577,488,980,203,991,71.62,10.47,10.4
136,623,93,359,840,125.04,18.18,18.759999999999994
914,677,0,391,110,165.3,35.61,33.679999999999986
333,579,938,629,552,96.98,13.6,13.12
144,333,644,897,912,83.84,11.16,11.200000000000001
577,384,439,442,231,118.12,12.94,12.720000000000002
505,298,491,995,725,74.61,10.84,10.440000000000001
