n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
331,970,154,404,666,49,74,141.72,29.74,32.879999999999974
840,548,96,374,596,59,931,146.71,23.4,23.359999999999996
519,219,38,88,444,428,71,176.91,27.29,27.920000000000005
246,92,564,434,60,846,579,135.43,18.05,19.240000000000002
126,970,228,645,642,596,970,130.71,16.4,18.64
63,590,599,406,50,999,226,137.74,22.52,23.079999999999995
47,570,879,136,296,429,147,155.12,23.42,25.47999999999999
553,120,584,315,573,835,698,130.44,17.14,17.64
185,105,595,584,654,192,381,160.49,25.65,27.08
99,560,729,64,577,61,633,141.47,19.95,20.56
210,508,696,544,437,795,321,140.97,24.81,24.479999999999983
476,599,945,464,370,306,254,117.86,18.96,20.279999999999994
813,184,715,798,249,83,588,133.69,19.99,20.520000000000003
307,537,506,896,351,746,459,117.04,20.16,18.200000000000003
294,623,74,120,524,428,168,156.59,26.81,28.719999999999985
775,350,155,955,500,431,40,144.85,23.37,23.759999999999994
985,684,79,782,571,586,808,153.2,19.17,19.720000000000006
896,837,321,348,711,358,608,139.43,19.51,19.71999999999999
508,593,816,467,70,860,95,133.65,22.41,22.039999999999996
967,276,485,713,680,66,62,128.42,19.94,19.199999999999996
748,718,317,662,591,697,841,141.65,23.11,23.87999999999998
456,291,733,395,908,684,355,117.67,20.25,20.439999999999998
23,963,472,363,172,625,119,150.36,25.21,26.76
505,60,223,786,294,132,756,136.64,23.05,23.27999999999999
253,407,400,938,892,508,82,164.07,30.97,30.439999999999987
170,459,411,562,284,904,140,155.35,20.36,20.280000000000005
838,440,884,563,285,723,425,154.55,23.66,21.879999999999995
367,699,905,389,980,236,154,118.08,19.61,20.23999999999999
84,180,154,237,674,238,12,175.08,36.52,36.23999999999999
496,851,603,186,269,288,4,172.26,37.87,40.399999999999984
149,429,547,378,624,579,326,118.25,22.68,21.919999999999998
975,128,707,879,527,973,632,135.01,18.61,18.92
670,692,757,55,467,921,891,102.88,15.39,15.4
798,974,895,696,817,572,401,115.1,17.34,16.4
407,408,403,106,493,649,410,135.28,24.71,23.639999999999993
63,195,68,213,451,166,112,161.95,30.7,28.319999999999997
348,615,53,104,0,580,154,184.06,44.45,45.91999999999998
549,103,971,372,628,26,72,164.65,31.66,30.999999999999986
895,212,628,385,152,649,258,137.49,20.63,22.120000000000005
978,355,616,372,485,125,118,154.93,18.07,20.560000000000002
869,499,477,491,495,319,87,123.72,17.75,17.32
147,104,767,350,758,271,490,129.18,18.97,18.759999999999998
848,708,165,528,23,210,973,160.77,31.85,33.95999999999999
974,540,370,150,706,556,936,106.52,13.73,14.440000000000001
27,776,540,305,658,884,93,175.18,34.59,35.23999999999998
712,865,267,530,375,930,171,124.41,21.45,22.279999999999994
364,790,228,545,554,797,514,128.94,19.92,20.439999999999994
337,651,228,627,830,807,776,139.45,21.35,20.32
873,199,825,245,837,410,757,116.33,16.64,17.48
822,232,204,530,504,364,748,150.59,22.93,25.039999999999985
29,28,809,286,483,265,198,159.86,30.47,32.36
709,619,979,352,457,827,959,133.71,24.17,24.159999999999982
740,357,977,997,373,82,225,118.52,20.34,20.24
104,232,481,201,345,209,494,145.7,24.87,24.319999999999993
639,921,624,860,1,490,931,104.5,15.16,15.280000000000003
668,352,818,658,86,854,676,139.77,20.42,18.759999999999994
122,931,397,801,728,768,204,157.17,19.99,21.400000000000006
489,910,182,444,808,651,340,133.36,19.85,20.560000000000002
88,820,968,994,739,405,474,121.18,19.78,20.679999999999993
411,761,969,86,742,162,174,147.75,21.48,20.6
130,28,154,604,926,476,825,138.24,23.39,24.03999999999999
671,149,626,846,610,485,673,102.73,15.35,15.760000000000002
959,358,159,561,561,134,21,171.1,31.62,34.71999999999999
14,818,994,743,665,105,539,165.94,27.45,27.92
767,956,142,444,892,199,845,150.03,27.45,30.079999999999977
894,216,28,257,217,299,513,164.98,28.71,28.39999999999999
246,782,600,333,265,557,429,127.82,20.08,20.28
854,134,62,931,757,362,919,137.91,23.9,26.75999999999999
469,678,597,834,925,529,430,104.5,16.11,16.0
846,939,899,513,133,544,155,133.36,21.42,22.08
536,522,19,893,450,795,187,154.18,27.61,26.119999999999994
623,4,794,818,153,176,144,176.48,35.58,37.88
484,633,742,123,569,63,333,164.69,21.36,22.92
698,530,543,568,494,803,795,138.1,23.17,23.479999999999986
108,904,573,58,254,195,283,144.61,28.01,27.079999999999984
43,790,100,519,463,575,28,166.86,30.63,30.159999999999997
778,915,934,64,453,333,627,127.28,21.3,21.839999999999993
996,517,620,524,204,709,283,152.96,17.2,17.4
463,520,546,826,489,519,964,134.05,16.04,17.520000000000003
253,715,535,897,897,964,950,114.34,13.86,16.240000000000002
265,944,572,914,965,207,860,107.2,14.81,14.760000000000002
458,140,426,124,401,452,323,151.7,22.92,24.919999999999998
74,687,246,438,74,217,685,132.3,20.22,29.95999999999999
