n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
637,261,759,367,814,707,965,146.01,24.81,25.559999999999977
861,757,667,944,542,29,860,116.66,17.14,16.680000000000003
476,794,965,255,664,53,922,133.61,19.0,17.840000000000003
160,115,380,480,889,252,389,125.8,17.62,18.520000000000003
556,104,587,255,13,748,221,170.94,32.3,33.83999999999998
417,286,186,938,888,784,398,144.1,20.41,20.120000000000005
163,780,816,73,142,632,632,138.49,22.66,24.719999999999995
455,129,135,1,995,892,5,167.5,31.84,34.39999999999999
214,792,220,983,169,893,170,129.53,22.14,23.2
296,321,984,203,552,897,694,104.08,15.1,15.040000000000001
640,209,186,963,991,707,201,141.22,21.84,22.599999999999994
989,988,915,392,305,22,369,153.04,24.72,24.119999999999994
424,169,958,149,270,66,339,129.27,17.53,18.360000000000003
308,837,617,600,3,610,694,187.3,58.54,60.00000000000005
724,346,67,317,363,838,313,140.67,24.07,24.71999999999999
492,713,323,189,492,483,721,127.56,19.42,25.119999999999973
180,58,262,998,961,23,972,168.57,30.78,32.11999999999999
767,366,865,413,18,562,806,153.66,28.26,27.279999999999994
428,374,385,592,861,9,463,164.36,32.76,32.919999999999995
47,724,185,638,978,977,201,140.03,19.26,20.560000000000002
121,773,251,951,839,964,473,130.74,18.33,18.44
352,524,363,914,537,256,794,145.37,20.49,21.28
473,110,603,766,799,816,376,136.19,16.63,16.680000000000003
880,302,37,443,968,93,213,148.59,23.96,23.719999999999995
348,525,625,371,940,151,348,106.75,14.94,17.759999999999998
282,946,719,558,94,319,702,123.05,19.71,20.839999999999996
324,313,181,817,80,641,152,149.55,24.21,24.96
738,705,316,495,165,737,49,148.43,24.78,25.519999999999982
82,615,546,945,415,32,243,164.6,22.73,25.12
758,608,352,846,256,466,666,144.45,24.97,26.039999999999992
431,149,57,938,653,33,820,151.88,28.63,29.159999999999986
505,342,858,212,133,749,577,151.86,25.21,23.679999999999996
972,135,645,918,806,423,109,153.11,22.27,23.959999999999994
172,444,381,152,60,865,430,147.06,22.46,24.24
301,144,464,944,635,872,173,138.07,16.01,16.76
999,534,464,983,499,705,747,92.2,12.8,12.52
325,490,280,298,481,413,923,134.71,16.86,17.400000000000002
150,115,386,841,544,982,183,125.29,23.39,22.199999999999996
642,959,511,888,346,184,91,140.37,20.47,20.519999999999996
503,278,527,800,561,888,514,120.31,20.55,23.319999999999986
369,64,804,814,793,364,711,158.23,19.31,21.12
601,679,35,777,313,372,572,142.58,19.05,19.720000000000002
721,684,287,855,497,271,788,109.75,15.4,15.36
707,733,300,979,968,348,665,136.4,17.9,17.84
182,594,872,11,485,560,792,162.38,28.24,29.83999999999998
256,333,687,280,474,295,836,132.68,19.87,20.76
512,662,689,816,365,356,280,130.76,18.98,18.480000000000004
659,353,755,960,848,418,358,149.18,23.15,24.279999999999983
944,863,176,890,887,704,460,99.74,14.78,14.64
999,373,979,342,530,145,542,138.97,22.73,22.199999999999992
170,203,856,370,959,874,488,139.57,20.85,20.639999999999993
289,708,80,736,686,747,426,143.98,24.94,27.279999999999987
175,631,799,958,594,528,681,144.48,21.15,22.08
958,430,309,638,566,793,887,112.48,17.91,17.360000000000003
652,277,737,28,200,163,600,170.39,31.36,31.559999999999988
451,639,665,185,224,777,702,120.41,20.69,20.159999999999997
184,646,735,42,482,231,169,164.65,23.23,23.519999999999996
55,913,136,113,324,991,185,147.24,18.6,18.720000000000002
494,198,561,36,425,476,359,162.84,30.3,29.56
389,678,626,73,604,209,243,141.32,30.81,29.399999999999988
735,924,382,0,358,415,974,167.26,35.69,38.879999999999995
285,876,419,887,117,705,851,126.79,17.64,17.160000000000004
560,382,987,36,563,628,308,149.28,22.27,22.48
97,302,558,524,347,973,594,137.44,22.68,22.71999999999999
300,981,360,838,132,429,419,130.19,18.49,19.759999999999994
832,577,657,551,378,478,145,99.8,13.92,14.400000000000002
160,610,391,577,488,980,203,114.03,18.65,18.48
991,136,623,93,359,840,914,121.11,20.19,22.039999999999992
677,0,391,110,333,579,938,180.19,38.38,39.279999999999994
629,552,144,333,644,897,912,118.05,16.6,16.759999999999998
577,384,439,442,231,505,298,115.28,16.8,17.360000000000003
491,995,725,388,393,984,875,98.33,13.72,13.76
935,162,610,608,266,758,308,141.21,22.79,21.99999999999999
508,257,425,20,326,967,314,169.89,34.94,38.71999999999997
503,951,293,146,488,24,124,161.28,26.44,28.24
675,636,983,454,251,300,40,145.98,17.26,17.84
800,139,846,401,13,491,545,164.02,25.84,25.36
573,280,249,957,485,800,37,127.72,18.46,21.559999999999995
251,501,274,864,158,738,292,136.44,21.56,23.599999999999994
300,504,622,486,530,660,884,132.43,19.17,19.639999999999993
618,901,761,916,121,16,778,142.36,22.06,22.480000000000004
129,307,289,546,725,344,628,133.47,17.97,17.92
303,748,542,27,475,358,369,167.41,27.57,29.119999999999994
698,762,832,604,135,37,2,147.82,23.22,24.799999999999997
258,566,466,702,938,110,909,110.98,15.41,16.040000000000003
703,558,195,14,439,797,826,153.79,28.72,28.560000000000002
437,609,589,705,725,976,647,107.11,15.67,16.32
664,493,879,933,861,394,487,101.69,14.56,15.08
401,698,872,736,201,920,303,130.92,18.88,19.15999999999999
476,849,776,67,310,856,3,175.23,58.62,59.400000000000055
711,797,443,596,293,663,799,117.32,17.57,17.680000000000003
483,932,318,146,169,489,711,144.14,22.06,21.999999999999993
562,910,509,996,338,550,157,120.8,22.95,21.039999999999992
435,599,554,831,49,70,750,159.07,22.3,23.639999999999997
235,273,839,87,810,64,679,148.97,19.37,20.040000000000003
964,26,341,739,439,70,414,159.51,23.18,24.28
718,498,50,126,862,125,224,139.12,22.94,22.24
629,661,844,975,113,729,916,119.31,17.33,17.04
137,299,722,940,448,153,187,131.84,19.76,20.6
625,189,423,821,165,68,637,160.65,20.66,21.359999999999992
