n0,monte_carlo,monte_carlo_max_hop,two_hop
474,17.91,1.73,1.7199999999999998
627,39.74,3.39,3.5200000000000005
382,22.89,2.31,2.3200000000000003
273,39.06,2.44,2.6
141,39.96,3.91,3.720000000000001
190,17.15,2.06,2.2
887,19.06,1.74,1.76
692,13.17,2.44,2.3200000000000003
6,147.62,21.69,21.839999999999996
346,28.04,2.35,2.12
514,56.43,5.03,6.639999999999992
474,23.94,1.64,1.7199999999999998
919,13.81,1.59,1.6
619,24.92,2.09,1.96
82,68.96,5.14,4.919999999999999
342,36.34,3.07,3.000000000000001
567,15.92,2.03,1.96
958,20.5,1.72,1.7999999999999998
631,11.51,1.64,1.68
716,32.93,3.59,3.3200000000000003
41,79.68,9.78,8.919999999999993
745,17.08,2.12,2.24
388,29.75,2.54,2.48
173,49.93,3.33,3.3200000000000003
720,24.47,1.61,1.7999999999999998
968,12.88,2.17,1.9200000000000002
462,30.2,1.85,1.88
974,9.74,1.76,1.6400000000000001
742,28.34,3.66,3.0400000000000005
432,44.68,3.88,3.520000000000001
160,51.3,3.69,3.7200000000000006
172,29.66,2.51,2.4000000000000004
243,56.27,4.43,4.559999999999999
52,49.03,5.4,4.88
113,29.52,3.17,2.9999999999999996
135,45.69,3.83,3.9600000000000013
518,15.29,3.07,2.76
892,71.16,6.97,6.479999999999993
946,19.13,2.04,2.12
604,11.82,1.6,1.6400000000000001
64,63.35,3.55,4.200000000000001
792,11.19,1.82,1.68
704,17.28,2.19,2.16
392,18.77,2.22,2.24
808,35.05,2.61,2.880000000000001
764,14.83,2.48,2.24
908,39.14,4.89,5.479999999999992
104,45.05,3.88,3.7199999999999998
941,14.79,1.66,1.7199999999999998
298,27.82,2.56,2.68
209,72.76,7.7,8.079999999999993
690,24.21,1.7,1.7599999999999998
229,37.17,3.4,3.32
743,19.2,1.55,1.76
812,6.53,1.57,1.6
431,38.95,5.51,5.439999999999992
910,24.56,1.63,1.96
89,41.63,7.55,6.319999999999993
791,34.38,2.3,2.2800000000000002
273,29.02,2.66,2.6
933,8.9,1.51,1.56
214,61.98,7.64,7.959999999999995
406,21.8,2.17,2.08
287,31.65,2.63,2.6
349,22.33,1.85,2.0
828,35.96,3.43,3.4400000000000004
44,92.27,13.23,11.63999999999999
204,40.58,2.57,2.7199999999999998
725,14.62,2.48,2.04
907,30.95,2.97,3.0400000000000005
5,105.98,17.35,14.679999999999993
900,33.82,2.8,2.9600000000000004
421,19.19,1.84,2.12
56,46.23,5.18,4.999999999999999
917,8.99,1.94,1.7999999999999998
387,32.27,3.19,3.0000000000000004
866,16.0,1.73,1.68
503,38.32,7.07,5.879999999999992
142,46.47,3.61,3.3600000000000003
24,82.25,9.6,8.480000000000002
242,26.34,2.99,3.1600000000000006
434,16.96,2.06,2.08
753,13.54,2.44,2.3600000000000003
928,7.63,1.66,1.7199999999999998
871,25.0,2.41,2.5200000000000005
114,55.95,4.41,4.080000000000001
987,9.5,1.65,1.64
611,30.07,2.6,2.4800000000000004
3,164.15,45.18,44.52000000000005
124,53.72,3.56,3.920000000000001
782,30.21,2.8,2.880000000000001
592,30.42,3.06,2.7600000000000007
202,50.34,5.08,5.280000000000001
916,9.28,1.71,1.7199999999999998
872,4.81,2.05,1.84
207,14.14,2.03,1.88
338,36.16,2.78,2.960000000000001
8,118.5,10.16,10.560000000000002
913,25.17,1.63,1.72
85,42.51,3.14,3.6000000000000005
