n0,monte_carlo,monte_carlo_max_hop,two_hop
137,46.78,4.63,4.040000000000001
582,10.44,1.82,1.6400000000000001
867,26.01,1.78,1.72
821,13.17,1.58,1.6400000000000001
782,43.01,3.05,2.880000000000001
64,55.67,3.79,4.200000000000001
261,53.07,3.3,3.24
120,46.81,3.17,3.08
507,35.98,3.29,2.8400000000000007
779,19.99,1.57,1.6
460,25.17,2.45,2.56
483,11.98,1.99,1.88
667,20.24,2.59,2.4000000000000004
388,23.96,2.3,2.48
807,32.04,3.67,3.680000000000001
214,62.87,7.65,7.959999999999995
96,59.25,7.83,7.7199999999999935
499,10.45,1.71,1.72
29,60.51,5.11,5.320000000000002
914,13.06,1.75,1.72
855,7.69,1.57,1.68
399,25.08,3.48,3.6000000000000005
443,56.32,3.75,4.400000000000001
622,13.46,1.89,1.68
780,10.05,1.61,1.9200000000000002
785,22.98,2.4,2.3600000000000003
2,57.49,7.2,8.999999999999993
712,15.95,1.75,1.6
456,16.8,2.34,2.04
272,42.68,2.51,2.48
738,36.96,4.58,5.5199999999999925
821,17.65,1.62,1.6400000000000001
234,39.04,2.91,2.7600000000000007
605,25.13,2.08,2.24
967,8.83,1.48,1.56
104,37.66,3.56,3.7199999999999998
923,30.33,2.59,2.2
325,45.35,4.45,4.400000000000001
31,79.23,5.49,5.600000000000001
22,93.61,7.48,7.040000000000002
26,83.34,7.34,7.480000000000002
665,33.06,3.01,3.5200000000000005
554,37.06,2.38,2.4000000000000004
9,140.3,20.44,20.679999999999996
961,26.24,2.35,2.5200000000000005
902,20.87,1.78,1.84
390,29.47,2.16,2.2
702,11.56,2.23,2.08
221,36.06,2.75,2.7200000000000006
992,9.17,1.78,1.64
432,38.72,3.52,3.520000000000001
743,28.41,1.53,1.76
29,62.95,5.23,5.320000000000002
540,32.95,2.43,2.5200000000000005
227,11.53,1.91,2.1599999999999997
782,35.6,2.85,2.880000000000001
448,22.62,2.3,2.4
961,26.88,2.3,2.5200000000000005
507,23.73,2.64,2.8400000000000007
566,34.05,2.35,2.5200000000000005
238,21.36,2.86,2.76
353,56.18,4.96,4.720000000000001
236,26.87,3.24,3.6399999999999992
693,44.11,2.86,3.5999999999999988
224,29.36,2.88,2.8800000000000003
779,17.08,1.66,1.6
470,23.92,1.69,1.88
975,8.11,1.71,1.56
296,22.48,2.19,2.16
948,25.8,1.94,2.0
22,81.37,7.04,7.040000000000002
426,28.98,1.83,1.8800000000000001
857,21.16,1.97,1.92
938,23.52,2.45,2.2800000000000002
569,16.56,1.94,2.04
944,33.6,2.44,2.3600000000000003
657,18.83,1.73,1.7999999999999998
102,46.43,8.11,6.839999999999993
190,21.98,2.31,2.2
644,10.18,2.01,2.1599999999999997
741,23.13,1.76,1.84
880,15.49,1.69,1.92
303,18.8,1.77,2.08
123,51.02,3.9,4.44
760,1.48,1.64,1.6
340,30.06,1.92,2.08
917,6.9,2.12,1.7999999999999998
738,37.65,6.84,5.5199999999999925
996,11.37,1.61,1.6
728,31.47,2.49,2.5200000000000005
512,33.27,2.5,2.6000000000000005
958,10.89,1.66,1.7999999999999998
990,13.39,1.62,1.8
432,40.81,3.76,3.520000000000001
519,30.35,1.79,1.6400000000000001
849,31.29,2.55,2.3600000000000003
932,11.29,1.65,1.68
686,16.59,1.61,1.68
194,49.52,4.4,4.64
310,16.14,1.96,2.08
