n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
637,261,759,367,814,707,965,861,757,667,944,173.82,31.02,32.839999999999975
542,29,860,476,794,965,255,664,53,922,160,163.71,29.58,30.160000000000004
115,380,480,889,252,389,556,104,587,255,13,173.99,35.88,38.879999999999995
748,221,417,286,186,938,888,784,398,163,780,171.47,34.55,33.63999999999999
816,73,142,632,632,455,129,135,1,995,892,178.98,36.4,39.31999999999999
5,214,792,220,983,169,893,170,296,321,984,179.46,43.37,44.39999999999998
203,552,897,694,640,209,186,963,991,707,201,156.23,32.02,31.039999999999992
989,988,915,392,305,22,369,424,169,958,149,170.74,33.56,34.12
270,66,339,308,837,617,600,3,610,694,724,190.42,68.53,70.04000000000003
346,67,317,363,838,313,492,713,323,189,492,168.22,37.41,44.43999999999996
483,721,180,58,262,998,961,23,972,767,366,188.93,38.26,39.679999999999986
865,413,18,562,806,428,374,385,592,861,9,188.28,51.82,54.39999999999999
463,47,724,185,638,978,977,201,121,773,251,175.12,31.76,32.88
951,839,964,473,352,524,363,914,537,256,794,172.42,29.7,30.839999999999996
473,110,603,766,799,816,376,880,302,37,443,164.55,27.01,28.480000000000008
968,93,213,348,525,625,371,940,151,348,282,173.75,32.23,34.83999999999999
946,719,558,94,319,702,324,313,181,817,80,185.22,33.27,34.36
641,152,738,705,316,495,165,737,49,82,615,173.84,38.34,37.91999999999999
546,945,415,32,243,758,608,352,846,256,466,183.16,37.79,40.83999999999999
666,431,149,57,938,653,33,820,505,342,858,181.65,37.19,39.07999999999999
212,133,749,577,972,135,645,918,806,423,109,185.25,36.73,40.959999999999994
172,444,381,152,60,865,430,301,144,464,944,162.04,31.98,34.160000000000004
635,872,173,999,534,464,983,499,705,747,325,164.88,24.62,23.760000000000005
490,280,298,481,413,923,150,115,386,841,544,162.19,25.36,25.88
982,183,642,959,511,888,346,184,91,503,278,164.3,33.92,37.59999999999998
527,800,561,888,514,369,64,804,814,793,364,163.67,31.29,34.4
711,601,679,35,777,313,372,572,721,684,287,173.64,27.91,29.000000000000004
855,497,271,788,707,733,300,979,968,348,665,139.49,24.7,25.640000000000004
182,594,872,11,485,560,792,256,333,687,280,174.55,40.29,41.55999999999998
474,295,836,512,662,689,816,365,356,280,659,167.61,29.11,29.400000000000006
353,755,960,848,418,358,944,863,176,890,887,159.87,29.9,32.23999999999999
704,460,999,373,979,342,530,145,542,170,203,168.24,34.79,34.519999999999996
856,370,959,874,488,289,708,80,736,686,747,178.29,35.81,38.27999999999998
426,175,631,799,958,594,528,681,958,430,309,156.23,28.4,30.119999999999994
638,566,793,887,652,277,737,28,200,163,600,185.9,38.69,42.759999999999984
451,639,665,185,224,777,702,184,646,735,42,177.94,31.39,31.68
482,231,169,55,913,136,113,324,991,185,494,170.82,32.75,32.99999999999999
198,561,36,425,476,359,389,678,626,73,604,174.67,41.72,43.879999999999995
