n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
243,606,557,133,378,781.48,64.26,68.75
937,618,485,640,594,777.31,62.5,65.5
67,620,13,930,857,779.39,88.8,95.0
480,265,564,239,196,779.24,40.22,43.0
734,481,553,856,562,775.05,33.6,34.0
487,406,654,881,154,781.6,30.77,31.0
237,650,155,888,948,779.06,63.75,65.25
535,399,759,15,687,780.0,77.25,84.5
795,65,163,776,980,779.87,43.49,45.0
605,43,308,798,31,778.13,70.04,72.75
843,886,275,484,609,774.29,63.46,68.25
736,942,899,396,731,777.89,64.91,67.25
807,943,437,404,745,777.13,60.06,62.5
820,590,455,987,958,778.42,44.0,44.0
137,899,374,99,36,778.96,75.98,81.0
139,506,222,264,988,782.61,37.09,37.5
688,446,797,641,875,781.65,38.23,40.75
308,431,519,853,395,779.47,69.4,83.0
587,359,546,599,417,779.65,50.48,53.25
598,237,925,344,698,775.64,44.33,44.75
937,951,29,876,286,778.94,64.64,71.5
620,687,712,167,715,776.22,43.55,46.75
881,334,987,554,926,780.29,33.99,36.25
585,582,106,730,671,777.21,36.94,37.75
216,648,851,587,273,782.82,64.66,68.0
291,127,64,493,874,778.66,44.92,46.25
654,495,90,352,819,779.86,41.82,46.25
68,420,918,154,20,777.2,99.08,106.75
300,437,787,425,893,779.28,62.8,56.75
121,45,619,629,779,779.46,55.62,61.5
46,386,735,600,338,777.33,74.87,78.75
564,902,944,285,517,778.54,30.87,30.75
241,36,317,7,78,781.58,167.97,196.5
110,614,548,32,971,777.03,51.01,51.0
202,994,417,298,625,782.95,43.51,43.75
269,159,706,43,888,780.05,82.29,81.75
347,321,368,981,141,777.07,51.5,52.25
918,882,386,385,471,775.18,38.38,38.25
890,532,395,659,887,779.84,31.53,32.25
609,697,572,105,635,779.77,38.39,38.0
996,963,830,519,277,775.56,38.65,41.0
441,649,737,732,243,777.56,37.63,39.0
958,308,447,264,533,779.38,46.22,47.75
310,561,347,11,807,779.07,91.94,99.5
425,593,322,20,385,775.32,90.8,107.25
630,603,647,136,61,779.07,60.03,62.0
648,642,340,477,361,778.11,39.4,42.25
695,939,361,623,723,778.6,34.64,36.5
285,755,501,22,603,777.98,83.92,86.25
62,977,692,21,986,779.91,74.77,85.5
378,257,643,467,305,779.99,55.62,60.75
606,615,327,181,372,777.09,52.19,53.75
189,320,776,378,864,779.1,45.68,48.75
609,270,307,806,386,775.37,42.89,46.25
107,790,832,27,994,780.73,69.61,72.5
582,700,752,134,317,776.73,81.49,94.5
512,227,669,823,275,778.06,34.39,32.75
244,335,191,694,445,778.25,70.86,72.25
665,714,99,104,615,782.45,47.38,51.25
329,971,341,691,853,781.88,66.19,66.75
229,448,829,876,983,777.77,27.59,29.5
173,81,344,759,665,778.46,58.94,66.75
223,906,582,461,277,777.7,53.66,55.75
230,805,123,34,542,778.59,52.05,54.5
980,195,322,826,856,773.41,29.22,31.25
858,588,187,884,285,775.49,36.45,38.5
348,826,847,657,87,781.17,37.05,37.0
825,634,353,603,132,780.93,77.47,92.5
431,298,530,812,870,782.27,58.95,73.75
277,475,354,649,426,778.75,43.13,45.5
297,429,581,419,36,777.75,66.08,71.25
942,423,159,204,4,780.29,121.14,145.75
488,965,852,901,637,772.28,61.82,62.75
522,444,572,972,949,772.44,40.32,46.75
734,227,33,763,467,780.56,80.22,96.0
856,771,678,765,531,779.81,42.61,44.0
986,295,556,349,911,767.56,71.09,72.5
232,882,69,878,602,779.49,41.11,42.5
994,293,122,829,250,778.88,26.53,28.25
46,35,925,822,710,777.85,54.64,58.0
524,946,203,918,904,775.96,44.71,45.75
921,440,590,50,13,777.77,96.09,97.75
492,763,123,175,515,777.91,83.27,96.75
307,244,678,20,537,779.09,92.73,95.75
549,423,54,961,934,781.18,49.73,50.0
626,116,349,128,258,776.5,57.98,61.0
995,882,553,488,831,779.63,26.1,26.75
801,62,360,226,202,776.0,72.16,84.75
125,547,908,836,122,776.33,73.67,78.0
175,245,810,280,943,778.16,37.51,38.75
910,825,131,843,942,777.61,47.0,47.5
7,499,643,584,883,780.23,133.91,153.5
409,51,774,277,254,776.39,87.34,91.0
275,632,539,532,433,779.37,44.31,46.75
52,484,330,795,839,776.2,44.42,50.25
1,877,56,793,129,775.86,63.02,65.0
47,127,51,70,494,781.63,73.85,80.25
998,33,874,729,88,779.98,81.62,83.5
527,514,501,323,160,778.05,78.24,92.75
322,73,359,395,662,781.25,69.86,75.25
