n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
331,970,154,404,666,124.43,14.9,16.479999999999993
49,74,840,548,96,157.64,27.23,30.119999999999983
374,596,59,931,519,106.93,13.82,13.040000000000003
219,38,88,444,428,136.37,18.99,19.160000000000004
71,246,92,564,434,128.24,16.77,16.360000000000007
60,846,579,126,970,119.01,16.2,16.0
228,645,642,596,970,93.77,12.51,12.64
63,590,599,406,50,134.67,18.17,18.599999999999994
999,226,47,570,879,126.5,20.1,20.239999999999995
136,296,429,147,553,103.69,11.91,12.040000000000001
120,584,315,573,835,104.09,13.02,12.96
698,185,105,595,584,105.96,14.54,14.200000000000003
654,192,381,99,560,137.48,19.8,20.71999999999999
729,64,577,61,633,111.46,14.94,15.24
210,508,696,544,437,113.32,18.83,19.879999999999985
795,321,476,599,945,90.18,11.77,11.400000000000002
464,370,306,254,813,112.28,14.74,15.199999999999992
184,715,798,249,83,118.51,15.9,16.72
588,307,537,506,896,93.21,13.92,13.04
351,746,459,294,623,120.3,11.61,12.440000000000001
74,120,524,428,168,136.58,22.66,23.839999999999986
775,350,155,955,500,121.93,13.44,13.560000000000002
431,40,985,684,79,141.1,20.21,20.279999999999994
782,571,586,808,896,86.68,12.3,11.320000000000002
837,321,348,711,358,94.87,11.72,12.0
608,508,593,816,467,102.4,15.57,18.079999999999984
70,860,95,967,276,87.27,12.89,13.320000000000002
485,713,680,66,62,119.02,15.12,15.959999999999994
748,718,317,662,591,119.45,20.0,20.23999999999998
697,841,456,291,733,73.67,9.2,9.44
395,908,684,355,23,142.85,25.57,24.39999999999999
963,472,363,172,625,102.79,11.59,11.64
119,505,60,223,786,113.67,16.26,16.28
294,132,756,253,407,113.42,17.56,18.159999999999993
400,938,892,508,82,128.63,22.53,23.119999999999987
170,459,411,562,284,117.47,13.36,13.920000000000003
904,140,838,440,884,112.46,13.87,14.440000000000003
563,285,723,425,367,116.02,19.5,20.079999999999984
699,905,389,980,236,69.91,11.27,10.92
154,84,180,154,237,110.83,17.59,20.800000000000004
674,238,12,496,851,130.63,24.51,23.75999999999999
603,186,269,288,4,167.91,33.81,36.43999999999998
149,429,547,378,624,96.98,13.53,12.880000000000004
579,326,975,128,707,122.06,15.75,17.599999999999994
879,527,973,632,670,118.26,12.74,12.840000000000002
692,757,55,467,921,85.71,11.08,11.4
891,798,974,895,696,86.72,10.57,10.56
817,572,401,407,408,120.99,16.81,16.79999999999999
403,106,493,649,410,126.45,14.4,14.28
63,195,68,213,451,146.58,21.53,21.159999999999997
166,112,348,615,53,117.81,15.95,16.000000000000004
104,0,580,154,549,173.75,35.24,39.19999999999998
103,971,372,628,26,140.87,22.29,22.04
72,895,212,628,385,114.28,19.25,20.359999999999996
152,649,258,978,355,82.64,13.5,13.56
616,372,485,125,118,127.48,15.42,16.0
869,499,477,491,495,84.89,10.46,10.4
319,87,147,104,767,119.34,15.56,14.999999999999998
350,758,271,490,848,94.96,12.42,12.24
708,165,528,23,210,159.06,27.97,29.479999999999983
973,974,540,370,150,108.02,11.03,11.840000000000002
706,556,936,27,776,132.26,20.49,20.72
540,305,658,884,93,124.9,20.1,20.039999999999985
712,865,267,530,375,92.68,15.96,15.559999999999992
930,171,364,790,228,112.44,14.15,13.920000000000002
545,554,797,514,337,127.8,17.83,16.999999999999993
651,228,627,830,807,92.88,13.85,13.960000000000003
776,873,199,825,245,81.98,12.55,12.440000000000001
837,410,757,822,232,87.68,11.6,11.759999999999998
204,530,504,364,748,122.74,20.22,20.999999999999986
29,28,809,286,483,143.12,24.6,25.07999999999999
265,198,709,619,979,105.7,15.44,16.28
352,457,827,959,740,107.69,17.82,17.599999999999987
357,977,997,373,82,110.75,14.29,14.84
225,104,232,481,201,101.51,13.66,13.92
345,209,494,639,921,118.06,16.22,17.399999999999995
624,860,1,490,931,93.8,12.92,11.920000000000002
668,352,818,658,86,98.48,13.78,15.439999999999994
854,676,122,931,397,95.42,12.8,12.840000000000003
801,728,768,204,489,117.99,16.27,15.64
910,182,444,808,651,115.38,14.44,14.8
340,88,820,968,994,94.05,12.76,12.200000000000003
739,405,474,411,761,95.96,17.97,16.159999999999993
969,86,742,162,174,119.79,14.04,14.240000000000002
130,28,154,604,926,127.17,18.94,20.07999999999999
476,825,671,149,626,84.01,10.31,10.440000000000001
846,610,485,673,959,108.37,16.28,14.999999999999993
358,159,561,561,134,140.79,18.62,21.279999999999998
21,14,818,994,743,158.0,27.07,27.240000000000006
665,105,539,767,956,117.21,15.86,16.199999999999992
142,444,892,199,845,148.38,21.51,22.999999999999986
894,216,28,257,217,142.11,23.02,24.19999999999999
299,513,246,782,600,109.39,13.96,14.120000000000001
333,265,557,429,854,93.63,12.32,12.24
134,62,931,757,362,133.46,22.63,23.43999999999999
919,469,678,597,834,90.56,11.05,11.040000000000001
925,529,430,846,939,108.98,10.83,11.560000000000002
899,513,133,544,155,123.72,15.72,17.08
536,522,19,893,450,139.13,22.05,21.199999999999996
795,187,623,4,794,158.59,29.49,31.479999999999997
