n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
137,582,867,821,782,64,261,120,507,168.77,24.65,25.2
779,460,483,667,388,807,214,96,499,165.73,32.92,31.919999999999987
29,914,855,399,443,622,780,785,2,171.12,30.18,31.439999999999998
712,456,272,738,821,234,605,967,104,128.38,23.69,23.55999999999999
923,325,31,22,26,665,554,9,961,190.25,52.82,55.76000000000001
902,390,702,221,992,432,743,29,540,170.24,22.47,23.520000000000007
227,782,448,961,507,566,238,353,236,159.05,26.65,26.439999999999998
693,224,779,470,975,296,948,22,426,143.03,24.71,24.04
857,938,569,944,657,102,190,644,741,150.06,25.86,23.279999999999994
880,303,123,760,340,917,738,996,728,147.3,24.12,23.559999999999995
512,958,990,432,519,849,932,686,194,134.91,19.96,20.76
310,290,601,996,903,511,866,963,517,154.92,20.1,20.760000000000005
402,603,873,35,491,248,761,816,413,150.04,23.21,23.439999999999998
424,680,177,375,561,903,719,794,690,129.12,22.91,23.679999999999993
755,383,88,449,679,520,110,797,167,170.28,30.78,30.159999999999997
533,860,402,379,501,750,30,480,44,157.38,29.87,32.75999999999999
315,720,868,629,607,592,403,662,174,152.21,24.62,23.96
172,514,232,12,789,204,552,942,880,170.02,34.11,35.27999999999999
561,237,414,526,352,975,867,591,361,138.28,22.84,21.92
470,931,275,675,561,623,980,746,5,177.77,31.32,33.839999999999996
392,802,877,840,977,907,960,758,524,138.29,21.19,22.8
828,132,531,796,574,210,436,972,57,159.39,32.74,34.719999999999985
492,890,373,583,567,204,963,516,423,145.56,21.54,22.35999999999999
496,832,365,424,354,1,551,553,638,143.38,22.37,22.28
805,627,339,469,614,28,823,235,650,178.12,35.51,36.679999999999986
181,563,598,185,881,93,817,564,816,135.17,27.92,28.079999999999988
871,836,953,261,33,861,966,689,72,170.75,29.66,32.759999999999984
85,888,17,463,14,772,773,287,255,183.03,43.15,43.96
275,112,816,639,189,352,297,71,171,168.42,26.86,27.60000000000001
163,261,540,974,172,672,279,663,728,150.05,24.78,24.839999999999993
301,465,719,329,508,485,116,24,319,175.52,32.68,34.4
395,351,431,815,192,264,111,259,921,150.71,30.81,32.75999999999998
747,522,214,988,620,442,836,998,21,169.77,30.82,32.4
230,18,406,149,36,736,982,164,456,170.07,46.38,47.27999999999998
721,518,694,436,557,852,225,999,645,138.91,23.21,23.04
