n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
864,394,776,911,430,875.96,82.59,83.12000000000006
41,265,988,523,497,877.7,85.47,95.12000000000005
414,940,802,849,310,878.22,41.91,43.27999999999999
991,488,366,597,913,877.9,33.14,32.839999999999996
929,223,516,142,288,877.34,60.34,62.96
143,773,97,633,818,879.14,51.92,55.75999999999999
256,931,545,722,829,879.12,59.67,59.72000000000001
616,923,150,317,101,874.01,117.52,118.40000000000006
747,75,920,870,700,877.61,45.08,47.23999999999999
338,483,573,103,362,877.99,85.17,93.80000000000004
444,323,625,655,934,876.7,83.52,88.28000000000006
209,989,565,488,453,877.42,105.23,162.80000000000015
886,533,266,63,824,877.6,99.54,99.92000000000004
940,561,937,14,95,875.56,131.04,159.92000000000002
736,860,408,727,844,876.71,88.12,111.80000000000011
803,684,640,1,626,874.53,54.86,55.51999999999998
505,847,888,341,249,875.79,64.16,69.92
747,333,720,891,64,874.78,51.52,55.879999999999995
195,939,581,227,244,876.54,54.8,56.83999999999999
822,990,145,822,556,877.5,30.54,38.239999999999995
458,93,82,327,896,875.08,117.64,123.20000000000009
520,955,501,111,308,876.2,92.45,101.60000000000008
564,298,723,127,560,877.68,52.66,52.15999999999998
340,834,944,553,208,878.34,37.94,43.16
986,818,617,560,601,877.29,51.93,52.16
294,455,93,610,817,876.36,92.43,96.68000000000008
394,324,589,247,297,875.09,53.67,57.55999999999999
188,193,841,191,33,874.67,101.64,107.24000000000004
627,672,266,487,70,875.65,61.05,61.64
91,695,775,133,897,877.6,85.97,89.48000000000005
153,945,39,862,82,874.47,113.22,129.8
919,716,945,849,553,876.51,53.5,55.52
699,400,857,722,537,876.44,48.16,50.84
282,534,831,241,869,878.84,71.14,77.48000000000005
220,916,695,603,845,876.91,71.86,74.12000000000006
972,429,593,281,461,875.87,51.59,54.08000000000001
504,676,656,717,938,876.86,41.71,42.08
812,365,84,332,627,877.69,88.72,95.24000000000002
118,498,601,645,343,877.72,80.91,85.16000000000001
865,194,248,16,749,876.33,92.67,98.24000000000001
277,119,722,225,380,876.85,83.48,90.92000000000002
813,174,340,436,835,877.8,62.34,64.03999999999999
63,103,801,149,875,876.5,105.29,127.28000000000004
714,224,46,836,587,876.32,100.34,108.68000000000005
649,931,958,547,616,877.0,67.88,69.92000000000002
696,75,27,127,650,875.74,134.92,149.60000000000002
193,620,850,589,122,878.92,62.35,63.79999999999998
400,93,379,853,118,875.2,93.3,120.6800000000001
37,620,22,199,984,874.59,93.83,98.23999999999998
993,189,735,126,490,878.27,49.19,53.839999999999996
215,744,819,62,959,876.25,111.47,140.0000000000001
695,23,557,435,635,876.51,78.8,83.6
103,855,266,71,226,877.9,113.46,117.08000000000004
73,662,308,358,446,873.95,107.49,105.56000000000009
184,62,515,478,40,877.58,94.54,99.68000000000004
610,103,716,400,204,878.45,97.29,107.24000000000005
266,367,926,749,481,879.77,77.98,82.40000000000006
858,923,940,583,173,876.14,45.34,46.99999999999999
714,688,208,989,785,876.84,102.56,106.16000000000005
59,807,692,162,865,877.6,70.52,73.87999999999998
165,350,542,256,120,876.41,66.95,69.08
611,943,452,681,179,877.89,73.45,81.44
13,482,697,419,921,878.45,123.21,130.76000000000005
582,895,520,939,318,876.54,82.05,95.24000000000007
664,365,397,857,673,875.71,58.1,59.96
256,157,574,707,12,875.65,143.94,187.88000000000005
468,759,80,343,756,878.08,85.61,93.08
46,557,287,138,245,876.57,69.18,75.67999999999999
780,976,493,360,624,877.91,43.67,44.35999999999999
294,689,367,604,969,877.75,74.15,82.16000000000005
913,648,874,635,135,877.82,51.99,55.15999999999998
732,317,397,766,424,877.03,91.6,98.84000000000009
848,666,82,1,608,877.24,101.26,110.96000000000006
196,715,342,163,245,874.34,61.42,63.79999999999998
228,652,458,387,727,876.05,57.27,58.28
896,689,581,895,424,876.37,67.26,69.92
32,411,892,718,581,876.48,107.96,119.60000000000005
428,790,678,726,47,875.43,71.4,71.84
169,456,65,265,718,874.68,64.76,69.55999999999999
161,457,540,906,498,873.53,86.32,91.52000000000005
929,574,618,773,0,877.49,186.76,207.32
905,39,506,333,319,876.54,111.15,116.84
857,478,51,828,842,875.96,56.39,61.39999999999999
896,997,831,425,192,874.43,99.17,121.40000000000012
561,986,648,85,857,877.88,64.22,72.55999999999997
742,133,15,411,972,877.93,118.75,156.9200000000001
694,427,323,3,218,874.37,263.25,317.9599999999999
14,734,772,2,842,876.02,162.44,178.6400000000001
691,541,626,100,195,876.04,45.68,47.35999999999999
121,622,664,203,894,878.92,55.67,57.91999999999999
309,286,705,186,102,875.85,110.01,118.28000000000006
487,874,944,406,642,877.07,36.12,38.959999999999994
83,22,281,935,463,877.54,94.09,104.71999999999998
819,811,118,882,262,877.43,51.14,52.87999999999998
136,669,533,836,666,873.88,57.69,61.28
660,355,117,892,158,878.33,121.04,127.76000000000008
285,871,19,43,41,874.56,150.11,163.28000000000003
210,697,265,571,322,876.57,88.24,92.36000000000006
969,375,960,581,931,877.69,54.21,52.64
869,43,866,767,984,877.9,54.82,54.44
