n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
241,310,105,72.45,8.21,8.16
738,405,490,100.61,12.9,13.799999999999985
158,92,68,117.83,12.67,12.48
20,411,562,114.6,16.84,15.839999999999991
939,296,819,70.7,6.92,6.920000000000001
783,60,227,99.67,9.83,9.8
532,549,368,79.99,7.54,8.32
283,798,176,69.34,6.37,6.52
846,108,268,88.95,10.06,10.040000000000001
219,965,949,57.78,6.49,6.4
26,848,656,88.71,11.03,11.000000000000004
826,266,819,73.04,6.59,6.4
278,198,168,91.59,12.97,12.439999999999994
317,296,642,93.42,13.34,12.63999999999999
888,749,983,52.75,6.92,6.32
875,868,901,49.4,5.5,5.28
381,88,865,108.38,13.09,13.560000000000002
620,345,687,77.55,8.32,8.680000000000001
397,518,254,95.6,12.62,13.199999999999994
182,253,484,110.49,11.76,11.760000000000002
286,91,967,80.06,8.85,9.120000000000001
957,837,886,77.11,11.9,13.319999999999984
964,560,860,25.94,4.86,4.76
307,7,930,147.26,25.84,25.719999999999995
298,586,721,61.17,5.93,6.16
903,319,868,60.82,7.01,7.08
783,520,199,98.67,10.37,9.920000000000002
423,433,613,49.57,6.72,6.720000000000001
295,441,462,84.22,9.5,8.64
165,238,312,79.43,8.22,7.4399999999999995
265,832,816,54.64,7.05,7.120000000000001
44,83,47,151.02,22.83,23.75999999999999
473,641,287,73.89,8.33,8.16
531,547,663,70.37,8.23,8.360000000000001
482,717,351,77.13,10.61,10.599999999999994
148,689,200,90.64,11.24,10.680000000000001
68,422,935,78.5,8.86,8.680000000000001
207,650,647,90.69,9.99,10.399999999999993
451,282,188,98.5,12.81,13.759999999999984
364,446,764,62.71,7.36,7.24
602,328,649,60.17,6.87,6.800000000000001
571,203,926,77.34,6.08,7.040000000000001
331,103,859,104.03,11.3,12.719999999999994
63,725,234,96.23,10.15,10.120000000000003
284,783,596,76.74,7.79,7.920000000000001
630,882,243,91.41,8.96,8.76
125,339,957,88.23,11.85,12.879999999999992
181,297,470,70.82,8.71,9.2
26,43,365,120.74,15.04,15.520000000000003
714,84,917,117.91,12.57,13.040000000000003
987,977,292,51.85,5.63,5.92
752,691,982,51.87,5.35,5.720000000000001
334,18,330,132.11,18.86,19.79999999999999
295,329,989,112.57,14.09,14.519999999999994
156,793,667,103.76,9.95,9.920000000000002
420,882,965,78.04,7.26,6.880000000000001
890,635,696,62.62,5.7,6.0
837,79,300,86.2,9.59,9.160000000000002
632,196,915,75.47,7.92,7.960000000000002
454,299,139,84.04,8.63,8.0
256,390,613,55.98,9.04,8.84
984,162,339,68.18,7.06,7.120000000000001
586,9,372,139.93,24.87,25.24
45,465,173,114.39,10.4,10.720000000000002
373,802,823,51.56,6.03,6.3999999999999995
371,297,585,85.36,8.49,8.48
99,449,212,107.56,12.15,12.840000000000003
434,938,212,80.9,10.25,10.120000000000003
116,60,63,131.44,15.19,15.200000000000003
56,754,172,71.81,8.48,9.04
609,693,993,66.4,8.14,8.24
153,621,41,111.21,16.44,15.999999999999993
559,502,596,52.66,6.24,6.0
255,329,36,123.79,15.0,15.120000000000005
125,854,541,67.31,7.83,8.64
299,792,419,71.82,7.21,6.6000000000000005
667,205,489,80.27,8.17,8.720000000000002
206,247,449,79.66,10.05,9.520000000000001
420,503,37,80.36,13.13,13.839999999999995
224,431,454,87.46,11.05,11.079999999999995
254,662,910,63.89,13.36,11.079999999999995
438,850,220,79.48,8.06,8.200000000000001
510,192,32,136.25,16.94,16.759999999999998
37,260,259,99.05,10.94,11.52
248,538,213,115.25,9.27,12.079999999999991
790,237,427,72.26,7.93,8.16
890,267,145,73.93,8.7,8.52
332,52,912,82.12,8.49,9.200000000000001
950,322,578,48.17,6.66,6.920000000000001
119,583,412,76.27,7.72,7.6000000000000005
985,922,668,67.92,7.14,7.160000000000001
669,891,809,49.81,4.92,5.0
734,762,41,104.24,11.66,13.399999999999993
506,396,95,112.91,10.8,10.880000000000003
440,215,952,82.69,10.87,10.320000000000002
894,586,921,54.04,5.46,5.199999999999999
966,946,169,49.85,6.81,6.6000000000000005
344,303,672,86.42,7.76,7.480000000000001
482,818,922,64.19,9.59,10.159999999999993
657,322,834,60.23,6.34,6.12
