n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
978,883,970,869,57,89.19,12.57,12.52
93,86,369,855,173,103.01,15.77,17.07999999999999
753,828,685,874,315,92.31,10.95,11.48
257,620,217,621,36,143.47,20.58,21.28
595,697,162,441,653,84.14,11.71,11.760000000000002
402,822,740,880,521,52.5,9.5,9.24
972,380,557,958,455,107.86,11.74,11.840000000000002
514,274,922,36,891,132.46,19.65,21.439999999999998
28,372,476,954,326,148.54,24.48,25.039999999999985
929,389,433,913,905,76.61,11.31,11.000000000000002
538,168,573,181,241,115.7,20.05,20.839999999999982
236,24,180,332,177,149.33,25.6,25.839999999999996
139,522,522,368,526,102.86,10.28,13.52
690,573,186,915,456,91.76,10.62,11.2
815,424,752,537,928,103.85,11.43,11.64
930,781,372,808,607,97.4,11.66,12.8
362,370,879,984,456,106.33,11.45,11.84
165,977,772,409,732,114.03,11.74,11.920000000000002
756,472,670,543,255,111.03,15.44,15.079999999999991
501,285,947,510,512,111.67,12.81,12.600000000000001
527,851,815,362,677,96.07,11.83,11.879999999999999
904,465,921,924,472,57.61,9.05,9.120000000000001
359,581,743,942,570,102.15,15.79,15.679999999999993
741,467,498,674,227,111.4,10.92,11.52
963,332,834,716,855,82.78,11.85,11.56
170,897,929,631,274,114.43,12.24,12.560000000000002
791,933,491,316,310,85.47,10.27,10.160000000000002
980,818,723,851,516,94.71,10.64,9.96
575,530,519,667,630,114.59,15.56,15.559999999999993
602,416,319,748,212,128.37,19.87,20.08
500,524,375,956,700,114.48,16.65,16.27999999999999
638,903,77,803,840,119.56,15.56,15.8
349,743,8,929,834,144.48,18.88,18.720000000000002
195,762,108,60,588,117.52,14.38,14.88
668,50,279,605,232,121.55,16.65,16.279999999999994
698,896,937,108,772,112.12,14.13,13.72
534,139,874,272,250,85.8,11.05,10.48
844,215,966,901,61,133.09,17.11,17.36
433,919,734,777,32,114.08,15.18,15.240000000000004
58,371,368,176,255,134.53,17.52,18.91999999999999
688,24,84,117,977,158.79,27.62,27.000000000000004
69,25,41,746,940,153.36,28.52,27.0
21,382,261,130,832,113.73,17.31,17.240000000000006
958,160,752,188,535,109.42,11.8,12.240000000000002
708,1,394,603,44,154.79,23.73,25.119999999999983
813,253,155,994,37,125.74,14.6,15.960000000000003
4,352,960,630,642,172.79,33.17,32.63999999999999
760,765,115,292,345,107.3,11.74,12.96
500,31,315,459,564,105.4,14.7,14.520000000000003
784,619,757,46,923,116.17,14.56,14.64
270,773,411,883,636,93.46,13.47,12.96
722,157,484,981,230,116.18,17.13,16.319999999999993
95,676,703,323,858,119.81,16.22,17.119999999999994
104,24,458,807,895,155.52,22.2,22.2
970,130,530,598,799,92.9,14.22,15.479999999999993
402,498,527,335,147,104.19,13.01,13.16
895,982,349,265,268,110.86,13.39,14.120000000000001
620,993,429,668,18,137.52,23.3,24.399999999999995
716,571,982,143,686,107.39,11.66,11.92
58,259,34,134,165,150.3,25.3,26.079999999999988
174,98,464,650,237,111.04,17.68,17.959999999999994
520,938,725,956,32,126.44,20.23,19.359999999999992
252,238,731,455,75,118.59,15.45,14.16
256,82,605,233,639,122.04,16.86,16.4
810,819,638,726,368,118.22,13.1,13.48
262,700,433,285,538,120.93,15.69,16.319999999999993
768,4,154,36,393,173.35,36.47,36.67999999999999
418,164,113,524,741,123.91,18.11,18.43999999999999
89,246,104,102,20,154.18,28.64,31.199999999999974
186,768,237,107,222,116.41,15.19,14.8
25,533,685,475,464,108.68,14.19,14.760000000000002
317,548,657,389,217,130.85,17.35,16.47999999999999
701,928,778,986,215,113.24,14.68,15.120000000000001
746,825,444,435,523,105.79,11.43,11.879999999999999
21,595,605,52,902,123.45,17.63,18.680000000000007
428,951,537,595,185,96.29,13.31,13.2
942,96,679,821,491,105.35,13.47,14.839999999999996
374,19,531,983,943,128.69,16.91,18.12
121,625,375,296,706,95.74,12.08,12.120000000000001
954,381,315,19,895,146.99,20.65,22.12
701,422,103,107,313,136.48,18.21,17.59999999999999
203,860,793,688,845,133.19,18.44,18.879999999999992
16,831,462,61,420,143.63,20.03,20.120000000000005
652,497,474,213,910,83.19,10.34,11.0
602,628,75,5,291,133.04,22.33,23.91999999999999
24,381,313,957,740,160.23,23.46,24.639999999999997
78,224,773,502,196,109.71,13.63,13.120000000000001
118,585,382,401,733,95.9,10.26,11.84
474,143,771,353,404,113.02,16.9,17.279999999999994
908,124,260,124,125,111.42,17.68,21.679999999999996
82,631,870,342,656,135.92,13.37,13.240000000000002
400,982,217,709,107,103.3,13.33,13.32
25,633,674,481,795,121.11,14.57,15.080000000000004
44,740,722,509,297,132.74,19.79,20.99999999999999
366,982,468,144,817,119.45,15.43,15.280000000000001
383,275,495,538,886,92.4,16.19,17.759999999999984
489,736,977,745,823,93.18,16.46,16.159999999999993
429,954,503,856,696,86.13,13.86,13.799999999999992
303,404,237,160,500,97.83,16.65,17.079999999999995
610,265,561,437,712,97.65,12.51,12.440000000000001
