n_nodes,influence,n0
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
1,24.0651,3
