n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
146,20,124,195,66,32.08,13.76,14.120000000000003
9,0,37,169,150,39.94,21.8,23.759999999999998
120,194,188,95,81,25.24,11.12,11.160000000000002
197,5,69,125,50,33.25,13.98,14.680000000000003
186,105,137,138,174,25.94,10.17,10.440000000000001
24,49,144,141,179,28.75,13.96,13.8
186,67,169,156,175,23.57,9.85,10.120000000000001
22,108,85,23,92,33.7,14.65,14.399999999999999
104,64,113,179,24,28.73,12.35,11.88
193,50,179,162,74,28.44,11.15,11.96
24,11,150,51,167,33.72,14.84,14.040000000000003
92,124,49,131,147,31.03,11.82,12.8
165,178,128,7,162,29.83,14.7,15.360000000000005
92,62,154,110,77,27.72,11.02,11.32
91,150,30,22,128,31.92,13.3,13.240000000000002
173,134,50,29,155,32.21,12.62,13.240000000000002
169,68,79,184,50,25.61,9.29,10.04
97,123,57,35,152,28.57,10.49,10.76
53,178,133,3,48,37.58,22.16,24.279999999999998
199,43,4,165,85,39.85,18.25,18.800000000000004
142,171,158,158,78,22.65,8.16,10.8
95,96,135,99,74,32.67,14.11,15.160000000000004
32,173,125,13,47,37.56,16.17,16.400000000000006
108,152,191,101,24,21.94,10.19,10.68
112,62,22,154,171,30.6,11.65,12.32
114,114,97,19,132,27.81,11.75,14.08
109,120,77,180,104,28.16,12.07,12.52
21,49,191,174,68,29.47,12.51,12.760000000000002
115,124,184,44,4,36.14,19.54,20.720000000000002
5,137,31,64,150,31.63,13.57,14.880000000000004
92,48,65,128,115,28.11,10.17,11.120000000000003
84,132,65,105,107,29.34,11.86,12.600000000000001
156,124,68,154,121,22.71,10.53,10.0
168,122,125,36,184,31.22,13.45,14.320000000000004
96,127,78,162,119,27.82,11.6,12.080000000000002
82,93,168,41,158,33.49,14.64,15.480000000000002
96,177,154,68,81,32.0,13.44,13.080000000000002
165,101,124,186,40,24.46,10.97,11.32
74,143,1,159,115,25.45,11.09,11.040000000000001
14,46,7,156,198,37.01,18.59,19.240000000000006
145,28,174,183,94,29.2,12.57,14.040000000000003
92,127,150,15,49,30.6,13.07,13.64
39,68,157,3,108,41.03,23.52,24.719999999999995
134,125,19,120,59,37.45,14.28,15.36
25,94,92,37,174,29.7,12.04,11.92
160,62,155,81,36,34.12,14.61,15.040000000000003
9,160,171,24,182,34.57,17.98,18.24
26,11,165,122,118,30.21,13.67,14.520000000000001
185,17,161,7,179,35.91,16.84,17.320000000000004
141,32,157,21,41,31.84,15.12,15.680000000000003
158,161,67,167,115,23.16,9.91,9.76
127,177,5,163,35,32.0,14.03,15.160000000000002
48,112,122,199,112,21.08,8.25,10.32
114,142,70,122,182,24.11,9.22,9.760000000000002
148,16,74,93,73,35.06,14.67,15.680000000000001
92,8,21,128,70,32.02,15.2,15.120000000000001
71,70,121,110,113,27.32,10.07,10.800000000000002
95,8,182,21,63,34.42,15.69,15.920000000000002
154,163,61,137,190,23.44,9.88,9.720000000000002
8,189,44,86,94,35.37,14.48,15.440000000000001
8,13,189,195,192,36.56,16.91,17.120000000000005
53,179,110,87,19,28.83,13.28,13.440000000000001
40,187,173,29,102,30.66,12.82,13.280000000000001
140,34,118,190,126,24.32,10.53,9.96
163,19,32,18,89,34.61,17.49,18.080000000000005
133,7,47,134,181,33.21,17.53,18.440000000000005
38,47,72,189,38,26.39,11.14,15.0
129,145,99,57,56,28.72,10.11,10.520000000000001
178,144,183,32,107,33.11,12.34,12.440000000000001
176,41,193,81,61,33.74,13.56,13.08
143,146,1,145,98,23.58,9.64,9.36
48,194,83,97,134,28.48,12.47,12.840000000000003
112,2,101,135,141,31.42,13.66,13.120000000000001
169,34,183,59,165,25.31,11.78,12.040000000000001
139,190,95,69,170,26.12,11.66,12.040000000000003
47,38,42,176,160,31.57,12.2,12.760000000000002
34,98,19,15,3,44.08,26.15,27.159999999999997
10,120,194,15,29,32.8,15.82,15.880000000000004
166,182,138,25,172,22.78,8.97,9.68
94,152,8,15,138,32.64,15.31,15.12
57,104,57,195,144,22.63,8.46,10.920000000000002
176,75,23,120,19,33.72,13.08,14.320000000000002
185,146,15,43,169,29.94,11.16,12.720000000000002
112,30,28,179,45,35.58,14.78,15.32
12,175,7,192,173,38.71,20.36,20.160000000000007
186,108,166,181,73,27.69,11.04,12.080000000000002
65,113,59,51,167,32.05,10.85,11.0
199,137,165,54,71,34.42,13.5,13.08
151,3,65,134,187,40.49,22.72,23.84
190,181,175,84,198,25.78,10.66,11.200000000000003
132,23,149,152,165,32.11,13.35,13.720000000000002
8,92,93,176,29,30.95,14.96,15.240000000000002
57,195,7,92,177,33.92,16.19,16.8
87,111,175,13,88,34.17,15.29,16.000000000000004
35,7,2,86,17,37.73,19.48,20.120000000000005
124,0,118,67,22,38.62,18.89,20.32
173,151,157,69,58,29.02,11.25,13.080000000000002
33,32,107,139,46,31.69,13.19,14.080000000000002
62,169,98,152,109,27.9,11.39,12.400000000000002
144,132,160,122,69,21.46,10.92,11.280000000000001
