n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
474,627,382,70.12,7.34,7.5600000000000005
273,141,190,86.96,8.41,8.520000000000001
887,692,6,153.49,26.44,25.839999999999996
346,514,474,79.94,10.32,10.47999999999999
919,619,82,73.22,8.33,8.479999999999999
342,567,958,60.55,6.85,6.760000000000001
631,716,41,104.56,14.62,13.919999999999993
745,388,173,81.64,8.05,8.040000000000001
720,968,462,47.45,5.69,5.6
974,742,432,90.58,8.42,8.200000000000001
160,172,243,101.19,10.56,10.68
52,113,135,111.36,10.49,11.84
518,892,946,74.31,10.05,11.359999999999992
604,64,792,57.34,7.5,7.520000000000001
704,392,808,59.2,7.57,7.280000000000001
764,908,104,89.32,11.31,11.439999999999992
941,298,209,89.51,12.25,12.479999999999993
690,229,743,57.06,6.75,6.84
812,431,910,57.21,8.81,8.999999999999993
89,791,273,82.72,10.13,11.199999999999994
933,214,406,69.97,11.95,11.599999999999994
287,349,828,96.3,7.43,8.04
44,204,725,128.8,14.81,16.399999999999988
907,5,900,128.61,21.74,20.599999999999994
421,56,917,73.86,9.02,8.919999999999998
387,866,503,85.98,10.02,10.559999999999992
142,24,242,124.92,15.24,15.000000000000004
434,753,928,50.95,5.94,6.16
871,114,987,77.85,9.24,8.240000000000002
611,3,124,171.35,49.14,50.760000000000055
782,592,202,96.91,10.39,10.920000000000002
916,872,207,44.52,4.95,5.4399999999999995
338,8,913,119.11,15.19,15.240000000000004
85,136,552,71.85,9.28,8.56
939,17,512,119.66,16.25,15.359999999999996
86,586,508,80.88,10.7,10.359999999999992
550,943,202,98.28,10.62,10.760000000000002
430,70,407,70.31,8.52,8.88
196,654,783,90.06,7.04,7.600000000000001
95,717,593,89.67,8.88,8.840000000000002
148,176,962,59.24,6.94,7.360000000000001
623,736,981,98.16,11.39,10.839999999999993
42,55,276,62.39,9.11,8.480000000000002
568,699,620,53.59,6.77,6.920000000000002
872,152,763,75.46,12.14,11.439999999999994
274,754,589,61.42,5.78,5.640000000000001
35,124,889,110.53,12.68,11.600000000000003
722,412,973,64.2,6.46,6.32
927,242,165,73.8,7.18,7.5600000000000005
625,517,44,115.14,14.79,15.55999999999999
753,374,865,57.62,5.83,6.4
690,534,604,34.92,5.29,5.039999999999999
578,793,704,80.67,9.2,8.640000000000002
88,888,355,92.98,11.12,9.920000000000003
112,884,902,81.45,8.49,8.840000000000002
598,374,462,70.73,7.13,6.5200000000000005
215,411,203,91.47,12.19,11.920000000000002
969,588,763,58.77,9.59,9.719999999999992
18,388,818,127.7,18.72,19.639999999999993
622,336,0,145.56,29.26,27.99999999999999
443,114,218,101.85,10.48,11.320000000000004
227,454,276,68.73,6.6,6.6
332,834,90,75.17,7.88,8.520000000000001
314,644,291,73.55,7.22,7.239999999999998
105,529,802,79.85,7.95,7.680000000000001
56,26,390,112.85,12.38,14.600000000000001
799,573,826,38.18,6.04,6.24
438,509,354,62.42,8.81,8.48
726,796,254,68.85,10.73,10.799999999999994
579,755,67,86.27,12.33,12.839999999999993
435,663,236,69.95,7.29,7.199999999999999
98,987,778,49.42,7.05,6.68
410,522,381,103.83,11.63,12.36
978,880,573,23.66,5.39,5.359999999999999
378,142,683,71.69,7.06,7.32
297,175,709,76.14,9.0,8.8
863,896,265,64.9,6.94,7.120000000000001
30,51,962,116.19,12.69,13.160000000000004
998,829,176,40.4,5.23,5.68
269,969,168,85.23,11.61,13.879999999999985
123,621,151,66.26,10.95,10.240000000000002
12,49,62,139.53,27.26,29.799999999999976
461,213,805,77.12,8.28,8.280000000000001
398,301,626,92.02,8.57,9.320000000000002
15,989,817,127.88,17.14,19.599999999999984
363,291,144,74.33,7.87,8.04
492,575,284,83.44,11.28,10.879999999999994
140,984,88,117.89,11.34,11.680000000000003
765,569,303,55.68,6.98,7.040000000000001
712,120,67,96.24,9.53,9.240000000000002
430,462,145,73.47,6.5,6.5600000000000005
720,575,782,73.8,7.64,7.320000000000001
813,392,602,53.1,6.4,5.720000000000001
908,822,173,87.84,11.99,10.839999999999993
679,732,280,51.73,5.99,5.88
790,611,901,39.62,6.08,6.04
623,506,357,88.3,8.67,8.96
101,945,49,100.38,13.14,13.959999999999994
283,541,131,68.05,10.63,10.639999999999992
177,817,644,77.48,12.84,12.879999999999992
