n0,monte_carlo,monte_carlo_max_hop,two_hop
864,38.25,3.28,3.3999999999999986
394,15.82,1.77,1.84
776,30.8,3.31,2.6800000000000006
911,25.82,5.5,5.479999999999992
430,10.02,2.11,1.88
41,83.77,9.21,8.919999999999993
265,38.74,3.51,3.7600000000000007
988,7.86,1.57,1.76
523,23.62,2.26,2.04
497,8.67,1.77,1.6
414,33.66,2.24,2.24
940,38.71,2.37,2.2800000000000002
802,16.97,1.6,1.7599999999999998
849,27.37,2.47,2.3600000000000003
310,23.54,2.31,2.08
991,8.29,1.48,1.56
488,17.51,1.78,1.84
366,32.2,2.71,2.5200000000000005
597,20.71,2.24,2.3200000000000003
913,23.91,1.55,1.72
929,46.54,2.7,2.7200000000000006
223,34.48,3.31,3.5600000000000005
516,8.58,1.53,1.68
142,59.1,4.24,3.3600000000000003
288,19.9,2.46,2.12
143,17.79,2.42,2.5999999999999996
773,26.43,2.54,2.3600000000000003
97,59.89,5.3,5.120000000000002
633,10.36,1.51,1.56
818,20.8,1.8,1.8
256,37.37,4.31,4.479999999999999
931,31.43,2.89,3.0400000000000005
545,20.45,1.56,1.72
722,17.65,1.56,1.68
829,15.94,1.97,1.7599999999999998
616,38.74,4.54,4.200000000000001
923,31.08,1.92,2.2
150,42.27,2.37,2.8000000000000007
317,57.38,6.44,7.2799999999999905
101,27.12,2.45,2.7200000000000006
747,17.1,2.01,1.96
75,19.26,2.98,3.040000000000001
920,12.52,1.77,1.9600000000000002
870,11.83,1.59,1.68
700,26.93,2.62,2.52
338,38.58,2.7,2.960000000000001
483,23.34,1.98,1.88
573,12.05,1.6,1.68
103,82.1,6.44,7.559999999999993
362,46.91,4.14,3.8
444,46.68,3.89,3.4799999999999986
323,58.76,8.36,6.319999999999993
625,20.54,1.83,2.0
655,26.16,2.21,2.08
934,15.63,1.86,1.84
209,83.68,7.91,8.079999999999993
989,47.82,8.46,6.5199999999999925
565,30.47,2.77,2.8400000000000007
488,15.01,1.85,1.84
453,51.71,6.47,5.759999999999993
886,48.68,5.75,5.639999999999992
533,31.85,2.62,2.4000000000000004
266,8.78,2.23,1.96
63,62.41,5.45,5.320000000000002
824,18.64,2.28,2.3600000000000003
940,27.99,2.26,2.2800000000000002
561,24.92,2.94,2.7600000000000007
937,42.16,3.39,3.3999999999999986
14,125.64,13.93,14.24
95,61.83,4.63,4.760000000000002
736,65.18,5.5,6.359999999999992
860,11.9,1.63,1.64
408,54.66,7.45,6.039999999999993
727,20.76,1.97,1.9999999999999998
844,20.42,2.56,2.6400000000000006
803,26.88,2.01,1.9600000000000002
684,38.56,3.32,3.160000000000001
640,29.51,2.58,2.6400000000000006
1,36.71,2.22,2.4800000000000004
626,23.67,1.93,1.84
505,16.44,2.08,1.96
847,22.63,2.3,2.4000000000000004
888,10.32,1.53,1.56
341,44.85,4.76,5.000000000000001
249,37.05,3.63,3.959999999999999
747,15.88,1.83,1.96
333,44.86,2.66,2.9600000000000004
720,30.21,1.62,1.7999999999999998
891,17.64,1.6,1.6
64,54.71,4.45,4.200000000000001
195,30.05,2.5,2.5200000000000005
939,13.0,1.73,1.9600000000000002
581,46.36,3.95,3.4400000000000004
227,19.56,2.3,2.1599999999999997
244,32.73,2.78,2.7600000000000007
822,18.66,2.0,2.04
990,14.88,1.69,1.8
145,43.46,2.58,2.8000000000000007
822,23.39,2.14,2.04
556,19.63,1.88,1.8800000000000001
