n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
331,970,154,404,666,49,74,840,548,172.03,34.08,37.91999999999997
96,374,596,59,931,519,219,38,88,163.63,30.05,32.67999999999999
444,428,71,246,92,564,434,60,846,177.28,29.62,29.240000000000002
579,126,970,228,645,642,596,970,63,159.24,24.94,26.28
590,599,406,50,999,226,47,570,879,162.57,31.75,33.43999999999998
136,296,429,147,553,120,584,315,573,144.24,22.33,22.360000000000003
835,698,185,105,595,584,654,192,381,172.31,31.32,32.239999999999995
99,560,729,64,577,61,633,210,508,166.57,31.8,33.15999999999998
696,544,437,795,321,476,599,945,464,137.77,20.77,20.360000000000003
370,306,254,813,184,715,798,249,83,170.22,29.49,30.239999999999988
588,307,537,506,896,351,746,459,294,147.11,23.54,22.839999999999996
623,74,120,524,428,168,775,350,155,164.37,35.01,36.07999999999999
955,500,431,40,985,684,79,782,571,156.3,30.08,28.919999999999998
586,808,896,837,321,348,711,358,608,140.69,23.34,24.359999999999992
508,593,816,467,70,860,95,967,276,144.51,25.42,25.279999999999994
485,713,680,66,62,748,718,317,662,162.39,31.43,32.839999999999975
591,697,841,456,291,733,395,908,684,142.7,24.12,24.39999999999999
355,23,963,472,363,172,625,119,505,163.06,29.08,30.080000000000002
60,223,786,294,132,756,253,407,400,164.62,34.56,31.799999999999994
938,892,508,82,170,459,411,562,284,174.36,29.95,33.71999999999999
904,140,838,440,884,563,285,723,425,143.56,29.13,28.24
367,699,905,389,980,236,154,84,180,161.12,31.8,31.799999999999997
154,237,674,238,12,496,851,603,186,189.97,33.82,36.16
269,288,4,149,429,547,378,624,579,184.62,43.26,44.959999999999994
326,975,128,707,879,527,973,632,670,164.36,27.48,28.04
692,757,55,467,921,891,798,974,895,120.43,17.97,19.56
696,817,572,401,407,408,403,106,493,162.2,27.04,28.07999999999999
649,410,63,195,68,213,451,166,112,187.07,33.89,33.8
348,615,53,104,0,580,154,549,103,184.47,50.75,55.35999999999998
971,372,628,26,72,895,212,628,385,166.29,31.87,34.839999999999996
152,649,258,978,355,616,372,485,125,164.66,26.1,27.44
118,869,499,477,491,495,319,87,147,140.39,22.19,21.519999999999996
104,767,350,758,271,490,848,708,165,162.51,25.72,27.27999999999999
528,23,210,973,974,540,370,150,706,180.21,34.62,33.72
556,936,27,776,540,305,658,884,93,173.22,35.28,38.719999999999985
712,865,267,530,375,930,171,364,790,161.35,29.24,26.959999999999994
228,545,554,797,514,337,651,228,627,141.89,24.11,27.799999999999994
830,807,776,873,199,825,245,837,410,140.88,23.96,23.799999999999997
757,822,232,204,530,504,364,748,29,162.89,30.68,32.11999999999998
28,809,286,483,265,198,709,619,979,161.31,33.66,35.279999999999994
352,457,827,959,740,357,977,997,373,144.92,27.05,27.51999999999999
82,225,104,232,481,201,345,209,494,173.16,33.8,32.87999999999999
639,921,624,860,1,490,931,668,352,139.13,20.58,20.960000000000004
818,658,86,854,676,122,931,397,801,156.6,25.64,26.679999999999996
728,768,204,489,910,182,444,808,651,170.73,25.76,26.28
340,88,820,968,994,739,405,474,411,145.73,23.83,24.519999999999992
761,969,86,742,162,174,130,28,154,162.51,35.28,34.79999999999999
604,926,476,825,671,149,626,846,610,118.94,18.5,19.080000000000002
485,673,959,358,159,561,561,134,21,174.43,33.48,38.63999999999999
14,818,994,743,665,105,539,767,956,175.38,33.18,35.16
142,444,892,199,845,894,216,28,257,180.67,40.86,43.87999999999998
217,299,513,246,782,600,333,265,557,158.8,24.28,25.640000000000004
429,854,134,62,931,757,362,919,469,169.11,28.11,31.15999999999999
678,597,834,925,529,430,846,939,899,103.66,21.31,20.28
513,133,544,155,536,522,19,893,450,177.61,36.75,36.279999999999994
795,187,623,4,794,818,153,176,144,185.56,42.51,42.72
484,633,742,123,569,63,333,698,530,164.02,31.74,31.759999999999994
543,568,494,803,795,108,904,573,58,159.94,27.71,29.919999999999987
254,195,283,43,790,100,519,463,575,160.34,28.93,30.279999999999998
28,778,915,934,64,453,333,627,996,157.3,30.01,33.87999999999999
517,620,524,204,709,283,463,520,546,155.82,26.22,24.88
826,489,519,964,253,715,535,897,897,135.52,20.27,21.520000000000007
964,950,265,944,572,914,965,207,860,118.66,17.8,18.000000000000004
458,140,426,124,401,452,323,74,687,173.77,32.1,36.11999999999999
246,438,74,217,685,310,802,125,918,163.49,28.63,29.799999999999997
795,158,962,733,658,676,374,146,259,148.6,24.91,26.879999999999995
904,140,990,478,224,764,975,96,407,143.69,27.28,27.679999999999993
906,498,166,683,852,229,165,723,441,152.6,23.22,24.92
527,413,347,431,200,365,326,94,739,158.6,32.16,31.23999999999999
374,19,346,567,469,451,720,18,393,170.83,37.78,39.79999999999999
339,529,638,302,524,983,65,115,940,150.08,22.79,24.52
807,234,995,897,107,86,271,278,40,150.48,23.79,23.44
927,797,185,276,773,132,839,432,869,143.49,25.1,24.639999999999993
933,692,838,968,264,415,152,549,941,155.22,21.91,21.44
527,584,506,717,334,91,285,58,818,164.51,27.47,29.519999999999992
704,187,435,916,74,275,960,17,649,157.84,33.25,34.75999999999999
90,820,266,85,622,876,227,68,270,148.4,24.69,24.6
883,124,464,11,347,566,427,948,937,188.15,35.76,35.16
274,636,132,44,539,726,244,960,112,172.78,33.42,36.43999999999998
992,165,268,51,185,206,954,319,643,155.52,28.07,27.879999999999995
312,543,777,210,296,456,512,688,182,149.48,31.09,31.119999999999987
277,355,822,18,256,37,15,18,750,184.09,42.04,60.879999999999974
517,564,194,526,486,251,957,457,108,146.19,28.54,29.63999999999998
674,838,665,442,672,506,559,854,910,158.0,23.2,23.96
402,993,518,315,704,220,235,350,203,139.09,23.57,23.36
852,903,723,746,651,143,414,355,55,156.62,24.57,25.320000000000004
857,132,14,72,640,758,900,261,441,176.53,40.78,41.679999999999986
167,56,86,681,861,390,891,518,686,156.28,24.05,24.32
994,288,613,248,709,300,46,470,189,160.55,23.68,24.080000000000002
161,275,456,3,269,372,984,336,995,188.42,60.21,61.56000000000005
560,331,250,35,988,903,316,223,365,149.05,22.65,22.8
187,1,343,390,85,486,285,514,671,160.97,30.25,27.879999999999995
205,254,516,794,5,93,270,836,91,178.03,39.84,42.91999999999997
147,409,600,42,403,23,306,311,644,172.09,35.88,36.28
238,86,599,980,541,873,768,158,673,147.2,22.6,22.52
914,733,802,900,610,398,782,333,737,146.48,21.98,22.32
506,153,290,741,633,658,148,44,844,175.87,40.87,38.719999999999985
855,732,913,525,642,439,751,717,831,125.33,19.62,19.96
517,142,931,536,770,516,582,854,832,148.4,21.32,22.55999999999999
823,16,846,702,598,817,914,728,699,163.1,24.84,26.080000000000002
