n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
864,394,776,70.96,7.68,7.919999999999999
911,430,41,102.2,15.05,16.199999999999985
265,988,523,68.38,7.89,7.5600000000000005
497,414,940,53.96,5.77,6.120000000000001
802,849,310,57.5,6.08,6.2
991,488,366,35.56,6.54,5.920000000000001
597,913,929,48.89,6.75,6.760000000000001
223,516,142,89.95,8.54,8.600000000000001
288,143,773,59.66,6.57,7.08
97,633,818,89.41,8.91,8.480000000000002
256,931,545,90.21,8.93,9.24
722,829,616,72.21,7.03,7.640000000000001
923,150,317,110.38,12.09,12.27999999999999
101,747,75,60.45,7.52,7.7200000000000015
920,870,700,53.55,6.45,6.16
338,483,573,72.78,6.76,6.5200000000000005
103,362,444,115.05,16.31,14.839999999999991
323,625,655,70.15,11.01,10.399999999999993
934,209,989,113.5,17.72,16.359999999999985
565,488,453,83.12,8.71,10.439999999999994
886,533,266,68.32,8.99,9.999999999999993
63,824,940,101.32,10.61,9.960000000000003
561,937,14,135.24,19.14,20.32
95,736,860,90.13,11.55,12.759999999999994
408,727,844,90.16,11.92,10.679999999999993
803,684,640,84.27,7.66,7.760000000000002
1,626,505,59.35,6.68,6.28
847,888,341,86.0,9.23,8.96
249,747,333,78.36,8.84,8.879999999999999
720,891,64,80.72,8.22,7.600000000000001
195,939,581,72.35,7.81,7.920000000000001
227,244,822,53.09,6.72,6.96
990,145,822,70.15,6.97,6.640000000000001
556,458,93,94.53,11.9,12.519999999999992
82,327,896,75.11,10.78,10.639999999999999
520,955,501,98.45,7.3,7.32
111,308,564,97.65,12.78,11.59999999999999
298,723,127,93.72,9.49,8.560000000000002
560,340,834,45.96,5.53,5.4
944,553,208,77.06,6.94,7.4
986,818,617,57.15,6.28,6.440000000000001
560,601,294,76.67,8.08,7.800000000000001
455,93,610,72.97,12.02,11.479999999999993
817,394,324,89.56,7.82,8.399999999999999
589,247,297,84.2,7.99,8.280000000000001
188,193,841,79.21,7.51,7.6000000000000005
191,33,627,122.74,15.82,15.479999999999993
672,266,487,54.7,6.34,6.359999999999999
70,91,695,87.8,8.41,8.480000000000002
775,133,897,81.26,10.45,10.919999999999993
153,945,39,121.64,18.33,17.64
862,82,919,84.22,8.04,8.239999999999998
716,945,849,83.26,8.0,8.32
553,699,400,58.43,6.66,7.040000000000001
857,722,537,58.85,7.61,7.079999999999998
282,534,831,71.16,9.57,9.519999999999992
241,869,220,75.88,7.73,7.84
916,695,603,57.97,5.53,5.76
845,972,429,97.24,11.7,11.43999999999999
593,281,461,66.23,7.0,6.960000000000001
504,676,656,47.33,6.76,6.4
717,938,812,53.85,5.98,5.92
365,84,332,118.8,13.96,14.440000000000003
627,118,498,74.51,8.39,8.760000000000002
601,645,343,99.72,11.2,10.72
865,194,248,86.66,10.18,9.92
16,749,277,127.2,14.38,15.080000000000004
119,722,225,73.31,9.67,9.08
380,813,174,78.91,8.64,8.920000000000002
340,436,835,60.02,7.29,7.480000000000001
63,103,801,130.85,15.21,16.879999999999995
149,875,714,68.2,7.17,6.960000000000001
224,46,836,125.44,11.77,11.560000000000002
587,649,931,71.42,9.58,10.399999999999993
958,547,616,86.0,8.26,9.200000000000003
696,75,27,138.83,17.36,18.040000000000003
127,650,193,89.75,9.6,11.479999999999995
620,850,589,60.77,7.88,7.960000000000002
122,400,93,103.82,14.3,13.479999999999993
379,853,118,60.94,9.95,9.919999999999991
37,620,22,128.7,15.01,13.880000000000003
199,984,993,69.27,6.86,7.120000000000001
189,735,126,84.09,9.53,9.440000000000001
490,215,744,83.07,10.17,10.080000000000002
819,62,959,108.51,14.89,15.079999999999986
695,23,557,105.32,14.36,14.919999999999998
435,635,103,89.45,10.85,11.039999999999992
855,266,71,107.42,11.22,10.840000000000003
226,73,662,103.72,13.8,13.719999999999995
308,358,446,66.88,9.62,8.44
184,62,515,109.54,11.53,12.719999999999994
478,40,610,76.84,8.88,8.880000000000003
103,716,400,96.14,14.67,14.119999999999994
204,266,367,84.46,9.8,10.959999999999992
926,749,481,66.11,7.07,6.960000000000001
858,923,940,47.49,5.53,6.040000000000001
583,173,714,64.51,7.46,7.6000000000000005
688,208,989,98.0,14.25,13.63999999999999
785,59,807,112.91,9.99,10.000000000000002
692,162,865,63.53,6.64,6.880000000000001
