n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
864,394,776,911,430,41,265,988,523,160.15,31.0,31.679999999999986
497,414,940,802,849,310,991,488,366,132.83,17.4,18.16
597,913,929,223,516,142,288,143,773,133.21,22.59,22.439999999999998
97,633,818,256,931,545,722,829,616,165.8,24.53,25.36
923,150,317,101,747,75,920,870,700,150.17,25.93,26.079999999999995
338,483,573,103,362,444,323,625,655,166.83,32.46,31.599999999999987
934,209,989,565,488,453,886,533,266,154.78,32.15,36.39999999999997
63,824,940,561,937,14,95,736,860,181.86,42.84,42.96
408,727,844,803,684,640,1,626,505,155.96,23.04,24.719999999999995
847,888,341,249,747,333,720,891,64,148.15,24.2,25.440000000000005
195,939,581,227,244,822,990,145,822,145.28,19.44,21.44
556,458,93,82,327,896,520,955,501,154.62,30.14,30.319999999999997
111,308,564,298,723,127,560,340,834,137.07,23.61,25.479999999999993
944,553,208,986,818,617,560,601,294,150.33,22.16,21.64
455,93,610,817,394,324,589,247,297,164.52,29.92,28.159999999999993
188,193,841,191,33,627,672,266,487,152.73,28.86,29.359999999999996
70,91,695,775,133,897,153,945,39,183.25,36.37,36.879999999999995
862,82,919,716,945,849,553,699,400,154.16,22.59,23.6
857,722,537,282,534,831,241,869,220,156.32,23.81,24.439999999999994
916,695,603,845,972,429,593,281,461,157.62,23.4,24.159999999999993
504,676,656,717,938,812,365,84,332,155.97,26.17,26.760000000000005
627,118,498,601,645,343,865,194,248,172.07,28.15,29.400000000000002
16,749,277,119,722,225,380,813,174,183.29,31.4,33.080000000000005
340,436,835,63,103,801,149,875,714,178.92,27.96,31.239999999999995
224,46,836,587,649,931,958,547,616,168.1,30.94,31.08
696,75,27,127,650,193,620,850,589,182.25,33.87,35.72
122,400,93,379,853,118,37,620,22,180.36,33.2,37.19999999999999
199,984,993,189,735,126,490,215,744,149.18,26.58,26.64
819,62,959,695,23,557,435,635,103,176.47,37.37,40.79999999999998
855,266,71,226,73,662,308,358,446,177.87,34.3,32.99999999999999
184,62,515,478,40,610,103,716,400,162.78,35.08,34.67999999999999
204,266,367,926,749,481,858,923,940,146.93,22.61,23.879999999999992
583,173,714,688,208,989,785,59,807,164.77,30.2,31.23999999999999
692,162,865,165,350,542,256,120,611,157.43,23.82,23.88
943,452,681,179,13,482,697,419,921,172.74,34.92,36.36
582,895,520,939,318,664,365,397,857,162.3,26.78,28.039999999999992
673,256,157,574,707,12,468,759,80,176.86,43.64,44.679999999999986
343,756,46,557,287,138,245,780,976,153.98,25.7,25.640000000000004
493,360,624,294,689,367,604,969,913,138.61,23.14,24.519999999999992
648,874,635,135,732,317,397,766,424,137.43,28.64,27.479999999999993
848,666,82,1,608,196,715,342,163,180.98,31.4,30.879999999999995
245,228,652,458,387,727,896,689,581,155.63,22.75,24.040000000000003
895,424,32,411,892,718,581,428,790,150.63,27.16,29.519999999999996
678,726,47,169,456,65,265,718,161,163.39,28.01,29.28
457,540,906,498,929,574,618,773,0,177.17,43.83,47.55999999999998
905,39,506,333,319,857,478,51,828,169.31,30.63,33.4
842,896,997,831,425,192,561,986,648,166.24,30.54,30.63999999999999
85,857,742,133,15,411,972,694,427,171.89,33.64,35.47999999999998
323,3,218,14,734,772,2,842,691,186.54,74.13,74.28000000000004
541,626,100,195,121,622,664,203,894,152.62,22.58,23.16
309,286,705,186,102,487,874,944,406,155.0,27.58,28.039999999999992
642,83,22,281,935,463,819,811,118,171.67,29.21,30.360000000000003
882,262,136,669,533,836,666,660,355,139.35,23.06,22.200000000000003
117,892,158,285,871,19,43,41,210,190.49,43.47,50.15999999999998
697,265,571,322,969,375,960,581,931,152.93,23.49,22.6
869,43,866,767,984,718,622,671,506,132.16,20.64,20.200000000000003
729,659,924,469,655,445,381,892,550,179.01,34.37,33.43999999999998
182,212,384,601,298,9,141,154,277,196.01,46.86,49.879999999999995
341,345,808,376,735,95,346,798,635,163.85,25.53,27.360000000000007
36,42,276,167,153,597,296,369,404,160.2,34.72,35.32
561,132,300,117,489,748,245,956,49,165.3,37.24,41.519999999999975
315,183,877,535,746,72,309,412,855,159.74,27.16,29.439999999999987
336,306,424,111,101,574,930,492,485,160.41,28.75,30.359999999999985
345,861,817,999,831,351,127,490,118,140.63,21.49,21.76
716,509,436,38,309,343,752,703,915,171.43,27.04,27.520000000000003
159,941,170,641,578,384,825,997,654,156.01,24.3,23.32
89,67,827,86,202,767,226,62,394,168.48,31.45,33.279999999999994
8,100,403,569,531,296,459,942,500,182.31,30.23,30.96
807,598,731,695,222,433,85,377,225,162.32,24.99,26.36
267,599,795,170,441,196,367,117,65,162.32,33.53,31.879999999999995
841,884,873,718,28,924,538,462,770,172.15,28.7,29.87999999999998
693,206,121,509,407,262,212,656,43,173.79,32.34,32.400000000000006
970,816,221,638,149,107,202,469,387,155.04,25.76,25.92
370,559,846,154,107,610,499,151,577,151.19,23.61,23.4
415,653,696,433,898,533,507,695,939,131.07,21.51,21.400000000000006
909,330,853,510,510,650,686,895,206,157.55,22.47,28.559999999999988
555,624,953,224,9,348,722,985,764,183.02,38.65,38.92
920,325,837,329,36,537,151,895,263,180.81,36.86,39.0
617,802,159,862,388,596,301,735,723,152.31,23.96,23.960000000000008
826,481,67,819,86,528,889,937,40,160.62,25.26,26.16
67,230,133,41,307,15,777,864,459,158.33,39.36,42.23999999999998
338,882,164,819,152,889,671,471,991,139.66,24.64,24.400000000000006
380,517,391,922,542,514,34,587,92,149.63,30.01,30.079999999999984
694,813,824,530,776,614,78,764,436,129.87,24.07,24.56
927,772,211,296,548,922,612,427,845,113.32,21.41,23.279999999999994
995,493,865,810,995,397,622,600,239,138.4,21.42,22.240000000000002
871,885,817,20,672,906,0,758,186,182.73,54.38,57.31999999999997
309,519,583,260,340,67,505,880,268,149.16,22.57,23.320000000000004
965,844,310,791,417,393,829,392,63,139.78,22.12,21.520000000000003
167,656,957,130,244,293,746,849,342,155.46,27.18,26.319999999999993
56,964,36,492,427,144,503,911,884,170.07,36.7,40.519999999999975
616,734,83,689,715,155,829,361,421,171.26,27.52,28.600000000000005
36,626,477,395,469,48,103,482,796,180.79,38.14,39.879999999999995
155,20,33,612,632,135,645,331,107,177.71,37.38,42.23999999999999
716,562,664,354,199,392,802,795,796,136.96,22.25,22.399999999999995
502,113,902,61,624,717,478,629,647,149.59,25.13,25.04
956,345,666,127,992,698,730,636,303,155.74,25.98,26.359999999999992
807,869,130,981,933,396,818,300,938,136.51,20.51,20.200000000000003
763,893,980,697,829,124,531,881,804,142.41,25.41,24.759999999999994
193,39,800,401,455,380,774,195,466,172.49,27.9,28.959999999999997
