n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
474,627,382,273,141,190,887,124.59,18.4,17.840000000000003
692,6,346,514,474,919,619,171.11,38.29,38.03999999999999
82,342,567,958,631,716,41,147.59,27.54,25.599999999999994
745,388,173,720,968,462,974,112.83,14.76,15.280000000000001
742,432,160,172,243,52,113,164.46,23.88,25.12
135,518,892,946,604,64,792,138.23,21.9,22.839999999999996
704,392,808,764,908,104,941,143.1,21.1,20.43999999999999
298,209,690,229,743,812,431,126.74,22.4,23.919999999999987
910,89,791,273,933,214,406,124.89,23.77,24.679999999999986
287,349,828,44,204,725,907,157.97,24.57,27.399999999999988
5,900,421,56,917,387,866,153.81,28.84,31.079999999999995
503,142,24,242,434,753,928,162.53,28.19,27.039999999999992
871,114,987,611,3,124,782,185.83,59.46,61.72000000000006
592,202,916,872,207,338,8,170.72,27.38,26.920000000000005
913,85,136,552,939,17,512,153.45,24.75,25.64
86,586,508,550,943,202,430,146.04,23.73,22.999999999999993
70,407,196,654,783,95,717,137.2,20.56,20.760000000000005
593,148,176,962,623,736,981,137.1,20.42,20.23999999999999
42,55,276,568,699,620,872,129.08,16.43,17.240000000000006
152,763,274,754,589,35,124,163.39,22.9,23.88
889,722,412,973,927,242,165,131.9,17.05,16.840000000000003
625,517,44,753,374,865,690,138.56,24.44,23.71999999999999
534,604,578,793,704,88,888,121.52,19.39,18.960000000000004
355,112,884,902,598,374,462,137.23,18.29,18.16
215,411,203,969,588,763,18,171.42,33.61,36.91999999999999
388,818,622,336,0,443,114,172.72,38.87,40.759999999999984
218,227,454,276,332,834,90,118.1,17.3,17.720000000000002
314,644,291,105,529,802,56,146.98,18.96,19.919999999999998
26,390,799,573,826,438,509,133.3,21.39,21.320000000000004
354,726,796,254,579,755,67,134.18,26.89,26.559999999999988
435,663,236,98,987,778,410,123.33,17.96,17.52
522,381,978,880,573,378,142,137.44,21.53,19.48
683,297,175,709,863,896,265,121.06,18.31,17.92
30,51,962,998,829,176,269,147.1,24.89,24.959999999999994
969,168,123,621,151,12,49,170.48,39.13,41.15999999999998
62,461,213,805,398,301,626,145.19,24.0,23.999999999999996
15,989,817,363,291,144,492,156.96,30.6,32.91999999999997
575,284,140,984,88,765,569,137.89,19.78,22.000000000000007
303,712,120,67,430,462,145,131.83,17.37,17.88
720,575,782,813,392,602,908,112.84,17.84,18.519999999999992
822,173,679,732,280,790,611,96.14,14.81,15.4
901,623,506,357,101,945,49,147.49,23.88,24.72
283,541,131,177,817,644,840,139.35,23.18,26.119999999999983
86,166,798,808,227,879,13,153.43,24.29,25.080000000000005
207,180,485,467,605,572,558,117.24,15.68,16.0
397,85,177,561,493,607,969,126.34,22.99,23.559999999999995
268,548,68,963,666,29,594,144.78,23.7,26.599999999999994
599,910,446,557,316,536,539,105.59,17.73,18.27999999999999
550,657,931,815,67,898,658,144.74,22.03,22.439999999999994
587,555,978,307,65,742,229,148.35,24.22,22.719999999999995
737,140,105,102,716,503,464,142.16,25.42,27.239999999999984
61,501,910,652,744,54,695,137.98,22.35,22.200000000000003
617,29,382,249,899,469,236,157.51,21.11,21.240000000000002
380,842,985,747,586,639,507,134.0,15.84,15.280000000000001
896,248,36,637,611,86,627,155.31,28.94,28.719999999999995
48,694,419,416,602,70,82,148.33,20.94,21.919999999999998
193,34,622,770,185,86,66,139.56,17.79,17.8
30,363,639,481,560,548,486,120.2,20.56,19.800000000000004
26,720,794,77,341,86,801,162.23,28.45,28.360000000000003
329,8,474,976,459,604,152,151.56,24.81,25.040000000000006
999,395,489,852,141,108,914,142.59,20.97,21.759999999999998
357,687,236,462,798,132,196,127.45,21.86,21.319999999999997
991,226,111,113,53,122,76,164.85,23.66,24.919999999999995
960,660,999,84,381,106,758,158.86,26.81,27.440000000000005
24,478,641,534,205,378,895,153.48,21.65,21.680000000000003
649,83,241,5,262,781,530,166.05,32.76,34.83999999999998
699,202,15,449,259,966,625,153.94,25.7,27.63999999999999
22,983,105,531,819,427,59,161.04,24.48,25.360000000000007
920,257,486,872,322,619,895,127.54,17.65,17.08
225,654,60,697,281,135,307,148.47,19.28,20.720000000000002
39,819,191,998,361,805,923,149.39,23.94,24.519999999999996
412,953,7,897,942,309,990,160.25,31.47,32.19999999999999
879,96,30,325,449,253,426,172.31,32.08,30.639999999999997
618,329,503,576,355,901,857,117.39,18.57,18.79999999999999
913,408,440,213,80,283,308,153.07,26.36,25.67999999999999
472,477,625,946,582,466,450,110.09,14.38,15.0
394,190,337,411,60,332,94,125.55,21.52,21.360000000000003
174,325,556,27,193,216,728,168.13,28.59,30.640000000000008
373,674,918,140,966,640,87,129.97,17.87,19.400000000000002
345,998,457,985,621,613,779,124.0,18.03,18.919999999999995
963,904,686,751,394,216,713,113.87,16.13,15.56
554,789,343,77,19,685,565,171.02,27.03,26.799999999999997
431,481,232,887,744,331,782,139.41,17.67,18.639999999999993
853,818,526,514,101,474,734,144.18,20.72,23.359999999999985
3,291,939,546,210,73,229,177.51,56.87,59.44000000000007
11,943,322,43,93,152,336,181.0,33.05,36.03999999999999
167,710,98,521,843,808,413,124.85,17.52,17.480000000000004
664,859,404,398,909,600,518,150.34,23.86,24.839999999999996
889,138,520,706,365,367,969,139.77,21.01,21.639999999999997
276,206,328,936,394,580,186,125.35,18.69,20.439999999999994
818,627,795,889,182,584,175,137.58,22.13,21.64
9,313,700,908,20,285,490,176.66,46.43,47.27999999999998
535,886,772,693,437,930,772,119.29,18.07,22.07999999999999
95,279,291,147,529,462,490,132.24,19.98,21.75999999999999
696,237,183,338,150,766,694,154.93,21.26,21.919999999999995
355,761,615,52,558,285,951,156.91,20.62,20.6
352,26,592,190,550,797,973,151.99,23.84,23.480000000000004
685,780,98,464,137,348,215,122.05,20.33,20.840000000000003
765,556,137,924,432,221,527,121.14,18.4,18.800000000000004
207,859,702,582,433,10,866,154.85,29.49,28.43999999999999
