n_nodes,influence,n0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
