n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
232,379,985,66.57,6.54,6.5200000000000005
384,129,197,81.17,7.87,8.2
721,44,87,119.44,15.97,16.83999999999999
140,253,830,106.54,10.62,10.280000000000001
518,214,410,97.08,14.13,14.359999999999994
657,31,470,93.82,9.84,9.280000000000001
499,464,399,67.11,6.32,7.0
506,586,196,86.67,8.3,8.120000000000001
918,850,412,62.66,7.38,7.520000000000001
91,496,239,77.36,8.86,8.080000000000002
777,20,717,97.8,16.62,15.63999999999999
273,532,417,57.73,6.9,6.880000000000001
485,923,933,54.67,5.81,5.800000000000001
388,743,116,80.86,9.31,8.8
678,264,99,63.78,8.44,8.32
833,64,395,116.88,11.66,10.96
635,849,386,62.71,7.05,7.28
110,676,59,56.61,6.76,7.640000000000001
346,240,707,72.26,9.5,10.319999999999993
88,509,925,91.69,10.97,10.840000000000003
665,529,923,92.34,7.82,8.48
212,595,827,77.65,10.39,10.440000000000003
145,621,65,98.77,9.91,9.480000000000002
552,968,38,85.9,9.47,8.88
500,718,198,87.71,7.67,8.120000000000001
151,968,880,60.39,8.32,8.32
592,467,746,67.08,7.73,7.520000000000001
598,902,455,58.72,6.03,6.0
292,570,365,75.53,9.06,11.319999999999991
875,899,436,76.95,5.97,6.32
138,162,782,58.78,8.68,8.080000000000002
615,99,544,79.49,8.05,8.240000000000002
706,321,718,60.75,6.21,6.4799999999999995
365,972,659,76.21,8.88,8.32
863,506,515,58.32,7.95,8.000000000000002
638,202,316,100.72,10.37,10.600000000000001
153,364,541,86.36,9.51,9.72
291,522,672,72.25,6.71,6.88
73,827,924,99.77,14.01,11.999999999999995
877,519,934,48.18,5.22,5.44
718,558,225,84.47,7.26,7.4399999999999995
352,249,929,67.27,8.96,9.440000000000001
12,302,351,118.06,17.42,18.639999999999993
225,273,34,78.63,9.66,9.720000000000002
433,260,385,84.25,9.16,8.520000000000001
305,854,722,42.13,5.65,5.76
912,426,179,69.64,6.73,7.320000000000002
673,405,119,112.85,11.61,12.199999999999992
170,954,679,72.35,7.92,7.960000000000002
872,998,26,98.22,11.24,11.040000000000003
206,996,784,57.18,6.04,6.120000000000001
164,307,119,83.95,9.37,10.360000000000003
13,815,782,123.79,16.56,16.560000000000002
389,350,856,48.85,6.18,6.5200000000000005
174,582,446,89.88,8.08,8.080000000000002
926,237,142,90.12,7.77,8.16
419,577,456,71.42,6.96,6.4
416,427,82,122.29,10.42,11.36
602,71,295,108.67,14.42,14.120000000000005
734,97,34,105.46,11.14,11.480000000000004
87,679,109,86.73,13.47,12.079999999999995
782,533,539,65.21,7.24,7.560000000000001
368,157,827,92.21,11.46,11.799999999999992
958,517,499,57.07,5.24,5.4399999999999995
725,152,618,88.7,7.59,8.0
64,194,17,143.51,20.59,19.639999999999993
934,143,348,58.13,6.67,6.68
395,674,587,83.75,10.92,10.879999999999992
123,761,306,96.14,11.26,11.36
359,333,988,78.49,7.54,7.6000000000000005
374,3,661,171.83,47.55,48.52000000000005
855,510,215,93.93,11.13,10.840000000000003
62,896,632,71.97,12.44,11.399999999999995
33,904,988,93.72,14.23,13.319999999999991
889,777,827,55.54,6.96,6.760000000000001
836,593,176,68.24,6.54,6.4
182,345,993,87.24,8.89,9.440000000000001
441,452,123,102.89,10.0,9.64
85,205,619,78.09,8.23,8.2
229,509,830,64.85,8.26,8.64
484,809,158,101.39,10.56,10.64
390,124,111,84.05,13.31,12.399999999999993
594,738,463,95.44,13.22,14.799999999999986
663,129,736,78.32,12.72,11.639999999999992
450,526,742,68.71,7.49,7.5600000000000005
92,732,950,72.16,5.98,6.32
482,577,403,75.41,10.09,11.199999999999992
836,369,466,57.97,7.1,7.16
230,52,202,115.03,13.54,13.080000000000002
50,456,114,107.11,10.2,9.8
110,216,742,85.66,8.89,8.88
4,725,615,151.1,24.12,25.879999999999992
626,928,23,113.2,14.31,14.84
670,372,849,67.78,8.46,7.720000000000001
442,540,95,98.13,11.32,11.040000000000003
991,766,773,49.26,5.35,5.6000000000000005
614,514,838,94.4,11.21,11.759999999999993
722,582,205,48.12,6.25,5.960000000000001
513,234,331,42.42,6.24,6.520000000000001
538,393,761,79.45,10.44,11.319999999999991
