n0,monte_carlo,monte_carlo_max_hop,two_hop
978,7.89,1.72,1.76
883,23.28,2.44,2.5200000000000005
970,19.88,1.77,1.7999999999999998
869,19.99,2.14,2.08
57,42.17,4.18,4.359999999999999
93,68.47,5.97,7.439999999999992
86,29.75,2.07,2.3200000000000003
369,19.9,2.6,2.32
855,6.48,1.64,1.68
173,41.13,3.11,3.3200000000000003
753,25.93,2.19,2.3600000000000003
828,35.5,3.7,3.4400000000000004
685,6.87,1.54,1.56
874,3.65,1.59,1.6
315,37.6,2.4,2.52
257,47.39,3.94,3.879999999999999
620,23.23,2.57,2.6400000000000006
217,33.71,3.33,3.08
621,29.68,2.22,2.4400000000000004
36,88.82,9.58,9.240000000000004
595,35.63,2.71,2.8000000000000003
697,15.17,1.87,1.9200000000000002
162,29.76,2.72,2.7200000000000006
441,15.97,1.51,1.6
653,20.71,2.23,2.72
402,13.9,1.7,1.6400000000000001
822,21.35,1.74,2.04
740,15.8,1.9,1.76
880,17.2,1.94,1.92
521,10.31,2.03,1.8800000000000001
972,40.64,4.6,3.5199999999999987
380,41.25,3.24,2.8400000000000007
557,26.14,2.03,1.96
958,9.56,1.89,1.7999999999999998
455,26.09,1.85,1.72
514,55.38,7.38,6.639999999999992
274,20.72,2.0,2.0
922,18.47,1.99,1.96
36,90.17,9.83,9.240000000000004
891,10.98,1.65,1.6
28,100.92,12.18,11.759999999999991
372,37.99,2.9,2.96
476,19.37,2.13,2.08
954,8.61,1.79,1.6800000000000002
326,63.83,7.47,6.7199999999999935
929,30.28,2.18,2.7200000000000006
389,24.76,2.31,2.12
433,18.51,2.36,2.6800000000000006
913,26.01,1.82,1.72
905,19.04,2.0,1.76
538,34.76,5.83,5.5199999999999925
168,39.43,5.01,6.039999999999993
573,9.29,1.51,1.68
181,47.49,5.48,4.839999999999998
241,31.63,3.22,2.9200000000000004
236,32.82,3.21,3.6399999999999992
24,77.14,8.43,8.480000000000002
180,26.09,4.41,3.8400000000000007
332,27.07,2.53,2.6
177,68.86,8.62,7.279999999999992
139,25.0,2.61,2.6399999999999997
522,51.57,2.06,2.5600000000000005
522,37.47,2.5,2.5600000000000005
368,42.37,3.59,3.6800000000000006
526,19.63,2.17,2.1999999999999997
690,21.73,1.7,1.7599999999999998
573,14.21,1.91,1.68
186,63.85,4.38,3.8400000000000007
915,16.17,1.79,1.88
456,14.32,2.06,2.04
815,21.83,2.47,2.3200000000000003
424,16.28,2.1,2.5200000000000005
752,11.09,1.53,1.6
537,33.93,3.55,3.4799999999999986
928,12.7,1.62,1.7199999999999998
930,48.93,4.05,4.080000000000001
781,6.96,1.77,1.7199999999999998
372,26.98,2.95,2.96
808,33.25,2.8,2.880000000000001
607,13.83,1.87,1.8399999999999999
362,35.77,3.89,3.8
370,15.09,2.04,1.96
879,30.14,2.51,2.24
984,10.35,1.84,1.8
456,12.93,2.32,2.04
165,31.54,2.91,2.84
977,6.78,1.77,1.8399999999999999
772,30.09,2.21,2.24
409,34.25,3.3,3.5600000000000005
732,15.08,1.9,2.08
756,16.81,1.65,1.88
472,12.69,1.83,1.7999999999999998
670,29.93,2.31,2.4000000000000004
543,47.32,6.16,5.959999999999992
255,20.44,2.85,3.04
501,34.52,2.54,2.4800000000000004
285,38.3,2.96,2.7200000000000006
947,16.73,1.84,1.76
510,42.18,3.07,3.0400000000000005
512,32.68,2.62,2.6000000000000005
