n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
812,587,841,82,496,780,267,37,0,149,678,185.97,52.93,55.759999999999984
600,481,988,777,752,382,327,788,22,279,500,178.21,33.82,34.559999999999995
821,202,747,893,423,932,551,552,698,96,197,181.64,30.49,31.759999999999998
576,566,716,824,746,271,678,822,624,702,90,160.1,28.86,29.52
864,434,343,95,370,819,419,824,256,455,716,172.78,30.64,32.839999999999996
96,773,201,717,650,815,298,99,974,46,602,177.92,37.62,38.44
924,205,847,671,934,369,498,955,852,931,198,176.36,28.78,28.64
527,589,660,993,714,913,824,515,999,938,29,156.77,25.56,26.200000000000003
648,370,250,616,440,311,365,603,122,91,512,169.52,29.97,31.20000000000001
901,694,537,203,119,622,678,274,319,736,200,173.91,32.08,34.07999999999999
388,495,228,141,611,214,854,886,897,714,534,159.13,33.24,34.19999999999999
12,193,796,173,17,663,340,571,926,687,635,187.88,42.88,44.19999999999999
633,313,383,386,540,398,296,129,695,500,55,171.44,29.8,29.520000000000003
189,433,608,764,407,98,451,251,825,91,913,167.98,34.02,34.679999999999986
617,686,891,910,456,457,802,851,389,815,78,145.02,25.6,25.599999999999994
529,436,482,310,722,836,418,963,87,196,764,168.0,31.91,34.03999999999999
696,272,462,499,739,802,988,176,18,22,550,184.31,39.99,39.839999999999996
126,257,603,821,369,192,262,514,462,337,949,177.07,37.57,38.43999999999999
529,260,420,949,900,431,626,497,274,616,486,162.56,28.45,31.32
672,490,503,145,738,386,508,313,649,824,478,162.71,34.23,36.19999999999998
331,375,675,166,994,935,945,634,385,711,617,167.33,24.49,26.43999999999999
272,327,661,407,998,499,746,812,161,959,847,174.6,29.52,30.039999999999992
297,573,6,638,460,987,58,186,30,624,792,191.08,49.64,53.71999999999999
583,114,698,735,379,370,960,509,873,603,63,171.63,31.31,31.040000000000006
941,197,158,970,275,628,15,432,825,801,819,180.57,38.42,38.19999999999999
833,537,503,77,480,237,102,379,370,985,148,177.98,35.62,40.359999999999985
697,640,249,621,325,147,38,643,684,99,731,192.52,36.59,39.559999999999995
107,46,661,489,473,741,921,70,644,31,718,175.84,34.73,35.040000000000006
564,130,631,852,946,85,164,632,646,933,271,169.84,28.77,29.080000000000002
929,858,914,669,462,511,710,20,810,652,140,165.5,32.49,33.43999999999999
837,966,193,930,956,451,490,797,450,457,571,176.23,35.42,36.679999999999986
283,488,729,593,65,851,819,298,372,292,368,165.44,28.84,29.440000000000005
962,34,85,514,878,282,286,280,989,484,441,175.74,36.85,40.55999999999998
454,944,380,32,730,87,255,835,619,653,244,180.52,31.41,32.440000000000005
548,763,33,756,177,344,379,32,53,974,757,189.78,42.4,46.159999999999975
783,769,972,214,717,443,351,906,79,161,749,191.52,35.26,37.519999999999996
692,116,409,560,138,475,760,506,654,76,131,168.5,32.58,33.4
75,358,532,31,190,538,725,153,188,288,756,170.76,34.13,34.36
154,519,582,870,397,815,228,967,226,712,577,156.37,23.69,24.000000000000004
732,932,128,429,707,167,775,324,246,574,586,164.94,29.26,29.320000000000004
4,805,824,582,395,192,778,333,875,390,538,186.09,48.68,52.59999999999998
451,9,407,865,543,564,870,677,139,733,239,185.18,47.98,49.23999999999998
660,556,824,760,381,278,682,189,995,152,168,156.49,31.45,31.759999999999994
706,640,137,393,76,62,12,40,483,777,60,191.13,49.01,48.59999999999999
117,666,728,553,102,689,376,609,32,61,555,181.89,41.41,41.800000000000004
230,805,416,230,781,578,704,944,973,300,94,157.88,26.33,29.720000000000002
482,79,741,587,884,60,172,915,677,448,122,173.12,34.96,36.51999999999998
981,114,718,182,51,700,941,31,768,860,692,188.19,30.95,32.32000000000001
746,435,666,725,293,261,454,237,206,835,879,174.23,28.72,28.400000000000006
669,797,548,806,660,219,284,606,13,261,539,182.19,34.77,35.68000000000001
809,749,762,997,992,725,892,700,338,795,529,159.25,29.71,29.319999999999993
95,598,609,660,33,370,375,707,119,231,971,184.09,35.83,36.44
781,28,369,943,708,970,348,446,702,852,994,165.62,37.61,38.71999999999998
52,352,142,31,10,344,69,496,2,474,848,196.11,52.15,55.51999999999999
270,89,693,604,630,279,235,135,128,429,558,176.15,37.66,39.359999999999985
186,248,678,393,608,439,577,529,641,850,491,155.91,34.25,33.08
950,276,259,140,306,909,33,197,776,459,107,180.94,36.53,37.08
827,180,589,111,970,950,828,2,525,164,122,178.8,39.82,39.359999999999985
155,606,402,485,497,882,890,543,785,710,554,154.05,27.69,27.32
831,814,481,220,862,659,920,397,158,788,941,163.25,27.64,29.08
