n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
978,883,970,49.03,5.13,6.08
869,57,93,100.56,14.7,13.879999999999992
86,369,855,56.51,6.0,6.32
173,753,828,97.4,8.72,9.120000000000001
685,874,315,32.8,5.8,5.68
257,620,217,64.7,9.61,9.6
621,36,595,113.83,14.5,14.480000000000004
697,162,441,62.84,6.56,6.24
653,402,822,42.75,6.56,6.4
740,880,521,40.11,5.31,5.56
972,380,557,72.34,7.98,8.32
958,455,514,77.19,9.18,10.159999999999991
274,922,36,123.28,13.72,13.200000000000003
891,28,372,120.26,16.87,16.23999999999999
476,954,326,70.6,10.05,10.479999999999993
929,389,433,60.33,7.7,7.520000000000001
913,905,538,59.2,7.53,8.999999999999993
168,573,181,92.39,11.98,12.559999999999992
241,236,24,123.93,15.42,15.040000000000003
180,332,177,107.65,12.11,13.719999999999994
139,522,522,61.26,5.42,7.760000000000001
368,526,690,78.61,7.85,7.640000000000001
573,186,915,67.34,7.57,7.4
456,815,424,61.19,6.32,6.800000000000001
752,537,928,56.66,7.89,6.799999999999998
930,781,372,70.84,8.59,8.16
808,607,362,72.38,8.86,8.52
370,879,984,64.21,6.24,6.0
456,165,977,58.67,6.36,6.72
772,409,732,73.54,7.94,7.880000000000001
756,472,670,51.59,6.17,6.08
543,255,501,91.24,12.75,11.479999999999993
285,947,510,80.79,7.62,7.520000000000001
512,527,851,49.19,6.05,6.5200000000000005
815,362,677,78.64,7.83,7.96
904,465,921,42.09,5.78,5.640000000000001
924,472,359,66.87,6.63,6.359999999999999
581,743,942,79.03,6.14,6.76
570,741,467,67.1,9.97,9.959999999999992
498,674,227,73.64,7.37,7.6
963,332,834,69.85,6.11,6.5600000000000005
716,855,170,78.52,9.35,9.400000000000002
897,929,631,62.4,5.88,6.16
274,791,933,61.06,5.7,5.84
491,316,310,38.05,6.18,6.32
980,818,723,71.92,6.46,6.48
851,516,575,62.59,6.14,6.120000000000001
530,519,667,83.2,9.53,10.279999999999992
630,602,416,71.12,7.67,7.760000000000002
319,748,212,114.84,13.48,14.959999999999994
500,524,375,66.54,7.95,8.12
956,700,638,71.6,12.66,11.279999999999992
903,77,803,102.49,9.92,9.92
840,349,743,78.52,6.14,6.5200000000000005
8,929,834,121.2,13.37,14.960000000000003
195,762,108,61.0,7.32,8.0
60,588,668,80.91,9.43,9.8
50,279,605,72.37,11.26,11.359999999999992
232,698,896,61.76,6.27,6.200000000000001
937,108,772,93.42,10.1,9.52
534,139,874,52.55,5.61,5.879999999999999
272,250,844,60.33,7.42,7.24
215,966,901,84.18,9.34,9.8
61,433,919,81.11,7.78,9.2
734,777,32,89.2,11.39,10.960000000000003
58,371,368,100.09,12.11,13.679999999999993
176,255,688,77.63,9.92,9.399999999999999
24,84,117,153.22,22.67,22.160000000000004
977,69,25,119.24,14.8,14.960000000000004
41,746,940,110.84,14.48,13.879999999999995
21,382,261,116.99,13.46,13.360000000000005
130,832,958,45.42,5.39,5.68
160,752,188,68.28,8.73,8.16
535,708,1,104.64,9.6,11.639999999999993
394,603,44,104.2,16.8,15.83999999999999
813,253,155,114.32,10.02,10.040000000000003
994,37,4,153.75,27.74,27.919999999999995
352,960,630,72.27,7.46,7.280000000000001
642,760,765,49.16,7.71,7.7200000000000015
115,292,345,62.0,8.23,8.440000000000001
500,31,315,80.13,10.23,10.240000000000002
459,564,784,55.86,6.93,6.48
619,757,46,103.11,11.44,10.240000000000002
923,270,773,67.22,7.59,7.4
411,883,636,71.11,6.96,7.760000000000002
722,157,484,94.16,9.96,11.559999999999992
981,230,95,94.93,9.9,9.520000000000001
676,703,323,76.24,11.21,10.879999999999994
858,104,24,125.33,13.11,13.760000000000002
458,807,895,80.42,9.2,10.0
970,130,530,67.81,11.84,10.119999999999992
598,799,402,42.28,6.85,7.000000000000002
498,527,335,58.76,8.62,8.760000000000002
147,895,982,71.5,7.67,8.08
349,265,268,77.37,8.23,8.88
620,993,429,57.03,5.72,6.120000000000001
668,18,716,132.59,20.45,21.599999999999994
571,982,143,63.13,6.76,6.92
686,58,259,108.77,11.93,13.239999999999991
34,134,165,111.77,14.49,14.599999999999994
