n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
137,582,867,91.76,7.0,7.400000000000001
821,782,64,94.19,9.13,8.720000000000002
261,120,507,91.54,8.8,9.16
779,460,483,61.7,5.89,6.04
667,388,807,78.66,9.23,8.560000000000002
214,96,499,125.35,15.91,17.319999999999986
29,914,855,71.69,8.34,8.720000000000002
399,443,622,91.21,9.36,9.680000000000001
780,785,2,92.38,12.79,13.279999999999994
712,456,272,38.53,6.37,6.12
738,821,234,89.0,10.25,9.919999999999995
605,967,104,69.61,7.86,7.52
923,325,31,110.31,12.01,12.200000000000003
22,26,665,135.56,18.99,18.040000000000003
554,9,961,153.46,26.83,25.599999999999998
902,390,702,58.85,6.13,6.12
221,992,432,60.9,8.52,7.880000000000001
743,29,540,101.75,10.5,9.600000000000001
227,782,448,57.39,8.05,7.440000000000001
961,507,566,94.18,8.52,7.880000000000002
238,353,236,93.69,10.72,11.12
693,224,779,76.82,8.34,8.079999999999998
470,975,296,61.25,5.69,5.6
948,22,426,114.37,11.0,10.920000000000003
857,938,569,45.69,6.51,6.24
944,657,102,85.82,10.57,10.999999999999993
190,644,741,59.59,5.86,6.119999999999999
880,303,123,76.4,8.32,8.440000000000001
760,340,917,40.95,5.58,5.48
738,996,728,90.5,10.81,9.639999999999993
512,958,990,70.83,6.24,6.2
432,519,849,84.34,7.1,7.520000000000001
932,686,194,62.25,8.14,8.0
310,290,601,69.62,10.73,9.800000000000002
996,903,511,54.85,4.87,5.16
866,963,517,62.74,5.54,5.8
402,603,873,45.64,5.65,5.92
35,491,248,94.27,9.71,10.200000000000001
761,816,413,80.73,7.24,7.399999999999999
424,680,177,100.25,12.13,11.519999999999992
375,561,903,62.28,6.36,6.720000000000001
719,794,690,53.1,5.86,5.52
755,383,88,98.87,14.4,13.479999999999993
449,679,520,80.58,8.4,8.440000000000001
110,797,167,72.66,8.83,8.560000000000002
533,860,402,39.61,5.78,5.68
379,501,750,74.16,7.43,7.48
30,480,44,123.36,20.13,20.47999999999999
315,720,868,57.81,6.41,6.0
629,607,592,91.06,8.22,8.32
403,662,174,82.52,9.68,9.640000000000002
172,514,232,79.35,11.92,11.039999999999992
12,789,204,126.29,18.8,19.15999999999999
552,942,880,51.01,5.38,5.32
561,237,414,61.68,7.81,8.16
526,352,975,66.95,6.12,6.520000000000001
867,591,361,57.02,7.07,7.24
470,931,275,66.56,7.67,7.44
675,561,623,76.23,6.98,7.360000000000001
980,746,5,120.36,17.33,19.119999999999994
392,802,877,61.92,6.02,5.96
840,977,907,93.06,7.89,7.640000000000001
960,758,524,79.48,8.92,9.199999999999998
828,132,531,92.63,12.42,13.399999999999993
796,574,210,78.15,10.67,10.759999999999993
436,972,57,98.15,10.83,10.639999999999999
492,890,373,62.27,11.67,9.879999999999992
583,567,204,57.47,6.99,6.72
963,516,423,59.02,5.52,5.76
496,832,365,59.9,6.54,6.800000000000001
424,354,1,65.78,8.15,8.000000000000002
551,553,638,84.6,7.38,7.48
805,627,339,78.08,9.05,8.96
469,614,28,111.55,17.71,16.23999999999999
823,235,650,100.42,12.75,11.639999999999993
181,563,598,89.07,9.44,9.319999999999999
185,881,93,87.21,11.54,12.119999999999992
817,564,816,58.27,6.88,6.719999999999999
871,836,953,41.2,6.62,6.32
261,33,861,124.42,14.52,14.399999999999993
966,689,72,84.03,11.83,12.119999999999994
85,888,17,112.66,15.77,15.959999999999996
463,14,772,135.84,19.78,20.0
773,287,255,71.05,7.3,8.0
275,112,816,73.97,8.61,8.840000000000002
639,189,352,95.06,6.46,6.6000000000000005
297,71,171,96.94,11.82,12.320000000000004
163,261,540,83.2,8.51,8.879999999999999
974,172,672,70.1,6.31,6.160000000000001
279,663,728,59.91,11.46,9.799999999999994
301,465,719,78.27,8.01,7.320000000000001
329,508,485,102.69,11.65,11.159999999999993
116,24,319,126.34,16.63,17.160000000000004
395,351,431,93.02,10.25,10.719999999999992
815,192,264,73.51,10.34,11.479999999999993
111,259,921,84.78,9.7,11.639999999999992
747,522,214,98.27,11.22,12.479999999999995
988,620,442,83.0,8.35,8.240000000000002
836,998,21,102.28,12.41,11.680000000000003
230,18,406,131.43,21.2,20.359999999999992
