n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
474,627,382,273,141,190,887,692,6,346,514,185.57,47.94,50.599999999999994
474,919,619,82,342,567,958,631,716,41,745,165.81,33.09,33.12
388,173,720,968,462,974,742,432,160,172,243,156.84,29.62,29.400000000000002
52,113,135,518,892,946,604,64,792,704,392,182.2,34.72,35.12
808,764,908,104,941,298,209,690,229,743,812,171.69,33.76,34.51999999999998
431,910,89,791,273,933,214,406,287,349,828,174.6,33.45,37.91999999999998
44,204,725,907,5,900,421,56,917,387,866,185.57,48.87,50.199999999999974
503,142,24,242,434,753,928,871,114,987,611,187.37,37.31,37.75999999999999
3,124,782,592,202,916,872,207,338,8,913,194.06,74.47,79.24000000000007
85,136,552,939,17,512,86,586,508,550,943,189.03,39.25,39.519999999999996
202,430,70,407,196,654,783,95,717,593,148,175.76,32.29,33.400000000000006
176,962,623,736,981,42,55,276,568,699,620,163.8,29.25,30.079999999999995
872,152,763,274,754,589,35,124,889,722,412,173.77,30.85,31.999999999999996
973,927,242,165,625,517,44,753,374,865,690,175.39,32.88,33.07999999999999
534,604,578,793,704,88,888,355,112,884,902,156.2,31.17,30.52
598,374,462,215,411,203,969,588,763,18,388,185.32,44.02,45.11999999999998
818,622,336,0,443,114,218,227,454,276,332,190.9,51.1,50.23999999999999
834,90,314,644,291,105,529,802,56,26,390,184.08,33.78,34.44000000000001
799,573,826,438,509,354,726,796,254,579,755,161.54,30.81,33.639999999999986
67,435,663,236,98,987,778,410,522,381,978,157.28,33.19,32.480000000000004
880,573,378,142,683,297,175,709,863,896,265,154.54,25.72,26.840000000000003
30,51,962,998,829,176,269,969,168,123,621,169.75,37.78,39.51999999999999
151,12,49,62,461,213,805,398,301,626,15,189.3,55.27,61.03999999999998
989,817,363,291,144,492,575,284,140,984,88,179.07,37.75,40.47999999999999
765,569,303,712,120,67,430,462,145,720,575,149.55,27.02,27.200000000000003
782,813,392,602,908,822,173,679,732,280,790,158.47,24.97,26.919999999999995
611,901,623,506,357,101,945,49,283,541,131,167.18,37.98,37.67999999999999
177,817,644,840,86,166,798,808,227,879,13,176.99,38.17,40.64
207,180,485,467,605,572,558,397,85,177,561,162.7,33.94,33.15999999999999
493,607,969,268,548,68,963,666,29,594,599,171.59,34.18,34.919999999999995
910,446,557,316,536,539,550,657,931,815,67,172.68,30.37,31.119999999999994
898,658,587,555,978,307,65,742,229,737,140,176.4,33.89,36.59999999999999
105,102,716,503,464,61,501,910,652,744,54,180.94,37.96,41.319999999999986
695,617,29,382,249,899,469,236,380,842,985,177.36,28.89,29.760000000000005
747,586,639,507,896,248,36,637,611,86,627,188.67,34.3,37.08
48,694,419,416,602,70,82,193,34,622,770,176.23,30.69,31.64
185,86,66,30,363,639,481,560,548,486,26,170.16,34.26,34.88
720,794,77,341,86,801,329,8,474,976,459,182.0,37.11,40.28000000000001
604,152,999,395,489,852,141,108,914,357,687,165.99,32.28,32.4
236,462,798,132,196,991,226,111,113,53,122,184.03,35.86,38.11999999999999
76,960,660,999,84,381,106,758,24,478,641,181.26,41.77,42.320000000000014
534,205,378,895,649,83,241,5,262,781,530,174.86,42.18,44.279999999999994
699,202,15,449,259,966,625,22,983,105,531,192.44,42.67,42.919999999999995
819,427,59,920,257,486,872,322,619,895,225,168.83,29.74,30.8
654,60,697,281,135,307,39,819,191,998,361,181.34,35.7,36.56
805,923,412,953,7,897,942,309,990,879,96,175.48,42.94,47.03999999999998
30,325,449,253,426,618,329,503,576,355,901,167.6,35.53,37.559999999999995
857,913,408,440,213,80,283,308,472,477,625,160.34,31.12,33.83999999999999
946,582,466,450,394,190,337,411,60,332,94,156.74,29.16,30.120000000000005
