n_nodes,influence,n0
1,105.6700,8
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
1,89.4700,0
