n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
241,310,105,738,405,490,158,92,68,20,411,198.89,46.66,47.479999999999976
562,939,296,819,783,60,227,532,549,368,283,164.86,29.2,28.6
798,176,846,108,268,219,965,949,26,848,656,173.7,31.15,31.280000000000005
826,266,819,278,198,168,317,296,642,888,749,165.22,35.03,35.95999999999999
983,875,868,901,381,88,865,620,345,687,397,170.46,31.88,32.88
518,254,182,253,484,286,91,967,957,837,886,179.56,39.86,43.47999999999998
964,560,860,307,7,930,298,586,721,903,319,182.25,41.39,41.95999999999999
868,783,520,199,423,433,613,295,441,462,165,180.04,30.34,29.720000000000006
238,312,265,832,816,44,83,47,473,641,287,186.27,42.43,42.959999999999994
531,547,663,482,717,351,148,689,200,68,422,181.07,34.85,36.43999999999999
935,207,650,647,451,282,188,364,446,764,602,168.74,31.03,34.87999999999998
328,649,571,203,926,331,103,859,63,725,234,181.72,35.9,34.839999999999996
284,783,596,630,882,243,125,339,957,181,297,179.8,34.42,35.959999999999994
470,26,43,365,714,84,917,987,977,292,752,187.17,37.92,37.800000000000004
691,982,334,18,330,295,329,989,156,793,667,189.1,47.36,48.03999999999999
420,882,965,890,635,696,837,79,300,632,196,149.86,27.9,28.120000000000005
915,454,299,139,256,390,613,984,162,339,586,174.71,28.54,27.600000000000005
9,372,45,465,173,373,802,823,371,297,585,192.61,44.86,49.00000000000001
99,449,212,434,938,212,116,60,63,56,754,184.28,38.15,44.56000000000001
172,609,693,993,153,621,41,559,502,596,255,159.28,34.74,34.839999999999996
329,36,125,854,541,299,792,419,667,205,489,175.08,35.62,35.96
206,247,449,420,503,37,224,431,454,254,662,184.03,41.87,43.159999999999975
910,438,850,220,510,192,32,37,260,259,248,183.87,39.77,41.72
538,213,790,237,427,890,267,145,332,52,912,162.63,32.89,34.519999999999996
950,322,578,119,583,412,985,922,668,669,891,157.8,25.64,24.840000000000003
809,734,762,41,506,396,95,440,215,952,894,192.05,40.06,38.160000000000004
586,921,966,946,169,344,303,672,482,818,922,171.87,27.61,27.56
657,322,834,430,540,220,670,820,702,820,274,132.07,21.61,23.52
346,944,401,979,508,76,879,994,286,984,642,169.86,32.17,33.959999999999994
684,195,45,404,920,634,130,785,991,275,683,178.0,34.66,35.079999999999984
876,61,890,171,704,650,475,582,483,764,413,172.14,27.09,28.43999999999999
949,399,223,817,3,216,944,160,13,624,897,195.19,76.39,81.48000000000005
263,118,405,829,788,801,390,898,227,563,54,186.73,37.28,37.95999999999999
899,973,206,165,687,622,338,838,913,575,792,161.29,25.29,26.0
803,482,937,539,450,27,80,35,712,608,115,192.62,45.46,48.59999999999999
500,574,885,263,622,792,142,42,371,81,786,174.1,35.26,36.91999999999999
900,535,926,10,304,857,355,847,76,87,982,186.42,40.15,41.15999999999999
556,464,390,210,806,318,397,239,776,498,876,175.74,33.58,35.23999999999999
989,409,97,79,117,937,635,817,906,374,524,181.89,40.7,41.48
444,425,878,728,795,454,68,643,902,963,200,182.05,34.67,36.95999999999998
652,309,952,856,490,432,121,817,571,171,380,172.12,28.92,29.08
895,166,180,723,152,334,506,880,346,264,554,164.83,30.3,31.080000000000005
997,925,4,727,172,5,663,319,123,558,113,199.59,57.52,59.75999999999998
498,805,732,615,495,538,77,533,251,421,867,176.54,32.43,32.35999999999999
300,365,234,785,184,884,641,1,692,54,624,161.27,28.38,29.720000000000006
929,320,557,934,930,478,801,933,581,312,959,166.62,31.96,32.44
888,518,805,451,627,632,452,401,144,257,789,156.9,30.89,33.23999999999999
611,370,677,348,136,443,84,620,147,691,828,172.67,35.25,35.720000000000006
637,181,292,923,962,380,202,589,812,358,691,163.02,32.5,33.8
635,904,95,78,412,661,958,925,183,337,669,155.86,29.62,31.24
380,334,178,307,904,23,618,20,536,972,772,185.48,46.39,50.23999999999998
849,90,820,367,826,832,976,100,162,186,598,158.38,31.9,32.239999999999995
507,676,587,960,78,778,947,991,119,176,667,149.33,26.97,28.439999999999998
490,691,907,763,227,632,805,851,676,310,873,165.46,28.93,28.079999999999995
950,704,415,902,613,243,918,501,720,226,317,157.03,34.15,32.27999999999999
376,235,763,334,550,641,542,462,920,822,409,190.95,30.94,31.919999999999995
518,410,992,837,320,290,448,421,602,13,257,185.1,39.6,39.08
188,918,553,469,709,574,629,845,373,413,973,180.84,29.18,31.439999999999998
397,638,28,159,523,69,469,997,988,645,942,179.5,40.45,42.519999999999996
355,618,815,319,932,93,773,264,495,227,655,156.55,29.61,30.199999999999996
950,488,913,618,796,67,152,946,244,70,306,171.1,28.22,29.440000000000005
135,970,48,167,407,809,595,697,635,560,730,170.09,29.8,29.280000000000005
982,551,268,18,536,251,161,769,99,210,32,185.87,45.19,49.35999999999998
