n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
474,627,382,273,141,190,887,692,6,184.37,40.62,41.84
346,514,474,919,619,82,342,567,958,150.83,24.9,25.719999999999988
631,716,41,745,388,173,720,968,462,162.54,27.37,27.559999999999995
974,742,432,160,172,243,52,113,135,176.06,30.06,30.48
518,892,946,604,64,792,704,392,808,146.07,24.98,26.159999999999997
764,908,104,941,298,209,690,229,743,161.33,30.04,30.03999999999998
812,431,910,89,791,273,933,214,406,151.24,29.64,31.55999999999998
287,349,828,44,204,725,907,5,900,186.24,43.73,44.79999999999998
421,56,917,387,866,503,142,24,242,178.55,31.87,34.4
434,753,928,871,114,987,611,3,124,193.13,63.77,65.00000000000006
782,592,202,916,872,207,338,8,913,171.31,32.33,31.44
85,136,552,939,17,512,86,586,508,176.42,31.48,34.19999999999999
550,943,202,430,70,407,196,654,783,167.92,26.23,27.080000000000005
95,717,593,148,176,962,623,736,981,148.4,26.6,27.039999999999996
42,55,276,568,699,620,872,152,763,162.24,25.89,26.84
274,754,589,35,124,889,722,412,973,158.58,23.68,23.480000000000004
927,242,165,625,517,44,753,374,865,161.39,30.88,29.51999999999999
690,534,604,578,793,704,88,888,355,153.51,24.7,23.520000000000003
112,884,902,598,374,462,215,411,203,158.8,25.01,26.400000000000002
969,588,763,18,388,818,622,336,0,179.64,55.63,56.95999999999998
443,114,218,227,454,276,332,834,90,162.61,25.28,26.200000000000006
314,644,291,105,529,802,56,26,390,165.13,27.5,29.52
799,573,826,438,509,354,726,796,254,147.81,25.06,25.43999999999999
579,755,67,435,663,236,98,987,778,143.22,28.49,26.719999999999995
410,522,381,978,880,573,378,142,683,156.49,23.63,25.04
297,175,709,863,896,265,30,51,962,165.7,28.38,29.000000000000007
998,829,176,269,969,168,123,621,151,158.26,30.09,29.719999999999985
12,49,62,461,213,805,398,301,626,184.47,42.26,47.15999999999998
15,989,817,363,291,144,492,575,284,169.57,36.21,38.35999999999997
140,984,88,765,569,303,712,120,67,153.27,26.58,27.960000000000008
430,462,145,720,575,782,813,392,602,144.95,19.11,19.520000000000003
908,822,173,679,732,280,790,611,901,138.03,22.7,22.75999999999999
623,506,357,101,945,49,283,541,131,174.62,32.38,33.399999999999984
177,817,644,840,86,166,798,808,227,151.59,26.76,26.959999999999997
879,13,207,180,485,467,605,572,558,157.75,27.8,28.120000000000005
397,85,177,561,493,607,969,268,548,156.87,26.66,28.799999999999997
68,963,666,29,594,599,910,446,557,167.05,29.72,29.28
316,536,539,550,657,931,815,67,898,150.88,28.15,26.999999999999996
658,587,555,978,307,65,742,229,737,152.72,29.96,30.399999999999988
140,105,102,716,503,464,61,501,910,157.89,34.35,34.55999999999998
