n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
978,883,970,869,57,93,86,369,855,144.56,24.74,25.479999999999993
173,753,828,685,874,315,257,620,217,139.49,23.65,24.32
621,36,595,697,162,441,653,402,822,158.08,26.65,27.040000000000006
740,880,521,972,380,557,958,455,514,133.05,23.07,23.959999999999994
274,922,36,891,28,372,476,954,326,178.08,36.11,39.19999999999998
929,389,433,913,905,538,168,573,181,165.68,27.38,28.91999999999998
241,236,24,180,332,177,139,522,522,173.34,33.91,36.44
368,526,690,573,186,915,456,815,424,144.21,20.92,21.84
752,537,928,930,781,372,808,607,362,151.66,22.97,23.400000000000002
370,879,984,456,165,977,772,409,732,131.94,19.79,19.880000000000003
756,472,670,543,255,501,285,947,510,137.77,24.41,25.079999999999995
512,527,851,815,362,677,904,465,921,130.69,19.23,20.040000000000003
924,472,359,581,743,942,570,741,467,143.32,22.71,22.999999999999993
498,674,227,963,332,834,716,855,170,131.72,23.52,23.48
897,929,631,274,791,933,491,316,310,122.83,18.55,18.32
980,818,723,851,516,575,530,519,667,146.07,22.16,22.799999999999997
630,602,416,319,748,212,500,524,375,180.74,31.14,30.839999999999993
956,700,638,903,77,803,840,349,743,163.34,27.72,27.719999999999995
8,929,834,195,762,108,60,588,668,174.41,33.77,32.68000000000001
50,279,605,232,698,896,937,108,772,153.08,26.4,27.07999999999999
534,139,874,272,250,844,215,966,901,145.12,22.31,22.92
61,433,919,734,777,32,58,371,368,166.71,33.85,33.76
176,255,688,24,84,117,977,69,25,188.5,43.34,45.2
41,746,940,21,382,261,130,832,958,167.09,31.67,32.92
160,752,188,535,708,1,394,603,44,177.1,32.9,35.47999999999998
813,253,155,994,37,4,352,960,630,189.29,43.62,45.16
642,760,765,115,292,345,500,31,315,161.84,26.79,26.400000000000002
459,564,784,619,757,46,923,270,773,163.54,23.86,24.12
411,883,636,722,157,484,981,230,95,164.05,28.21,28.839999999999993
676,703,323,858,104,24,458,807,895,168.18,34.15,34.12
970,130,530,598,799,402,498,527,335,147.16,24.46,25.879999999999995
147,895,982,349,265,268,620,993,429,138.55,20.54,22.92
668,18,716,571,982,143,686,58,259,176.52,40.28,41.67999999999998
34,134,165,174,98,464,650,237,520,187.82,32.69,35.71999999999999
938,725,956,32,252,238,731,455,75,166.37,28.79,30.36
256,82,605,233,639,810,819,638,726,152.01,26.59,26.28
368,262,700,433,285,538,768,4,154,184.93,44.8,47.35999999999999
36,393,418,164,113,524,741,89,246,181.68,35.55,38.67999999999999
104,102,20,186,768,237,107,222,25,184.7,40.9,43.879999999999995
533,685,475,464,317,548,657,389,217,130.98,21.93,23.399999999999995
701,928,778,986,215,746,825,444,435,163.1,25.58,24.959999999999997
523,21,595,605,52,902,428,951,537,159.49,28.86,28.60000000000001
595,185,942,96,679,821,491,374,19,168.68,29.01,30.039999999999996
531,983,943,121,625,375,296,706,954,151.5,21.91,21.16
381,315,19,895,701,422,103,107,313,170.9,37.63,37.07999999999999
203,860,793,688,845,16,831,462,61,183.67,33.13,35.239999999999995
420,652,497,474,213,910,602,628,75,138.87,20.95,21.800000000000004
5,291,24,381,313,957,740,78,224,187.47,43.53,47.079999999999984
773,502,196,118,585,382,401,733,474,157.39,20.68,20.639999999999997
143,771,353,404,908,124,260,124,125,168.56,32.85,37.15999999999998
82,631,870,342,656,400,982,217,709,146.21,24.73,23.680000000000007
107,25,633,674,481,795,44,740,722,178.58,31.98,32.959999999999994
509,297,366,982,468,144,817,383,275,157.44,25.23,25.680000000000003
495,538,886,489,736,977,745,823,429,141.41,30.73,31.039999999999974
954,503,856,696,303,404,237,160,500,147.91,24.77,28.959999999999983
610,265,561,437,712,695,715,940,86,135.81,21.8,21.76
599,745,837,589,98,72,364,180,558,165.89,27.56,27.839999999999996
150,825,426,919,68,817,88,933,916,157.25,24.38,25.12
697,829,663,38,131,997,303,399,237,165.23,28.43,27.959999999999997
725,686,906,697,337,449,176,536,293,124.28,23.9,24.839999999999993
114,159,553,972,992,773,433,98,336,156.06,25.52,26.16
528,254,732,526,263,173,916,161,472,151.23,28.97,29.839999999999982
970,720,240,413,895,367,801,782,587,156.35,28.57,33.479999999999976
746,148,477,451,736,30,829,609,392,158.55,32.22,34.27999999999999
902,754,184,402,522,54,494,280,414,143.2,23.65,23.800000000000004
259,727,748,959,422,722,663,483,368,144.69,28.35,28.15999999999998
985,560,338,730,763,933,674,83,779,162.09,24.44,24.239999999999995
839,872,743,230,545,636,192,412,835,147.36,23.45,24.359999999999992
682,391,902,650,936,11,320,475,536,159.56,34.57,37.63999999999997
728,928,904,477,665,181,835,96,17,173.28,35.16,38.07999999999999
412,965,221,746,582,620,395,927,220,141.93,19.32,20.48
905,995,102,399,835,571,785,820,204,158.94,23.95,25.679999999999993
280,762,943,600,594,196,501,823,626,149.01,22.42,24.91999999999999
141,8,627,694,444,493,259,525,579,180.15,31.95,33.96
177,478,729,209,995,989,778,74,358,182.11,35.66,41.119999999999976
3,927,497,545,857,685,674,67,772,183.01,61.22,61.680000000000064
605,496,947,690,944,342,470,273,898,139.62,19.38,19.560000000000002
514,471,28,81,628,772,355,177,777,180.49,36.27,40.319999999999986
768,961,803,414,261,691,640,806,853,160.63,26.43,25.279999999999994
884,736,138,55,166,511,390,475,691,153.23,23.3,24.999999999999996
301,159,10,289,570,478,990,1,375,170.47,37.51,40.079999999999984
34,550,870,391,577,453,209,891,692,171.38,31.01,31.679999999999986
315,510,664,136,495,706,551,728,936,149.55,21.44,22.080000000000002
309,78,264,844,320,311,341,661,971,153.5,25.74,25.6
814,319,669,658,402,530,860,942,95,160.02,28.95,30.279999999999983
520,648,215,400,610,543,868,871,153,157.52,33.71,32.64
817,516,643,91,315,41,238,972,468,164.55,34.06,35.31999999999998
574,237,535,284,62,980,114,114,691,150.2,23.6,29.12
838,806,388,877,373,218,326,364,79,166.73,28.43,29.839999999999996
342,468,371,170,509,452,890,298,472,155.54,27.86,27.600000000000005
