n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
243,606,557,85.2,8.34,8.2
133,378,937,84.63,13.56,11.719999999999992
618,485,640,78.62,6.06,6.720000000000001
594,67,620,95.42,13.12,12.959999999999994
13,930,857,135.75,17.25,17.440000000000005
480,265,564,57.18,7.24,7.32
239,196,734,93.36,7.9,8.440000000000001
481,553,856,66.35,6.38,6.4
562,487,406,36.72,6.03,5.92
654,881,154,57.51,6.97,7.039999999999999
237,650,155,117.33,12.64,13.119999999999994
888,948,535,44.1,5.38,5.84
399,759,15,136.09,14.72,15.839999999999995
687,795,65,97.63,8.64,8.48
163,776,980,57.71,7.8,7.5600000000000005
605,43,308,92.23,11.45,11.04
798,31,843,64.85,9.29,9.080000000000002
886,275,484,100.87,11.28,11.799999999999994
609,736,942,80.33,8.69,10.919999999999993
899,396,731,65.7,9.15,8.36
807,943,437,59.08,7.75,7.880000000000001
404,745,820,68.91,10.09,10.079999999999993
590,455,987,76.62,8.88,8.799999999999992
958,137,899,73.65,8.0,7.680000000000001
374,99,36,131.71,15.27,15.200000000000005
139,506,222,80.8,9.13,8.36
264,988,688,71.8,6.66,7.679999999999998
446,797,641,61.61,6.58,6.5200000000000005
875,308,431,64.55,9.81,10.759999999999991
519,853,395,80.47,8.9,10.319999999999993
587,359,546,91.53,11.52,10.639999999999993
599,417,598,57.75,6.67,6.2
237,925,344,65.0,8.63,8.36
698,937,951,77.35,8.89,8.6
29,876,286,114.37,11.67,11.280000000000001
620,687,712,67.13,6.48,6.600000000000001
167,715,881,95.93,10.1,9.360000000000001
334,987,554,72.12,7.24,7.44
926,585,582,65.44,6.96,7.039999999999999
106,730,671,44.89,6.41,6.64
216,648,851,86.1,8.27,8.640000000000002
587,273,291,69.02,10.23,10.319999999999991
127,64,493,85.96,9.59,9.840000000000002
874,654,495,45.72,5.42,5.4799999999999995
90,352,819,89.5,9.28,9.640000000000002
68,420,918,105.86,9.53,11.000000000000004
154,20,300,117.54,16.97,16.91999999999999
437,787,425,70.41,9.69,11.039999999999992
893,121,45,101.33,11.36,11.240000000000002
619,629,779,66.08,7.59,7.279999999999999
46,386,735,112.8,12.7,13.040000000000003
600,338,564,80.34,8.13,8.84
902,944,285,66.39,7.39,6.920000000000001
517,241,36,125.01,14.85,14.080000000000005
317,7,78,147.73,30.49,31.519999999999982
110,614,548,54.88,5.84,6.28
32,971,202,124.39,13.29,13.400000000000002
994,417,298,46.02,6.35,6.08
625,269,159,113.22,11.67,12.759999999999991
706,43,888,81.42,8.81,8.8
347,321,368,79.72,9.2,9.280000000000001
981,141,918,78.87,7.58,8.040000000000003
882,386,385,60.97,6.91,7.120000000000001
471,890,532,54.08,7.24,7.200000000000001
395,659,887,73.26,7.24,6.84
609,697,572,71.61,7.27,6.760000000000001
105,635,996,54.61,5.91,6.440000000000001
963,830,519,65.27,5.59,5.720000000000001
277,441,649,64.68,9.26,8.2
737,732,243,64.65,9.01,8.68
958,308,447,80.93,10.01,9.239999999999998
264,533,310,62.37,5.89,6.24
561,347,11,129.78,18.12,18.639999999999993
807,425,593,97.42,11.7,11.919999999999995
322,20,385,104.94,16.87,16.55999999999999
630,603,647,86.97,8.02,8.120000000000001
136,61,648,100.51,10.16,11.120000000000001
642,340,477,57.06,8.16,7.720000000000001
361,695,939,31.45,5.76,5.880000000000001
361,623,723,80.16,8.01,7.880000000000002
285,755,501,79.78,11.14,11.159999999999993
22,603,62,131.16,16.82,16.119999999999997
977,692,21,116.93,11.73,11.960000000000004
986,378,257,91.69,8.8,8.8
643,467,305,70.04,10.51,10.239999999999991
606,615,327,59.57,7.47,7.480000000000001
181,372,189,74.01,8.7,9.759999999999998
320,776,378,69.87,8.29,8.120000000000001
864,609,270,99.59,9.89,9.239999999999998
307,806,386,70.85,7.74,8.0
107,790,832,55.33,6.53,6.36
27,994,582,113.99,16.93,15.880000000000003
700,752,134,90.13,13.56,12.399999999999995
317,512,227,101.23,11.99,12.039999999999992
669,823,275,42.69,5.51,6.120000000000001
244,335,191,81.87,8.92,8.560000000000002
694,445,665,95.56,12.33,12.399999999999995
714,99,104,93.25,9.68,9.719999999999999
615,329,971,56.82,6.3,6.400000000000001
341,691,853,75.68,11.41,12.559999999999993
