n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
165,485,77,202,333,61.26,14.84,14.560000000000004
24,37,420,274,48,71.25,15.76,16.160000000000004
187,298,29,465,259,62.78,13.03,14.000000000000004
109,19,44,222,214,83.46,23.35,26.559999999999995
35,123,46,282,217,74.71,18.54,18.519999999999996
30,423,289,63,485,60.84,14.76,14.560000000000004
114,322,321,298,485,56.21,10.28,10.640000000000002
31,295,299,203,25,74.33,19.09,18.840000000000003
499,113,23,285,439,63.09,15.98,15.040000000000006
68,148,214,73,276,74.8,17.01,18.319999999999997
60,292,157,286,417,56.66,13.76,14.799999999999999
349,92,52,297,292,52.79,12.77,11.879999999999999
327,96,190,49,280,70.47,17.58,18.199999999999996
364,32,288,30,316,62.93,15.57,15.560000000000002
105,254,348,272,218,56.0,14.58,13.92
397,160,238,299,472,40.24,10.8,11.400000000000002
232,185,153,127,406,48.14,10.25,11.079999999999998
92,357,399,124,41,71.19,17.09,16.48
294,153,268,253,448,49.74,12.41,12.96
175,373,229,147,311,59.83,13.17,13.44
37,60,262,214,84,75.64,20.77,19.8
387,175,77,477,250,54.39,13.36,13.800000000000004
215,20,492,342,39,77.91,25.15,25.519999999999996
391,285,293,404,448,46.89,12.92,12.439999999999998
418,160,174,355,179,62.66,13.4,14.079999999999998
304,254,296,408,233,60.02,14.45,14.559999999999993
35,430,47,483,138,56.75,14.64,14.760000000000003
242,356,340,33,31,70.08,18.1,17.68
374,359,158,331,295,72.02,13.65,13.480000000000002
348,420,228,145,366,55.17,11.43,11.040000000000001
197,454,342,177,11,69.74,18.59,20.319999999999997
481,236,181,86,312,52.98,11.83,11.48
59,252,30,111,393,63.69,15.92,16.24
147,66,378,126,203,48.3,12.63,12.8
200,469,446,254,41,65.63,15.75,17.639999999999997
85,229,205,281,142,56.23,13.35,12.4
452,70,419,220,442,51.23,13.1,12.920000000000002
281,142,361,212,183,64.77,14.53,14.759999999999996
349,452,194,490,118,61.16,11.24,12.2
77,42,90,77,118,56.61,11.06,16.120000000000005
337,119,6,248,425,86.0,24.58,25.960000000000004
301,93,134,144,2,77.82,19.84,21.47999999999999
74,214,273,189,312,61.3,17.5,16.759999999999994
289,163,487,64,353,60.25,12.38,13.080000000000002
439,263,486,316,335,57.93,12.58,13.239999999999998
346,378,27,233,460,64.08,15.07,15.120000000000001
445,399,487,447,348,60.13,13.7,15.080000000000002
408,286,200,203,204,59.48,15.09,15.599999999999998
201,53,246,324,205,51.69,12.48,12.52
31,97,34,106,225,71.47,15.14,16.120000000000005
83,56,174,307,26,76.33,16.9,17.320000000000004
52,0,290,77,274,90.76,29.5,30.28
51,485,186,314,13,72.85,18.74,18.640000000000004
36,447,106,314,192,80.76,20.21,20.200000000000003
76,324,129,489,177,61.12,15.26,14.919999999999998
308,186,242,62,59,74.02,15.25,16.24
434,249,238,245,247,38.17,9.89,10.32
159,43,73,52,383,82.06,18.92,19.12
175,379,135,245,424,59.42,11.58,11.760000000000002
354,82,264,11,105,69.43,17.73,18.439999999999998
486,487,270,185,75,52.72,10.51,10.240000000000002
353,278,468,13,388,66.58,17.02,17.320000000000004
270,152,329,442,46,63.4,15.84,15.720000000000004
356,432,133,265,187,58.39,14.53,15.28
465,85,182,395,114,56.36,12.62,12.2
272,277,398,257,168,64.37,15.14,14.879999999999999
325,114,313,415,403,55.97,12.97,13.000000000000002
388,436,99,412,122,41.54,10.8,10.72
418,205,378,411,116,56.75,13.18,13.599999999999996
102,265,252,182,374,50.14,13.57,13.759999999999996
14,14,404,143,241,72.4,18.13,28.28
132,99,354,309,489,56.48,14.67,14.439999999999998
176,228,413,479,370,45.83,10.07,10.12
178,488,498,186,41,72.12,15.97,16.32
112,52,116,240,100,71.08,17.87,17.88
172,104,247,319,460,53.38,10.48,11.32
312,430,0,245,465,77.04,23.36,24.199999999999996
334,176,409,329,43,52.14,13.09,13.560000000000002
427,338,61,465,198,65.11,13.08,13.720000000000002
400,364,384,102,244,54.17,14.1,13.559999999999997
455,91,222,404,325,55.68,13.31,13.879999999999999
170,44,410,484,497,72.67,18.94,18.240000000000002
369,202,237,205,380,70.93,12.98,13.16
484,43,371,81,87,70.24,14.87,15.200000000000001
65,14,77,302,463,81.15,20.08,22.120000000000008
238,412,335,74,313,67.3,14.76,15.2
423,305,242,336,479,40.84,9.92,10.200000000000001
179,79,280,280,67,50.86,10.0,12.16
10,7,409,497,371,86.23,27.28,28.319999999999997
332,52,269,383,478,50.78,13.63,13.879999999999995
71,222,446,99,422,60.9,13.51,13.879999999999999
447,108,14,128,108,68.51,18.23,20.52
149,256,123,391,300,59.43,12.62,13.560000000000002
166,132,278,214,427,62.94,15.18,17.119999999999997
67,31,465,378,181,63.09,13.75,14.120000000000003
459,234,339,298,417,42.85,9.33,10.16
462,264,215,423,469,50.11,11.11,10.760000000000002
449,256,66,272,77,66.52,13.96,14.920000000000005
268,261,9,446,225,74.74,23.42,24.72
397,93,311,2,397,77.01,17.37,20.119999999999997
