n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
237,313,191,136,70,58.54,12.27,12.360000000000003
95,443,346,3,173,89.21,40.7,40.599999999999994
257,237,459,309,41,57.2,15.81,15.279999999999998
171,283,479,315,358,53.98,12.08,11.48
20,372,194,86,360,75.87,17.86,17.839999999999996
484,231,487,371,216,52.42,11.64,11.800000000000002
80,86,121,26,56,68.96,17.03,18.000000000000004
67,259,446,473,302,52.06,11.92,11.760000000000002
32,396,352,196,404,57.07,15.42,15.279999999999998
382,454,52,470,149,55.56,12.57,12.32
104,345,114,371,406,55.77,11.82,11.640000000000002
215,455,44,395,136,64.36,17.05,17.04
466,107,203,143,174,48.95,11.9,12.0
414,22,102,362,453,70.64,18.73,19.279999999999994
2,450,210,28,458,76.51,20.2,22.479999999999993
193,433,251,71,12,75.22,20.23,21.8
121,217,376,464,435,42.36,10.79,10.72
57,493,305,1,62,60.69,14.63,13.679999999999998
391,296,101,458,436,48.66,11.32,11.360000000000001
103,169,4,456,42,82.69,26.15,27.959999999999994
68,276,469,8,256,75.55,16.97,17.440000000000005
43,293,254,275,471,59.23,14.74,14.799999999999997
101,215,35,203,98,62.84,15.06,15.16
327,391,47,358,296,58.01,15.39,15.760000000000005
74,88,481,311,368,80.47,17.63,18.44
490,21,27,138,284,71.88,17.25,18.0
349,310,436,76,381,52.3,13.4,12.640000000000002
137,377,294,17,62,78.94,17.6,18.959999999999994
444,361,206,486,463,46.61,11.36,11.760000000000002
121,82,312,258,22,61.96,16.93,16.840000000000003
376,187,432,345,267,61.31,12.85,13.640000000000004
302,289,396,352,44,64.99,17.05,15.96
444,177,56,442,451,64.88,17.36,18.279999999999998
299,187,231,107,205,63.38,13.42,12.600000000000001
101,484,294,381,9,86.43,25.82,27.120000000000005
194,409,311,168,0,83.86,26.98,28.359999999999992
221,57,109,113,227,72.46,14.19,14.959999999999999
138,166,417,45,157,54.83,15.2,14.839999999999998
322,145,52,264,401,52.67,12.5,11.959999999999999
28,13,195,399,286,76.67,23.34,24.080000000000002
413,219,254,177,363,60.01,15.18,16.079999999999995
398,127,289,377,33,75.33,16.4,16.52
217,331,118,49,493,64.95,14.53,14.599999999999998
389,205,261,190,489,48.82,11.04,10.64
440,286,189,71,341,64.68,14.75,14.92
148,87,354,431,448,54.34,13.0,13.799999999999997
132,15,25,481,499,71.01,19.21,19.879999999999995
414,88,134,484,84,75.25,20.55,20.68
61,310,75,6,24,85.05,25.23,25.520000000000003
31,230,106,402,199,48.5,12.51,13.0
150,313,7,494,408,75.73,23.81,24.119999999999997
181,145,72,246,287,56.1,12.88,14.919999999999998
142,70,492,44,382,65.73,17.37,18.56
284,151,356,60,33,71.08,18.35,18.04
215,231,72,360,287,68.89,16.96,15.039999999999996
391,406,196,301,454,49.03,10.95,11.400000000000002
411,86,339,366,140,44.52,11.07,10.84
395,305,450,311,253,56.01,11.75,11.52
178,50,472,24,141,67.16,15.52,15.600000000000001
270,65,88,408,322,62.83,15.6,16.200000000000003
420,43,83,399,404,70.47,19.31,17.4
113,439,6,103,90,88.94,26.36,27.280000000000005
242,233,302,286,279,63.33,13.01,13.639999999999999
198,42,88,280,246,56.75,13.91,14.680000000000001
303,484,134,274,34,70.2,13.91,14.799999999999997
481,333,14,297,299,73.41,17.32,18.360000000000003
455,223,278,158,268,56.33,11.95,11.88
269,275,328,465,407,51.66,14.05,13.719999999999997
33,449,329,293,277,65.09,17.52,17.040000000000003
489,153,32,371,114,56.2,13.05,13.920000000000003
368,70,52,51,358,65.94,15.34,15.400000000000002
251,232,30,250,455,64.56,12.23,12.680000000000003
326,372,27,347,308,68.64,16.4,18.4
14,191,124,449,234,70.23,19.67,19.28
118,190,421,492,373,54.1,12.19,11.759999999999996
293,319,253,448,124,57.81,12.2,12.200000000000001
18,318,305,43,313,84.69,23.25,24.479999999999997
24,347,209,208,301,56.52,17.2,16.439999999999998
35,41,96,17,311,80.63,22.54,24.959999999999997
385,92,43,33,15,70.09,19.43,21.199999999999996
181,319,240,280,274,63.11,14.04,14.159999999999998
243,13,360,397,38,82.15,18.52,19.800000000000008
170,43,400,164,4,84.67,25.54,29.120000000000005
237,488,229,302,76,46.87,10.83,11.16
499,197,244,426,70,46.74,10.08,10.48
54,457,178,343,118,67.9,16.18,16.2
231,399,66,98,495,50.41,11.16,12.320000000000002
113,55,56,26,61,71.2,17.68,17.840000000000003
38,480,330,499,42,54.65,12.43,12.32
190,53,379,12,239,68.83,18.16,18.28
320,267,102,189,447,66.21,14.16,15.32
324,41,120,2,131,76.73,18.65,21.71999999999999
390,265,349,101,7,75.73,22.11,21.759999999999998
224,129,483,312,11,64.61,17.0,16.839999999999996
491,52,265,409,213,52.28,12.72,12.479999999999999
29,460,128,243,436,73.52,14.74,15.120000000000003
161,309,447,112,327,56.9,13.33,13.200000000000003
30,348,140,67,153,70.22,15.03,16.200000000000003
19,409,95,499,180,73.43,16.38,17.400000000000006
402,461,206,476,3,88.64,34.64,35.959999999999994
