n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
331,970,154,404,666,49,74,840,548,96,374,177.58,44.66,46.79999999999997
596,59,931,519,219,38,88,444,428,71,246,187.53,37.54,39.680000000000014
92,564,434,60,846,579,126,970,228,645,642,159.68,31.26,30.200000000000003
596,970,63,590,599,406,50,999,226,47,570,182.22,40.31,40.51999999999999
879,136,296,429,147,553,120,584,315,573,835,170.98,26.4,27.0
698,185,105,595,584,654,192,381,99,560,729,175.14,37.01,37.28
64,577,61,633,210,508,696,544,437,795,321,176.13,36.62,37.19999999999999
476,599,945,464,370,306,254,813,184,715,798,169.66,28.68,30.039999999999992
249,83,588,307,537,506,896,351,746,459,294,165.18,32.09,31.36
623,74,120,524,428,168,775,350,155,955,500,177.7,37.59,38.99999999999999
431,40,985,684,79,782,571,586,808,896,837,171.85,33.38,33.84
321,348,711,358,608,508,593,816,467,70,860,173.37,31.52,32.999999999999986
95,967,276,485,713,680,66,62,748,718,317,163.6,34.55,38.479999999999976
662,591,697,841,456,291,733,395,908,684,355,153.75,30.25,29.639999999999993
23,963,472,363,172,625,119,505,60,223,786,184.78,37.14,39.2
294,132,756,253,407,400,938,892,508,82,170,197.41,42.34,45.43999999999998
459,411,562,284,904,140,838,440,884,563,285,163.01,28.21,28.560000000000002
723,425,367,699,905,389,980,236,154,84,180,164.87,39.14,40.839999999999996
154,237,674,238,12,496,851,603,186,269,288,185.32,43.07,44.31999999999998
4,149,429,547,378,624,579,326,975,128,707,192.66,50.49,52.39999999999999
879,527,973,632,670,692,757,55,467,921,891,161.04,26.4,25.840000000000007
798,974,895,696,817,572,401,407,408,403,106,171.39,33.48,31.879999999999992
493,649,410,63,195,68,213,451,166,112,348,180.17,36.36,38.720000000000006
615,53,104,0,580,154,549,103,971,372,628,194.44,56.85,60.03999999999998
26,72,895,212,628,385,152,649,258,978,355,169.47,40.1,41.239999999999995
616,372,485,125,118,869,499,477,491,495,319,159.7,28.74,29.600000000000005
87,147,104,767,350,758,271,490,848,708,165,174.39,32.6,33.51999999999999
528,23,210,973,974,540,370,150,706,556,936,166.95,36.98,37.2
27,776,540,305,658,884,93,712,865,267,530,188.05,45.12,48.55999999999999
375,930,171,364,790,228,545,554,797,514,337,189.53,34.15,32.839999999999996
651,228,627,830,807,776,873,199,825,245,837,156.68,28.11,28.560000000000002
410,757,822,232,204,530,504,364,748,29,28,187.49,46.41,47.27999999999997
809,286,483,265,198,709,619,979,352,457,827,163.37,33.75,33.72
959,740,357,977,997,373,82,225,104,232,481,177.92,33.4,33.99999999999999
201,345,209,494,639,921,624,860,1,490,931,170.0,32.06,31.559999999999995
668,352,818,658,86,854,676,122,931,397,801,167.41,31.88,32.28
728,768,204,489,910,182,444,808,651,340,88,185.02,32.04,33.08
820,968,994,739,405,474,411,761,969,86,742,155.42,28.17,28.71999999999999
162,174,130,28,154,604,926,476,825,671,149,172.53,34.38,35.75999999999999
626,846,610,485,673,959,358,159,561,561,134,163.7,33.06,37.91999999999999
21,14,818,994,743,665,105,539,767,956,142,184.8,44.56,46.24
444,892,199,845,894,216,28,257,217,299,513,183.32,44.2,47.87999999999998
246,782,600,333,265,557,429,854,134,62,931,176.24,36.05,39.87999999999999
757,362,919,469,678,597,834,925,529,430,846,155.83,26.43,26.200000000000003
939,899,513,133,544,155,536,522,19,893,450,189.49,40.14,40.07999999999999
795,187,623,4,794,818,153,176,144,484,633,182.68,47.35,47.84
742,123,569,63,333,698,530,543,568,494,803,172.34,39.53,39.319999999999986
795,108,904,573,58,254,195,283,43,790,100,179.5,34.63,38.67999999999999
519,463,575,28,778,915,934,64,453,333,627,165.24,37.62,39.999999999999986
996,517,620,524,204,709,283,463,520,546,826,175.06,27.49,28.12
489,519,964,253,715,535,897,897,964,950,265,161.49,24.12,26.880000000000006
944,572,914,965,207,860,458,140,426,124,401,162.22,27.47,25.920000000000005
452,323,74,687,246,438,74,217,685,310,802,159.92,32.93,43.59999999999997
125,918,795,158,962,733,658,676,374,146,259,168.1,31.4,33.959999999999994
904,140,990,478,224,764,975,96,407,906,498,162.22,33.8,33.519999999999996
166,683,852,229,165,723,441,527,413,347,431,155.64,31.18,31.599999999999994
200,365,326,94,739,374,19,346,567,469,451,164.79,39.86,40.31999999999999
720,18,393,339,529,638,302,524,983,65,115,185.34,39.29,41.519999999999996
940,807,234,995,897,107,86,271,278,40,927,164.95,26.66,27.28
797,185,276,773,132,839,432,869,933,692,838,158.69,29.13,30.15999999999999
968,264,415,152,549,941,527,584,506,717,334,163.68,28.37,28.400000000000006
91,285,58,818,704,187,435,916,74,275,960,163.01,35.16,37.599999999999994
17,649,90,820,266,85,622,876,227,68,270,186.7,37.43,37.24000000000001
883,124,464,11,347,566,427,948,937,274,636,182.2,37.31,39.72
132,44,539,726,244,960,112,992,165,268,51,188.35,38.56,43.83999999999999
185,206,954,319,643,312,543,777,210,296,456,165.29,33.77,35.59999999999997
512,688,182,277,355,822,18,256,37,15,18,187.03,47.74,68.87999999999997
750,517,564,194,526,486,251,957,457,108,674,176.55,34.46,34.639999999999986
838,665,442,672,506,559,854,910,402,993,518,160.94,28.21,27.760000000000005
315,704,220,235,350,203,852,903,723,746,651,162.69,29.21,31.240000000000002
143,414,355,55,857,132,14,72,640,758,900,189.02,45.52,48.23999999999999
261,441,167,56,86,681,861,390,891,518,686,167.87,28.11,29.159999999999997
994,288,613,248,709,300,46,470,189,161,275,173.33,29.1,29.08
456,3,269,372,984,336,995,560,331,250,35,191.93,67.39,66.96000000000006
988,903,316,223,365,187,1,343,390,85,486,155.74,29.11,29.2
285,514,671,205,254,516,794,5,93,270,836,190.53,47.22,50.55999999999996
91,147,409,600,42,403,23,306,311,644,238,187.84,41.01,42.16
86,599,980,541,873,768,158,673,914,733,802,140.04,25.63,24.799999999999997
900,610,398,782,333,737,506,153,290,741,633,179.41,30.49,32.400000000000006
658,148,44,844,855,732,913,525,642,439,751,164.07,37.7,38.87999999999998
717,831,517,142,931,536,770,516,582,854,832,145.69,25.9,26.999999999999996
823,16,846,702,598,817,914,728,699,979,709,159.85,32.42,32.36
658,235,87,31,42,136,652,369,982,107,385,181.13,37.14,37.160000000000004
855,462,571,51,642,19,641,544,697,250,501,179.21,31.58,33.24000000000001
270,3,467,816,71,766,954,515,919,548,94,193.66,67.02,71.88000000000005
675,538,67,763,754,485,258,828,76,866,271,165.56,34.58,35.16
240,746,774,210,236,757,665,999,471,505,865,158.44,32.44,34.23999999999999
391,78,490,932,700,294,785,47,631,647,658,166.73,35.3,35.35999999999999
203,79,614,150,339,260,667,761,709,311,636,179.99,33.54,32.8
581,136,12,493,62,497,275,995,688,101,708,200.47,47.02,49.95999999999998
222,691,501,297,725,528,292,475,477,477,785,130.54,22.84,24.96
121,915,562,204,319,87,958,484,17,296,469,186.78,37.53,37.879999999999995
78,839,518,991,460,275,396,214,938,968,952,152.23,31.59,30.079999999999995
215,76,595,92,145,765,536,268,975,368,135,187.1,39.41,38.68
617,839,646,520,286,908,115,720,373,236,509,161.85,31.75,31.799999999999994
919,897,497,403,25,162,3,972,503,697,461,193.27,65.91,70.76000000000005
415,309,744,144,426,352,385,323,123,860,339,169.88,29.95,31.56
1,332,768,346,859,407,122,962,948,200,730,160.08,28.58,28.16
12,923,757,296,259,381,66,402,399,890,603,186.58,39.64,43.31999999999999
78,369,947,438,773,281,874,49,287,104,52,183.46,33.42,34.35999999999999
