n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
637,261,759,69.27,11.5,11.959999999999994
367,814,707,82.53,13.17,12.11999999999999
965,861,757,23.58,5.07,4.88
667,944,542,71.18,6.29,6.4
29,860,476,85.73,8.07,9.040000000000003
794,965,255,58.21,6.24,6.5200000000000005
664,53,922,95.33,9.88,9.8
160,115,380,78.42,9.45,8.880000000000003
480,889,252,62.25,7.39,7.600000000000001
389,556,104,51.66,7.52,7.72
587,255,13,129.34,21.07,19.999999999999993
748,221,417,78.66,10.86,10.159999999999993
286,186,938,86.8,10.02,10.48
888,784,398,74.71,7.91,7.960000000000001
163,780,816,51.22,6.75,6.6
73,142,632,118.61,15.55,14.959999999999994
632,455,129,82.75,8.49,8.32
135,1,995,74.14,8.63,8.160000000000002
892,5,214,144.07,25.99,28.87999999999998
792,220,983,56.91,5.96,6.279999999999999
169,893,170,88.07,9.03,9.040000000000003
296,321,984,67.83,6.53,6.680000000000001
203,552,897,78.73,6.85,6.8
694,640,209,93.96,12.33,12.359999999999992
186,963,991,72.02,8.44,7.600000000000001
707,201,989,61.02,11.35,10.799999999999994
988,915,392,71.52,6.16,5.88
305,22,369,97.95,10.74,11.720000000000002
424,169,958,59.33,7.07,7.000000000000001
149,270,66,105.56,8.61,9.000000000000002
339,308,837,70.52,7.75,8.52
617,600,3,169.8,49.83,50.28000000000005
610,694,724,37.64,5.28,5.5600000000000005
346,67,317,104.74,14.89,13.959999999999992
363,838,313,76.99,9.6,9.160000000000002
492,713,323,100.48,13.16,14.079999999999986
189,492,483,82.73,10.02,9.359999999999992
721,180,58,103.97,13.35,13.319999999999993
262,998,961,79.07,7.7,7.120000000000001
23,972,767,128.2,16.33,16.48
366,865,413,62.74,6.74,6.44
18,562,806,121.83,18.79,19.39999999999999
428,374,385,54.09,6.29,6.32
592,861,9,149.42,26.36,24.999999999999996
463,47,724,108.82,12.66,12.680000000000001
185,638,978,69.19,6.25,7.4
977,201,121,73.95,8.12,8.08
773,251,951,78.08,7.64,7.6400000000000015
839,964,473,52.24,6.59,6.96
352,524,363,94.18,8.7,9.92
914,537,256,96.42,8.74,9.599999999999998
794,473,110,75.96,7.05,7.6
603,766,799,78.41,7.06,7.040000000000002
816,376,880,57.38,5.49,5.880000000000001
302,37,443,101.41,9.86,10.120000000000001
968,93,213,91.36,11.14,11.679999999999994
348,525,625,55.92,6.89,6.640000000000001
371,940,151,72.81,8.97,9.0
348,282,946,63.59,10.06,9.839999999999993
719,558,94,79.17,7.54,7.720000000000001
319,702,324,74.78,8.99,8.560000000000002
313,181,817,99.61,10.57,10.919999999999998
80,641,152,107.23,11.86,11.840000000000003
738,705,316,66.55,9.88,9.999999999999993
495,165,737,68.05,6.9,6.999999999999999
49,82,615,101.74,14.24,15.199999999999992
546,945,415,59.18,7.09,7.800000000000001
32,243,758,128.55,13.67,14.2
608,352,846,92.76,12.61,11.999999999999995
256,466,666,89.74,11.13,10.639999999999999
431,149,57,116.89,12.07,12.799999999999994
938,653,33,109.83,15.61,14.599999999999993
820,505,342,68.59,6.44,6.800000000000001
858,212,133,97.05,13.35,13.679999999999994
749,577,972,74.23,7.92,8.559999999999999
135,645,918,66.22,9.8,9.360000000000003
806,423,109,80.13,9.91,11.079999999999995
172,444,381,91.38,10.81,12.04
152,60,865,95.27,9.88,10.4
430,301,144,73.13,7.72,7.840000000000001
464,944,635,54.44,6.09,5.72
872,173,999,79.06,6.61,6.720000000000001
534,464,983,38.25,5.17,5.08
499,705,747,44.79,5.96,5.96
325,490,280,53.05,7.49,8.200000000000001
298,481,413,73.23,7.0,7.08
923,150,115,66.56,7.26,7.32
386,841,544,60.19,8.08,7.760000000000001
982,183,642,94.49,12.5,12.519999999999992
959,511,888,56.03,8.45,8.879999999999992
346,184,91,78.69,9.3,8.520000000000001
503,278,527,70.42,9.5,10.199999999999992
800,561,888,55.38,6.61,6.640000000000001
514,369,64,110.86,12.41,13.079999999999993
804,814,793,88.28,10.02,9.72
364,711,601,82.9,8.68,8.720000000000002
679,35,777,62.18,7.82,8.440000000000001
313,372,572,73.23,7.81,7.52
721,684,287,71.25,7.31,7.48
855,497,271,65.8,6.33,6.200000000000001
