n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
137,582,867,821,782,64,261,120,507,779,460,167.9,28.75,29.200000000000003
483,667,388,807,214,96,499,29,914,855,399,182.94,39.38,39.999999999999986
443,622,780,785,2,712,456,272,738,821,234,179.03,33.52,35.23999999999999
605,967,104,923,325,31,22,26,665,554,9,194.78,57.19,60.68000000000001
961,902,390,702,221,992,432,743,29,540,227,158.94,28.12,28.200000000000003
782,448,961,507,566,238,353,236,693,224,779,176.0,31.77,32.28
470,975,296,948,22,426,857,938,569,944,657,156.52,25.4,26.28
102,190,644,741,880,303,123,760,340,917,738,174.16,31.35,32.319999999999986
996,728,512,958,990,432,519,849,932,686,194,149.4,24.32,24.8
310,290,601,996,903,511,866,963,517,402,603,143.85,24.9,24.840000000000007
873,35,491,248,761,816,413,424,680,177,375,175.16,30.37,32.95999999999999
561,903,719,794,690,755,383,88,449,679,520,168.93,31.62,32.15999999999999
110,797,167,533,860,402,379,501,750,30,480,164.38,28.3,29.680000000000007
44,315,720,868,629,607,592,403,662,174,172,177.97,36.35,37.99999999999999
514,232,12,789,204,552,942,880,561,237,414,182.19,38.98,41.119999999999976
526,352,975,867,591,361,470,931,275,675,561,146.46,25.45,25.840000000000003
623,980,746,5,392,802,877,840,977,907,960,172.24,36.75,37.16
758,524,828,132,531,796,574,210,436,972,57,184.47,38.62,41.27999999999998
492,890,373,583,567,204,963,516,423,496,832,145.73,26.45,26.31999999999999
365,424,354,1,551,553,638,805,627,339,469,166.29,28.93,29.680000000000007
614,28,823,235,650,181,563,598,185,881,93,171.97,41.8,45.27999999999997
817,564,816,871,836,953,261,33,861,966,689,175.59,32.29,32.559999999999995
72,85,888,17,463,14,772,773,287,255,275,191.82,48.57,51.67999999999999
112,816,639,189,352,297,71,171,163,261,540,171.41,33.14,33.96000000000001
974,172,672,279,663,728,301,465,719,329,508,168.73,29.94,32.23999999999999
485,116,24,319,395,351,431,815,192,264,111,189.84,43.1,46.43999999999998
259,921,747,522,214,988,620,442,836,998,21,169.03,36.43,37.24
230,18,406,149,36,736,982,164,456,721,518,193.28,51.9,51.75999999999998
694,436,557,852,225,999,645,816,711,528,461,164.52,26.62,26.479999999999997
228,536,664,31,404,691,589,822,328,675,646,173.09,33.71,35.719999999999985
436,60,755,305,128,991,217,896,48,313,72,178.47,38.68,40.39999999999999
879,78,317,939,961,305,761,162,426,578,258,174.86,34.08,33.47999999999999
133,8,574,899,870,38,604,839,222,985,922,176.87,37.42,37.68
583,471,175,847,888,890,997,798,720,637,521,173.99,26.5,29.039999999999992
38,387,205,355,101,210,587,690,918,443,605,186.2,36.67,38.999999999999986
198,504,106,960,681,399,303,516,511,17,333,180.23,37.74,38.160000000000004
626,892,411,921,288,18,160,205,878,335,830,178.86,42.47,43.399999999999984
576,801,138,347,439,218,272,690,98,857,388,169.54,28.52,28.840000000000007
954,560,352,936,903,857,703,547,496,786,545,154.27,22.72,23.240000000000006
240,66,742,41,86,136,173,170,932,551,218,188.72,40.27,41.08
274,777,340,614,518,861,261,376,346,348,116,143.41,27.33,27.160000000000004
298,240,888,966,618,798,977,732,908,500,138,162.12,28.33,29.43999999999999
593,564,788,106,328,40,416,74,389,886,807,186.67,41.02,40.31999999999999
150,848,128,349,117,629,601,800,948,387,78,176.28,33.51,33.800000000000004
584,563,229,579,83,975,273,373,912,302,577,147.77,26.11,27.560000000000002
547,947,117,468,918,283,110,805,46,847,302,181.06,34.57,34.760000000000005
12,628,686,14,93,423,117,845,906,808,40,199.52,54.02,60.79999999999999
192,245,804,600,431,165,118,461,171,697,247,181.18,33.44,37.039999999999985
162,761,865,105,445,932,987,387,825,993,555,156.49,30.74,30.36
931,837,301,563,259,728,488,322,102,212,667,173.19,35.23,36.16
325,40,27,10,805,947,302,743,610,327,460,200.16,52.88,53.879999999999995
400,320,408,64,65,935,324,993,615,993,466,162.37,31.07,33.559999999999995
114,256,220,803,632,796,912,555,888,704,480,160.78,27.04,28.399999999999995
677,364,265,187,554,212,314,203,252,369,83,174.34,34.42,35.56
839,287,91,771,458,92,667,588,658,347,963,168.09,29.51,30.959999999999997
232,399,989,314,42,335,191,324,811,867,592,181.92,32.04,33.919999999999995
914,943,310,251,342,103,557,626,592,826,610,156.68,28.02,29.759999999999998
94,250,225,20,827,249,411,74,274,564,888,174.34,43.03,42.55999999999999
72,746,76,22,650,10,297,768,811,367,505,185.59,47.58,55.35999999999997
480,883,879,157,103,513,796,814,335,78,521,165.21,35.3,36.15999999999999
972,681,177,183,794,153,144,841,886,327,312,182.84,40.94,43.59999999999998
109,726,526,854,941,616,300,129,915,211,145,165.52,31.49,31.359999999999996
558,932,739,32,798,323,840,924,638,823,688,169.49,30.98,32.79999999999999
928,566,860,966,764,706,210,182,306,443,550,158.25,33.0,32.72
161,49,731,882,683,253,258,796,65,698,986,191.06,36.65,37.31999999999999
457,827,440,562,256,554,449,871,550,464,11,185.29,39.21,42.31999999999998
405,856,346,175,264,497,24,812,661,955,426,155.49,31.1,32.519999999999996
999,584,19,63,708,363,593,141,607,128,141,185.35,38.51,44.76
265,848,283,407,577,410,176,627,91,239,497,186.17,29.89,30.08
7,181,541,324,512,914,664,942,448,952,702,183.07,45.58,45.87999999999999
654,748,231,244,320,506,703,490,979,230,729,169.84,32.31,34.599999999999994
422,345,573,625,928,745,939,669,281,995,661,134.48,23.29,23.080000000000002
