n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
637,261,759,367,814,707,965,861,757,135.66,28.02,28.159999999999982
667,944,542,29,860,476,794,965,255,155.33,22.31,21.96
664,53,922,160,115,380,480,889,252,155.46,26.89,26.200000000000006
389,556,104,587,255,13,748,221,417,171.79,36.7,37.639999999999986
286,186,938,888,784,398,163,780,816,150.48,25.21,25.040000000000006
73,142,632,632,455,129,135,1,995,161.22,26.72,31.359999999999992
892,5,214,792,220,983,169,893,170,186.68,40.26,44.119999999999976
296,321,984,203,552,897,694,640,209,149.05,27.32,25.75999999999999
186,963,991,707,201,989,988,915,392,123.83,25.75,24.279999999999994
305,22,369,424,169,958,149,270,66,159.27,27.2,27.640000000000004
339,308,837,617,600,3,610,694,724,186.17,61.18,64.12000000000005
346,67,317,363,838,313,492,713,323,176.25,35.42,37.03999999999997
189,492,483,721,180,58,262,998,961,157.87,29.09,29.639999999999986
23,972,767,366,865,413,18,562,806,172.71,41.35,42.16
428,374,385,592,861,9,463,47,724,179.73,40.28,42.0
185,638,978,977,201,121,773,251,951,142.31,22.45,23.040000000000003
839,964,473,352,524,363,914,537,256,146.12,24.74,26.319999999999993
794,473,110,603,766,799,816,376,880,155.04,20.29,20.520000000000003
302,37,443,968,93,213,348,525,625,149.87,29.31,28.43999999999999
371,940,151,348,282,946,719,558,94,151.04,27.4,26.479999999999993
319,702,324,313,181,817,80,641,152,175.32,29.66,30.400000000000002
738,705,316,495,165,737,49,82,615,154.86,29.05,32.11999999999998
546,945,415,32,243,758,608,352,846,166.17,31.66,33.919999999999995
256,466,666,431,149,57,938,653,33,180.63,35.71,37.87999999999998
820,505,342,858,212,133,749,577,972,165.16,29.25,29.039999999999996
135,645,918,806,423,109,172,444,381,166.49,32.94,32.48
152,60,865,430,301,144,464,944,635,145.73,23.41,23.88
872,173,999,534,464,983,499,705,747,116.43,18.29,17.680000000000003
325,490,280,298,481,413,923,150,115,150.02,22.46,22.520000000000003
386,841,544,982,183,642,959,511,888,145.57,27.42,29.079999999999984
346,184,91,503,278,527,800,561,888,140.37,23.55,25.359999999999996
514,369,64,804,814,793,364,711,601,175.75,29.88,31.519999999999992
679,35,777,313,372,572,721,684,287,145.7,22.38,23.28
855,497,271,788,707,733,300,979,968,117.17,19.63,19.880000000000003
348,665,182,594,872,11,485,560,792,162.85,35.86,35.59999999999999
256,333,687,280,474,295,836,512,662,157.98,25.15,25.64
689,816,365,356,280,659,353,755,960,151.18,28.96,27.959999999999997
848,418,358,944,863,176,890,887,704,139.73,23.23,21.919999999999995
460,999,373,979,342,530,145,542,170,167.89,27.77,29.159999999999997
203,856,370,959,874,488,289,708,80,162.84,31.56,31.639999999999986
736,686,747,426,175,631,799,958,594,149.83,26.47,28.19999999999999
528,681,958,430,309,638,566,793,887,139.74,21.23,22.880000000000006
652,277,737,28,200,163,600,451,639,184.3,36.04,38.79999999999998
665,185,224,777,702,184,646,735,42,156.21,24.05,24.360000000000007
482,231,169,55,913,136,113,324,991,167.76,28.82,28.199999999999996
185,494,198,561,36,425,476,359,389,155.42,33.72,34.2
678,626,73,604,209,243,735,924,382,178.21,32.6,34.55999999999999
0,358,415,974,285,876,419,887,117,182.77,44.14,44.75999999999999
705,851,560,382,987,36,563,628,308,153.26,26.12,26.560000000000002
97,302,558,524,347,973,594,300,981,163.09,27.16,26.75999999999999
360,838,132,429,419,832,577,657,551,141.22,22.25,23.559999999999995
378,478,145,160,610,391,577,488,980,137.89,21.36,21.84
203,991,136,623,93,359,840,914,677,162.44,25.42,27.079999999999995
0,391,110,333,579,938,629,552,144,172.49,43.05,45.35999999999999
333,644,897,912,577,384,439,442,231,140.16,20.61,21.320000000000004
505,298,491,995,725,388,393,984,875,104.57,17.92,18.4
935,162,610,608,266,758,308,508,257,174.88,30.6,32.079999999999984
425,20,326,967,314,503,951,293,146,169.31,37.97,42.55999999999997
488,24,124,675,636,983,454,251,300,164.51,27.34,28.080000000000005
40,800,139,846,401,13,491,545,573,178.44,31.62,31.800000000000004
280,249,957,485,800,37,251,501,274,160.28,25.38,27.039999999999996
864,158,738,292,300,504,622,486,530,170.12,30.39,31.43999999999998
660,884,618,901,761,916,121,16,778,156.59,25.81,26.960000000000004
129,307,289,546,725,344,628,303,748,155.77,24.26,25.75999999999999
542,27,475,358,369,698,762,832,604,158.69,28.94,29.000000000000007
135,37,2,258,566,466,702,938,110,158.92,31.59,31.319999999999993
909,703,558,195,14,439,797,826,437,166.5,32.88,32.36000000000001
609,589,705,725,976,647,664,493,879,133.43,21.52,22.160000000000004
933,861,394,487,401,698,872,736,201,116.35,22.73,22.359999999999992
920,303,476,849,776,67,310,856,3,187.39,63.12,63.28000000000006
