n0,monte_carlo,monte_carlo_max_hop,two_hop
812,10.42,1.53,1.6
587,25.62,4.51,5.5199999999999925
841,14.27,1.67,1.72
82,61.11,4.79,4.919999999999999
496,18.07,2.23,2.16
780,20.93,1.82,1.9200000000000002
267,39.82,3.65,3.879999999999999
37,66.17,4.0,4.200000000000001
0,154.01,24.22,24.43999999999999
149,27.35,2.88,3.000000000000001
678,19.67,2.78,2.8
600,45.82,4.34,4.159999999999998
481,29.87,2.07,2.3200000000000003
988,17.63,1.74,1.76
777,18.49,1.79,1.9200000000000002
752,15.83,1.52,1.6
382,27.09,2.16,2.3200000000000003
327,42.96,4.63,4.120000000000001
788,9.7,1.65,1.68
22,87.1,7.07,7.040000000000002
279,41.17,6.41,5.5199999999999925
500,19.23,2.15,2.2
821,26.85,1.63,1.6400000000000001
202,66.15,4.41,5.280000000000001
747,25.45,2.05,1.96
893,21.36,1.87,1.96
423,15.24,1.83,1.8800000000000001
932,9.54,1.65,1.68
551,28.08,1.79,2.2
552,12.05,1.86,1.84
698,37.96,2.5,2.6000000000000005
96,54.47,7.04,7.7199999999999935
197,33.62,2.77,2.9999999999999996
576,23.68,1.98,1.92
566,34.25,2.61,2.5200000000000005
716,47.21,3.39,3.3200000000000003
824,15.83,2.52,2.3600000000000003
746,19.65,2.26,2.6800000000000006
271,27.24,2.95,2.9200000000000004
678,44.97,2.97,2.8
822,24.08,2.08,2.04
624,31.44,3.38,2.880000000000001
702,17.37,2.04,2.08
90,57.89,4.0,4.160000000000001
864,43.09,2.73,3.3999999999999986
434,31.11,2.07,2.08
343,39.5,3.43,3.9599999999999986
95,71.4,4.34,4.760000000000002
370,9.3,1.73,1.96
819,39.39,3.02,2.8000000000000007
419,22.21,2.34,2.3200000000000003
824,31.79,2.65,2.3600000000000003
256,58.67,3.85,4.479999999999999
455,16.21,1.64,1.72
716,30.13,3.84,3.3200000000000003
96,75.9,7.65,7.7199999999999935
773,18.53,2.51,2.3600000000000003
201,31.08,2.4,2.24
717,25.28,2.01,2.04
650,49.64,4.87,5.479999999999992
815,28.57,2.04,2.3200000000000003
298,35.5,2.92,2.68
99,39.83,3.99,3.7600000000000002
974,15.18,1.56,1.6400000000000001
46,65.02,5.5,6.520000000000002
602,12.28,1.98,1.84
924,10.68,1.7,1.68
205,37.19,2.49,2.64
847,26.93,2.41,2.4000000000000004
671,17.41,1.63,1.64
934,31.74,2.0,1.84
369,21.46,2.5,2.32
498,26.25,3.15,3.2
955,8.5,1.59,1.6
852,39.84,4.4,4.079999999999999
931,38.18,3.13,3.0400000000000005
198,49.44,4.1,4.200000000000001
527,11.94,1.87,2.12
589,25.06,2.01,2.0
660,16.8,2.35,2.24
993,19.84,1.73,1.6400000000000001
714,20.87,2.48,2.24
913,22.14,1.75,1.72
824,25.15,2.48,2.3600000000000003
515,20.39,2.98,2.880000000000001
999,6.44,1.6,1.56
938,26.86,2.38,2.2800000000000002
29,71.59,4.74,5.320000000000002
648,47.08,3.63,3.080000000000001
370,27.36,1.73,1.96
250,15.63,2.07,2.12
616,51.44,3.8,4.200000000000001
440,29.73,2.48,2.6400000000000006
311,43.55,4.07,3.480000000000001
365,40.32,2.74,2.8400000000000003
603,32.42,2.26,2.4400000000000004
122,26.53,2.81,2.8000000000000007
91,38.95,3.55,3.200000000000001
512,27.86,2.33,2.6000000000000005
901,17.98,1.72,1.88
