n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
812,587,841,82,496,780,267,37,0,184.25,47.13,50.19999999999998
149,678,600,481,988,777,752,382,327,142.58,24.67,23.92
788,22,279,500,821,202,747,893,423,161.98,29.42,29.159999999999997
932,551,552,698,96,197,576,566,716,148.62,25.79,26.719999999999995
824,746,271,678,822,624,702,90,864,144.0,25.07,25.16
434,343,95,370,819,419,824,256,455,160.17,25.02,26.36
716,96,773,201,717,650,815,298,99,178.78,29.65,31.75999999999999
974,46,602,924,205,847,671,934,369,140.84,21.88,22.520000000000003
498,955,852,931,198,527,589,660,993,145.48,24.25,24.120000000000005
714,913,824,515,999,938,29,648,370,158.57,22.68,23.40000000000001
250,616,440,311,365,603,122,91,512,166.67,24.16,26.160000000000004
901,694,537,203,119,622,678,274,319,163.74,24.15,23.96
736,200,388,495,228,141,611,214,854,165.51,33.28,33.11999999999999
886,897,714,534,12,193,796,173,17,174.82,40.14,44.87999999999998
663,340,571,926,687,635,633,313,383,129.7,18.07,18.04
386,540,398,296,129,695,500,55,189,170.66,26.67,25.240000000000002
433,608,764,407,98,451,251,825,91,155.63,26.86,30.919999999999987
913,617,686,891,910,456,457,802,851,116.48,19.74,19.799999999999994
389,815,78,529,436,482,310,722,836,151.32,24.51,25.359999999999996
418,963,87,196,764,696,272,462,499,154.72,25.26,24.839999999999993
739,802,988,176,18,22,550,126,257,187.87,36.78,39.519999999999996
603,821,369,192,262,514,462,337,949,162.67,29.7,30.439999999999984
529,260,420,949,900,431,626,497,274,163.25,24.23,25.439999999999998
616,486,672,490,503,145,738,386,508,158.75,32.34,33.35999999999998
313,649,824,478,331,375,675,166,994,133.35,18.62,18.96
935,945,634,385,711,617,272,327,661,147.01,24.15,24.75999999999999
407,998,499,746,812,161,959,847,297,148.29,24.01,24.119999999999994
573,6,638,460,987,58,186,30,624,193.09,47.54,49.56
792,583,114,698,735,379,370,960,509,136.57,22.54,23.12
873,603,63,941,197,158,970,275,628,168.25,26.17,25.96
15,432,825,801,819,833,537,503,77,168.23,37.86,40.51999999999998
480,237,102,379,370,985,148,697,640,158.78,26.58,26.239999999999995
249,621,325,147,38,643,684,99,731,179.35,34.6,34.99999999999999
107,46,661,489,473,741,921,70,644,144.46,27.64,27.720000000000002
31,718,564,130,631,852,946,85,164,161.2,26.31,26.840000000000003
632,646,933,271,929,858,914,669,462,142.38,19.29,19.080000000000002
511,710,20,810,652,140,837,966,193,167.46,27.82,30.559999999999995
930,956,451,490,797,450,457,571,283,157.37,28.31,32.119999999999976
488,729,593,65,851,819,298,372,292,156.43,23.29,23.240000000000006
368,962,34,85,514,878,282,286,280,168.51,30.11,32.639999999999986
989,484,441,454,944,380,32,730,87,160.25,27.82,31.159999999999993
255,835,619,653,244,548,763,33,756,165.19,30.21,32.39999999999999
