n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
864,394,776,911,430,41,265,156.13,26.77,27.879999999999985
988,523,497,414,940,802,849,111.59,13.78,14.040000000000003
310,991,488,366,597,913,929,104.64,14.96,14.760000000000002
223,516,142,288,143,773,97,160.76,20.76,20.800000000000004
633,818,256,931,545,722,829,119.32,16.52,16.04
616,923,150,317,101,747,75,142.26,25.56,24.199999999999996
920,870,700,338,483,573,103,135.24,20.32,20.07999999999999
362,444,323,625,655,934,209,145.67,26.69,27.51999999999999
989,565,488,453,886,533,266,149.98,24.19,26.719999999999978
63,824,940,561,937,14,95,171.62,35.11,34.96000000000001
736,860,408,727,844,803,684,134.77,21.2,23.719999999999988
640,1,626,505,847,888,341,134.37,17.25,17.880000000000003
249,747,333,720,891,64,195,136.03,19.55,19.0
939,581,227,244,822,990,145,115.87,17.23,16.880000000000003
822,556,458,93,82,327,896,145.0,24.32,25.119999999999994
520,955,501,111,308,564,298,138.17,22.81,21.59999999999999
723,127,560,340,834,944,553,122.42,14.5,15.720000000000002
208,986,818,617,560,601,294,134.16,16.9,17.200000000000003
455,93,610,817,394,324,589,132.74,23.29,21.879999999999992
247,297,188,193,841,191,33,155.92,26.58,25.839999999999996
627,672,266,487,70,91,695,145.56,18.71,18.360000000000007
775,133,897,153,945,39,862,160.6,30.11,30.279999999999994
82,919,716,945,849,553,699,141.81,19.49,18.64
400,857,722,537,282,534,831,131.08,18.94,19.839999999999996
241,869,220,916,695,603,845,134.7,18.78,19.679999999999993
972,429,593,281,461,504,676,118.71,16.73,17.28
656,717,938,812,365,84,332,142.11,23.6,22.320000000000007
627,118,498,601,645,343,865,141.23,21.42,21.32
194,248,16,749,277,119,722,168.32,28.25,28.600000000000005
225,380,813,174,340,436,835,143.66,17.74,20.040000000000003
63,103,801,149,875,714,224,163.72,25.78,26.639999999999997
46,836,587,649,931,958,547,141.83,23.07,23.999999999999993
616,696,75,27,127,650,193,182.23,30.45,33.48
620,850,589,122,400,93,379,130.45,23.9,23.679999999999996
853,118,37,620,22,199,984,170.08,25.77,27.039999999999996
993,189,735,126,490,215,744,135.52,20.42,21.160000000000004
819,62,959,695,23,557,435,160.91,29.97,31.719999999999988
635,103,855,266,71,226,73,158.69,28.89,31.359999999999992
662,308,358,446,184,62,515,135.4,22.13,22.79999999999999
478,40,610,103,716,400,204,151.47,28.32,25.72
266,367,926,749,481,858,923,123.22,16.44,18.95999999999999
940,583,173,714,688,208,989,133.72,24.92,23.519999999999992
785,59,807,692,162,865,165,147.25,20.54,19.720000000000002
350,542,256,120,611,943,452,149.52,20.21,19.880000000000003
681,179,13,482,697,419,921,150.7,30.47,30.639999999999997
582,895,520,939,318,664,365,153.96,20.48,22.439999999999994
397,857,673,256,157,574,707,155.14,24.22,22.55999999999999
12,468,759,80,343,756,46,187.08,36.96,40.16
557,287,138,245,780,976,493,108.79,15.71,15.96
360,624,294,689,367,604,969,116.42,20.45,20.119999999999994
913,648,874,635,135,732,317,147.85,22.87,21.39999999999999
397,766,424,848,666,82,1,149.4,20.0,20.240000000000002
608,196,715,342,163,245,228,140.37,23.47,23.319999999999997
652,458,387,727,896,689,581,116.46,20.09,19.16
895,424,32,411,892,718,581,152.66,25.59,26.039999999999996
428,790,678,726,47,169,456,141.44,21.75,20.48
65,265,718,161,457,540,906,148.79,22.56,22.999999999999993
498,929,574,618,773,0,905,170.56,37.37,38.23999999999999
39,506,333,319,857,478,51,152.62,27.32,28.36
828,842,896,997,831,425,192,147.62,23.33,25.439999999999987
561,986,648,85,857,742,133,152.22,24.19,23.559999999999995
15,411,972,694,427,323,3,179.06,58.62,61.88000000000005
218,14,734,772,2,842,691,185.37,32.94,33.44
541,626,100,195,121,622,664,145.17,18.67,18.840000000000003
203,894,309,286,705,186,102,166.16,25.26,24.039999999999992
487,874,944,406,642,83,22,145.42,21.46,22.960000000000004
281,935,463,819,811,118,882,118.56,16.24,17.12
262,136,669,533,836,666,660,139.31,17.3,17.76
355,117,892,158,285,871,19,170.63,32.75,33.0
43,41,210,697,265,571,322,166.56,28.56,30.79999999999999
969,375,960,581,931,869,43,138.04,19.44,19.440000000000005
866,767,984,718,622,671,506,104.7,13.13,13.560000000000002
729,659,924,469,655,445,381,147.96,25.03,23.75999999999999
892,550,182,212,384,601,298,156.11,25.13,27.599999999999994
9,141,154,277,341,345,808,180.53,39.9,41.64
376,735,95,346,798,635,36,157.91,24.05,25.120000000000005
42,276,167,153,597,296,369,128.42,19.96,20.080000000000002
404,561,132,300,117,489,748,165.12,28.3,31.399999999999977
245,956,49,315,183,877,535,159.44,27.27,30.23999999999998
746,72,309,412,855,336,306,128.77,22.0,20.599999999999994
424,111,101,574,930,492,485,144.9,25.21,25.319999999999986
345,861,817,999,831,351,127,126.14,18.09,17.76
490,118,716,509,436,38,309,146.38,21.33,21.120000000000005
343,752,703,915,159,941,170,138.56,19.31,20.32
641,578,384,825,997,654,89,129.83,17.59,18.879999999999995
67,827,86,202,767,226,62,149.36,26.44,25.199999999999996
394,8,100,403,569,531,296,164.22,26.05,26.560000000000006
459,942,500,807,598,731,695,138.13,16.65,17.8
222,433,85,377,225,267,599,142.34,20.64,20.840000000000003
795,170,441,196,367,117,65,150.63,24.22,25.919999999999995
841,884,873,718,28,924,538,135.4,25.64,26.39999999999998
462,770,693,206,121,509,407,121.59,20.37,20.08
262,212,656,43,970,816,221,131.22,22.34,21.880000000000003
638,149,107,202,469,387,370,145.01,21.46,21.800000000000004
559,846,154,107,610,499,151,133.16,20.74,19.4
577,415,653,696,433,898,533,112.25,16.52,17.120000000000005
507,695,939,909,330,853,510,135.8,20.1,19.319999999999993
510,650,686,895,206,555,624,137.35,19.51,21.159999999999997
953,224,9,348,722,985,764,169.13,33.21,33.48
920,325,837,329,36,537,151,151.59,28.25,28.640000000000004
