n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
331,970,154,81.24,7.42,7.0
404,666,49,133.52,16.5,17.999999999999986
74,840,548,104.2,13.77,14.119999999999997
96,374,596,80.47,11.83,11.319999999999993
59,931,519,81.03,7.86,8.64
219,38,88,125.45,12.7,13.880000000000004
444,428,71,118.6,12.25,12.48
246,92,564,75.47,6.36,7.160000000000001
434,60,846,91.25,10.17,9.76
579,126,970,82.4,7.82,8.32
228,645,642,70.3,9.18,8.64
596,970,63,68.66,9.15,9.320000000000002
590,599,406,75.86,9.59,9.599999999999993
50,999,226,66.15,8.4,8.16
47,570,879,123.48,16.78,15.759999999999993
136,296,429,55.38,6.98,7.120000000000001
147,553,120,66.93,8.12,8.0
584,315,573,81.25,7.11,7.32
835,698,185,81.19,7.34,7.760000000000002
105,595,584,90.45,9.39,9.080000000000002
654,192,381,119.47,15.47,15.479999999999993
99,560,729,82.31,7.85,7.84
64,577,61,102.85,10.29,11.16
633,210,508,88.51,14.44,14.159999999999984
696,544,437,64.54,7.82,7.280000000000001
795,321,476,64.99,6.62,6.680000000000001
599,945,464,54.65,6.26,6.4
370,306,254,93.1,11.24,11.879999999999992
813,184,715,77.69,7.69,8.040000000000001
798,249,83,79.14,10.5,10.32
588,307,537,67.48,7.5,7.999999999999999
506,896,351,50.01,7.02,7.200000000000001
746,459,294,76.24,7.62,7.640000000000001
623,74,120,122.52,14.65,14.639999999999995
524,428,168,83.88,12.15,11.759999999999991
775,350,155,88.39,10.13,9.760000000000003
955,500,431,65.61,9.09,9.239999999999993
40,985,684,97.2,10.07,10.200000000000003
79,782,571,95.17,10.84,9.720000000000002
586,808,896,43.72,6.64,6.24
837,321,348,63.54,7.37,7.280000000000001
711,358,608,87.96,10.76,10.919999999999993
508,593,816,85.05,10.09,9.879999999999994
467,70,860,76.54,7.19,7.400000000000001
95,967,276,70.56,7.91,8.000000000000002
485,713,680,47.24,5.7,6.159999999999999
66,62,748,120.18,14.24,15.479999999999986
718,317,662,79.77,10.26,11.359999999999992
591,697,841,60.03,6.57,6.84
456,291,733,58.22,5.79,5.800000000000001
395,908,684,97.85,12.25,11.759999999999994
355,23,963,116.29,13.88,14.84
472,363,172,57.08,7.14,7.4399999999999995
625,119,505,72.02,8.02,7.800000000000001
60,223,786,71.76,11.12,10.479999999999999
294,132,756,76.65,10.18,10.839999999999993
253,407,400,89.21,10.8,10.560000000000002
938,892,508,98.7,13.92,14.959999999999985
82,170,459,95.69,11.44,11.88
411,562,284,65.07,7.22,6.960000000000001
904,140,838,95.8,8.87,9.560000000000002
440,884,563,70.62,6.68,6.920000000000001
285,723,425,100.24,11.54,11.839999999999995
367,699,905,51.39,9.02,9.679999999999993
389,980,236,57.14,7.38,7.52
154,84,180,135.3,14.0,14.600000000000003
154,237,674,84.75,8.69,8.44
238,12,496,134.43,19.87,19.71999999999999
851,603,186,99.07,8.32,8.080000000000002
269,288,4,157.63,27.96,30.319999999999986
149,429,547,69.1,7.5,8.040000000000003
378,624,579,72.46,7.03,7.16
326,975,128,104.47,13.57,13.239999999999995
707,879,527,59.35,6.4,6.32
973,632,670,79.04,8.29,8.480000000000002
692,757,55,58.13,6.98,7.760000000000001
467,921,891,51.1,5.43,5.24
798,974,895,54.56,6.03,6.5600000000000005
696,817,572,78.05,8.05,7.759999999999998
401,407,408,91.01,11.82,11.519999999999992
403,106,493,67.49,9.35,8.8
649,410,63,76.53,10.46,10.8
195,68,213,99.1,9.84,10.320000000000002
451,166,112,120.26,13.05,12.679999999999994
348,615,53,87.42,8.6,8.840000000000002
104,0,580,156.62,31.28,34.11999999999998
154,549,103,88.86,11.49,12.639999999999993
971,372,628,52.7,6.74,7.0
26,72,895,110.28,17.41,17.679999999999996
212,628,385,76.48,10.12,10.240000000000002
152,649,258,85.41,9.09,8.92
978,355,616,66.54,8.59,8.760000000000002
372,485,125,91.67,9.36,9.84
118,869,499,60.57,5.88,5.92
477,491,495,48.69,6.78,6.6
319,87,147,102.38,10.17,9.68
104,767,350,66.42,7.73,7.800000000000001
758,271,490,72.75,8.22,8.2
848,708,165,63.26,12.68,11.279999999999992
528,23,210,125.59,19.32,19.839999999999993
