n0,monte_carlo,monte_carlo_max_hop,two_hop
637,51.63,6.32,6.199999999999992
261,31.93,3.41,3.24
759,24.69,2.54,2.5200000000000005
367,44.58,6.06,6.279999999999992
814,38.41,4.0,3.799999999999999
707,17.21,2.16,2.04
965,5.82,1.6,1.56
861,5.97,1.69,1.56
757,16.38,1.6,1.76
667,27.29,2.16,2.4000000000000004
944,22.11,2.57,2.3600000000000003
542,14.14,1.59,1.64
29,43.63,5.68,5.320000000000002
860,5.6,1.55,1.64
476,21.98,1.7,2.08
794,25.52,2.05,1.9200000000000002
965,14.71,1.59,1.56
255,16.8,2.68,3.04
664,24.32,3.21,2.9200000000000004
53,65.84,5.37,4.920000000000002
922,19.25,2.01,1.96
160,48.45,4.24,3.7200000000000006
115,23.52,2.36,2.32
380,54.61,3.13,2.8400000000000007
480,16.1,1.77,1.84
889,36.29,2.91,2.9600000000000004
252,31.73,2.65,2.8000000000000007
389,14.24,1.83,2.12
556,13.36,1.93,1.8800000000000001
104,45.81,3.91,3.7199999999999998
587,38.22,6.06,5.5199999999999925
255,30.35,3.22,3.04
13,93.59,11.7,11.440000000000003
748,54.24,6.09,5.759999999999993
221,39.4,2.9,2.7200000000000006
417,19.33,1.71,1.6800000000000002
286,50.29,3.99,4.359999999999999
186,32.39,3.65,3.8400000000000007
938,29.76,2.68,2.2800000000000002
888,16.55,1.54,1.56
784,24.86,2.6,2.2
398,56.68,5.84,4.200000000000001
163,25.74,2.93,3.1199999999999997
780,27.86,2.05,1.9200000000000002
816,11.55,1.58,1.56
73,81.09,9.08,8.439999999999994
142,42.02,3.74,3.3600000000000003
632,38.11,2.58,3.160000000000001
632,28.94,3.3,3.160000000000001
455,13.27,1.83,1.72
129,40.97,3.3,3.5199999999999996
135,47.59,3.61,3.9600000000000013
1,15.26,2.16,2.4800000000000004
995,12.69,1.93,1.72
892,59.25,7.54,6.479999999999993
5,95.61,15.45,14.679999999999993
214,67.39,7.98,7.959999999999995
792,21.1,1.6,1.68
220,25.65,2.73,2.84
983,16.19,1.72,1.76
169,23.94,2.49,2.6800000000000006
893,14.95,2.11,1.96
170,60.3,4.63,4.400000000000001
296,19.43,2.12,2.16
321,19.23,2.88,2.72
984,15.85,1.87,1.8
203,35.92,3.33,3.1999999999999997
552,20.8,1.73,1.84
897,12.87,1.96,1.76
694,11.36,1.67,1.64
640,21.95,2.12,2.6400000000000006
209,56.03,8.63,8.079999999999993
186,31.97,3.98,3.8400000000000007
963,22.2,2.12,2.2
991,13.24,1.43,1.56
707,20.8,2.65,2.04
201,33.43,2.19,2.24
989,47.34,5.56,6.5199999999999925
988,14.64,1.47,1.76
915,19.33,1.76,1.88
392,23.37,2.31,2.24
305,25.86,2.1,2.36
22,88.62,6.21,7.040000000000002
369,23.54,2.39,2.32
424,27.65,2.5,2.5200000000000005
169,26.12,2.65,2.6800000000000006
958,29.76,1.83,1.7999999999999998
149,33.76,3.11,3.000000000000001
270,33.12,2.83,2.84
66,31.96,2.55,3.1600000000000006
339,22.53,2.58,2.6
308,47.06,3.72,3.5999999999999988
837,20.78,1.9,2.3200000000000003
617,17.13,1.42,1.6800000000000002
600,44.33,3.54,4.159999999999998
3,163.01,43.7,44.52000000000005
610,27.36,2.19,2.3200000000000003
694,2.67,1.67,1.64
724,14.58,1.61,1.6
346,25.18,1.83,2.12
