n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
243,606,557,133,378,937,618,142.07,23.63,21.87999999999999
485,640,594,67,620,13,930,171.24,30.22,33.08
857,480,265,564,239,196,734,122.88,17.19,17.68
481,553,856,562,487,406,654,93.14,14.14,14.08
881,154,237,650,155,888,948,136.82,21.4,21.95999999999999
535,399,759,15,687,795,65,154.65,25.19,26.519999999999992
163,776,980,605,43,308,798,125.71,19.7,20.24
31,843,886,275,484,609,736,153.4,28.5,28.359999999999985
942,899,396,731,807,943,437,126.15,18.03,17.8
404,745,820,590,455,987,958,109.56,19.58,20.599999999999987
137,899,374,99,36,139,506,176.22,25.26,27.080000000000005
222,264,988,688,446,797,641,123.12,16.65,16.479999999999997
875,308,431,519,853,395,587,146.44,23.2,26.359999999999978
359,546,599,417,598,237,925,118.61,16.22,16.400000000000002
344,698,937,951,29,876,286,156.04,20.96,23.080000000000005
620,687,712,167,715,881,334,137.29,19.19,19.360000000000007
987,554,926,585,582,106,730,95.89,15.69,16.08
671,216,648,851,587,273,291,128.62,19.77,20.599999999999994
127,64,493,874,654,495,90,156.51,20.68,19.48
352,819,68,420,918,154,20,180.32,29.25,31.199999999999996
300,437,787,425,893,121,45,148.1,22.59,24.319999999999993
619,629,779,46,386,735,600,150.84,22.37,24.4
338,564,902,944,285,517,241,134.76,17.05,16.360000000000003
36,317,7,78,110,614,548,173.07,47.2,47.03999999999998
32,971,202,994,417,298,625,146.74,20.77,21.48
269,159,706,43,888,347,321,146.34,24.85,25.15999999999999
368,981,141,918,882,386,385,143.07,19.38,18.840000000000003
471,890,532,395,659,887,609,144.53,16.02,17.040000000000003
697,572,105,635,996,963,830,121.92,13.67,14.279999999999998
519,277,441,649,737,732,243,118.34,18.0,18.439999999999998
958,308,447,264,533,310,561,126.09,16.32,18.24
347,11,807,425,593,322,20,177.2,39.16,41.71999999999998
385,630,603,647,136,61,648,149.91,21.83,21.480000000000004
642,340,477,361,695,939,361,113.24,13.37,15.840000000000002
623,723,285,755,501,22,603,156.16,24.7,26.199999999999996
62,977,692,21,986,378,257,145.53,27.23,27.319999999999997
643,467,305,606,615,327,181,145.06,22.08,22.559999999999988
372,189,320,776,378,864,609,144.09,20.0,19.52
270,307,806,386,107,790,832,107.07,17.5,17.12
27,994,582,700,752,134,317,174.43,33.75,35.47999999999999
512,227,669,823,275,244,335,125.43,18.13,17.080000000000002
191,694,445,665,714,99,104,149.07,24.75,24.479999999999993
615,329,971,341,691,853,229,145.64,22.55,22.279999999999994
448,829,876,983,173,81,344,151.59,19.05,19.440000000000005
759,665,223,906,582,461,277,156.97,20.14,20.880000000000003
230,805,123,34,542,980,195,148.51,19.51,19.600000000000005
322,826,856,858,588,187,884,109.16,15.27,15.120000000000003
285,348,826,847,657,87,825,139.15,16.33,16.16
634,353,603,132,431,298,530,147.51,29.41,33.47999999999997
812,870,277,475,354,649,426,125.07,16.43,16.799999999999997
297,429,581,419,36,942,423,150.41,23.4,22.760000000000005
159,204,4,488,965,852,901,179.19,37.61,38.63999999999999
637,522,444,572,972,949,734,146.44,19.13,21.959999999999987
227,33,763,467,856,771,678,144.45,26.69,26.399999999999988
765,531,986,295,556,349,911,136.36,23.13,23.799999999999997
232,882,69,878,602,994,293,116.99,17.56,17.360000000000003
122,829,250,46,35,925,822,146.91,21.62,21.160000000000004
710,524,946,203,918,904,921,119.61,16.66,16.999999999999996
440,590,50,13,492,763,123,163.38,35.52,38.519999999999975
175,515,307,244,678,20,537,169.3,27.62,30.19999999999999
549,423,54,961,934,626,116,149.9,21.6,21.840000000000003
349,128,258,995,882,553,488,134.92,17.1,17.400000000000002
831,801,62,360,226,202,125,154.69,26.66,27.72
547,908,836,122,175,245,810,131.85,22.72,22.199999999999992
280,943,910,825,131,843,942,115.77,16.53,17.23999999999999
7,499,643,584,883,409,51,176.26,40.13,42.399999999999984
774,277,254,275,632,539,532,161.29,25.16,24.039999999999996
433,52,484,330,795,839,1,151.74,18.96,19.8
877,56,793,129,47,127,51,168.09,28.01,29.080000000000005
70,494,998,33,874,729,88,156.61,26.53,26.359999999999992
527,514,501,323,160,322,73,155.91,29.14,31.959999999999983
359,395,662,398,600,311,369,147.85,21.66,22.52
271,195,336,438,126,130,568,139.99,19.64,18.28
3,733,740,389,814,81,580,172.41,55.19,59.72000000000005
