n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
232,379,985,384,129,197,721,44,87,140,253,184.06,40.48,39.71999999999999
830,518,214,410,657,31,470,499,464,399,506,181.85,33.53,35.79999999999999
586,196,918,850,412,91,496,239,777,20,717,168.86,35.91,35.68
273,532,417,485,923,933,388,743,116,678,264,157.69,25.9,26.040000000000006
99,833,64,395,635,849,386,110,676,59,346,182.03,31.43,31.680000000000003
240,707,88,509,925,665,529,923,212,595,827,172.92,38.35,37.8
145,621,65,552,968,38,500,718,198,151,968,154.51,31.62,32.88
880,592,467,746,598,902,455,292,570,365,875,152.87,26.94,28.479999999999993
899,436,138,162,782,615,99,544,706,321,718,158.97,26.14,27.240000000000002
365,972,659,863,506,515,638,202,316,153,364,176.82,33.21,34.480000000000004
541,291,522,672,73,827,924,877,519,934,718,152.47,27.47,27.279999999999994
558,225,352,249,929,12,302,351,225,273,34,177.31,35.34,42.04
433,260,385,305,854,722,912,426,179,673,405,173.24,28.31,29.959999999999994
119,170,954,679,872,998,26,206,996,784,164,160.6,32.93,33.12000000000001
307,119,13,815,782,389,350,856,174,582,446,191.93,36.75,36.96000000000001
926,237,142,419,577,456,416,427,82,602,71,160.55,34.61,33.199999999999996
295,734,97,34,87,679,109,782,533,539,368,179.69,38.21,39.64
157,827,958,517,499,725,152,618,64,194,17,189.68,38.01,41.11999999999999
934,143,348,395,674,587,123,761,306,359,333,176.09,32.66,33.87999999999999
988,374,3,661,855,510,215,62,896,632,33,190.29,70.79,72.24000000000005
904,988,889,777,827,836,593,176,182,345,993,160.77,24.43,26.080000000000002
441,452,123,85,205,619,229,509,830,484,809,169.31,31.62,31.880000000000006
158,390,124,111,594,738,463,663,129,736,450,184.51,40.55,45.839999999999975
526,742,92,732,950,482,577,403,836,369,466,175.14,29.93,29.919999999999995
230,52,202,50,456,114,110,216,742,4,725,194.7,53.38,55.48
615,626,928,23,670,372,849,442,540,95,991,172.54,35.4,36.760000000000005
766,773,614,514,838,722,582,205,513,234,331,164.57,28.2,28.2
538,393,761,532,662,200,6,296,627,303,930,196.56,46.88,51.19999999999998
81,761,328,949,928,412,229,647,303,81,560,151.57,25.86,32.68
429,762,378,826,964,758,870,328,528,309,640,139.09,24.27,24.24
851,980,365,802,916,302,667,866,111,200,496,158.19,28.09,26.91999999999999
378,387,981,599,867,940,319,210,297,406,627,163.42,30.99,30.799999999999994
392,862,941,700,536,958,707,745,364,840,692,170.83,29.43,28.159999999999993
619,599,370,689,437,200,501,842,541,519,858,138.26,25.04,24.720000000000002
83,275,167,70,510,750,887,277,429,798,119,181.9,33.16,34.160000000000004
639,849,844,280,298,280,823,845,516,275,283,165.66,24.44,28.239999999999988
909,647,421,250,370,251,988,253,809,516,765,144.63,24.74,25.600000000000005
468,255,239,832,830,610,537,849,200,376,508,187.72,34.92,34.63999999999999
799,108,812,114,397,86,670,174,798,580,437,179.46,33.97,34.91999999999999
942,46,805,931,140,22,624,195,701,270,89,197.96,39.59,42.040000000000006
97,473,470,889,685,927,289,947,579,94,129,167.67,29.98,30.640000000000004
621,366,885,668,67,327,809,39,855,941,85,180.59,40.08,41.48
879,140,669,823,375,848,76,834,236,742,37,154.9,28.72,29.800000000000004
614,809,326,227,303,761,366,990,334,67,532,163.06,31.15,32.67999999999999
921,116,938,738,624,356,444,163,160,261,914,178.05,36.64,36.64
398,152,441,745,800,66,102,547,227,84,300,192.33,37.69,40.68000000000001
947,180,345,767,203,111,968,52,58,569,805,192.46,37.61,39.639999999999986
753,181,844,174,572,654,334,302,903,248,753,159.89,27.38,30.720000000000002
512,490,113,576,735,958,84,140,953,767,135,189.81,34.8,35.08000000000001
230,334,223,417,178,173,138,780,450,62,711,177.81,32.41,33.48
908,459,599,683,628,294,424,833,958,447,592,165.91,30.59,31.23999999999999
703,918,754,944,380,708,577,727,501,889,375,160.15,28.54,30.559999999999995
752,864,798,540,191,316,272,696,968,487,853,154.34,28.1,28.519999999999992
130,859,857,283,511,650,994,518,546,807,959,166.57,31.63,32.719999999999985
524,296,826,222,582,539,400,785,138,844,500,155.83,26.9,26.76
662,487,127,298,403,32,35,889,380,518,967,191.78,32.71,33.36000000000001
303,355,384,715,28,636,146,850,704,14,81,195.11,48.48,51.72
847,189,459,593,970,130,786,987,861,435,577,135.98,21.44,22.24
645,592,988,898,110,381,514,40,615,732,671,171.91,33.62,34.36
377,366,108,969,327,665,104,488,863,173,661,157.93,29.03,29.520000000000007
241,488,373,590,354,955,380,771,827,439,383,160.87,28.56,28.879999999999995
760,643,686,39,752,144,951,726,678,911,666,187.0,37.77,39.83999999999999
320,62,33,982,238,522,369,495,375,487,574,183.73,35.4,38.12
177,308,142,662,272,804,23,802,451,759,294,182.48,42.7,42.95999999999998
598,700,267,465,861,303,296,412,880,509,457,141.63,28.66,28.79999999999999
672,644,91,511,919,669,449,349,139,592,994,141.08,24.28,24.76
754,110,370,734,614,682,467,370,481,586,392,147.5,20.01,22.32
208,559,535,726,604,177,800,149,516,842,35,174.29,30.17,31.599999999999994
90,561,812,681,777,318,222,150,651,410,259,170.36,36.7,35.39999999999999
970,902,818,202,979,118,14,37,453,735,848,193.65,43.27,46.16
216,324,321,28,5,753,17,755,131,589,309,187.17,55.88,64.23999999999997
655,318,11,45,832,218,336,324,875,95,424,181.73,42.77,45.48
240,933,867,0,890,697,98,528,523,207,493,180.14,48.6,49.519999999999996
938,774,734,838,431,927,114,435,518,151,76,176.02,32.82,33.64
149,673,726,797,974,805,680,722,354,958,611,154.88,24.31,24.600000000000005
446,672,51,259,419,710,679,203,28,291,65,188.81,35.91,39.71999999999999
788,499,322,712,165,230,56,406,847,709,316,156.42,26.96,26.999999999999996
269,315,534,283,617,22,415,813,213,720,709,169.75,32.24,33.08
711,717,216,193,114,826,790,670,887,958,798,159.32,24.67,25.720000000000006
506,159,732,844,322,244,669,928,84,445,354,174.87,38.85,39.32
914,518,844,906,562,700,510,930,474,890,627,154.3,26.6,26.84
994,373,632,140,631,169,480,99,226,531,815,161.27,29.54,30.320000000000007
344,625,968,165,568,245,964,226,435,740,692,160.99,24.65,25.400000000000006
611,941,205,345,704,131,576,792,272,73,455,161.24,31.99,33.87999999999998
