n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
82,38,101,166,12,34.31,15.67,15.88
18,137,24,93,149,34.96,16.96,17.840000000000003
14,129,54,9,22,38.91,20.24,21.280000000000005
111,107,17,61,23,34.25,16.58,16.68
141,108,15,144,31,32.4,14.05,13.360000000000003
57,161,160,149,15,29.02,12.41,12.280000000000001
147,149,101,12,56,34.52,13.69,14.600000000000001
11,142,34,74,107,33.79,14.19,15.280000000000005
36,138,30,146,78,30.34,14.87,14.16
143,174,46,26,148,33.06,12.8,12.719999999999999
146,163,48,95,24,31.41,12.23,12.72
140,182,16,144,15,30.31,13.2,12.8
158,52,127,174,136,27.23,10.32,11.040000000000003
109,198,80,119,149,28.04,12.84,12.96
116,92,76,63,46,27.67,12.16,12.280000000000003
178,199,62,20,147,32.72,14.18,14.520000000000003
76,134,126,87,186,29.04,11.95,12.36
114,73,155,18,30,33.18,18.09,18.080000000000005
131,107,42,193,87,30.78,10.9,11.200000000000001
38,125,107,10,171,33.84,15.04,15.000000000000002
19,195,142,146,80,32.78,13.04,13.600000000000001
87,177,89,152,127,26.94,13.17,13.280000000000001
148,116,17,23,69,36.31,16.66,17.080000000000002
121,178,170,16,15,31.86,12.83,13.8
187,179,79,165,147,24.28,9.86,10.440000000000001
174,114,72,183,98,32.95,12.01,12.840000000000002
171,88,5,118,90,29.38,13.74,14.320000000000004
43,156,29,126,15,33.08,13.36,13.880000000000003
55,196,73,33,189,29.04,13.08,13.2
63,101,100,127,20,32.65,13.81,14.160000000000004
42,114,102,140,71,28.08,12.46,13.120000000000001
35,110,140,71,180,27.53,12.19,12.0
106,91,174,97,59,26.04,10.65,10.8
38,21,45,38,59,28.31,12.22,15.2
168,59,3,124,150,39.07,22.8,23.919999999999998
46,67,72,1,37,26.88,11.89,12.879999999999999
107,136,94,156,144,24.74,9.54,9.8
81,32,176,131,158,28.6,13.24,12.96
167,173,189,13,116,33.27,13.57,13.600000000000003
199,174,143,100,101,20.24,8.92,9.120000000000001
102,100,26,123,162,24.7,11.77,11.76
102,15,48,17,53,34.71,14.34,16.0
112,41,28,87,153,33.74,14.71,15.240000000000002
13,26,0,145,38,39.46,22.58,22.959999999999997
137,25,93,157,6,36.78,20.77,20.360000000000003
18,53,157,96,38,34.15,17.45,18.880000000000003
162,64,88,154,93,30.58,11.53,12.360000000000001
121,31,29,124,119,31.68,12.22,12.760000000000003
122,123,79,21,36,34.23,14.06,14.080000000000002
26,191,87,189,67,28.22,11.4,11.84
122,177,41,132,5,35.4,15.51,17.040000000000003
52,135,92,37,176,24.85,11.2,11.16
139,6,194,135,76,32.74,16.22,15.920000000000002
164,23,178,66,132,32.51,13.49,13.680000000000001
93,42,91,197,57,34.12,11.98,11.840000000000002
136,138,199,128,84,22.58,10.36,10.32
162,57,156,194,49,26.51,11.5,11.56
61,102,189,58,51,28.55,12.2,12.800000000000002
132,126,91,187,7,36.33,15.37,16.480000000000004
7,71,120,66,49,34.43,15.83,16.16
177,154,88,114,185,26.78,12.03,12.120000000000003
89,93,20,56,26,39.18,17.99,18.840000000000003
58,120,50,86,52,25.65,12.52,11.96
123,159,156,0,122,36.75,16.99,18.28
167,88,164,21,169,29.87,12.42,12.520000000000003
30,99,182,192,51,29.02,13.28,12.92
122,45,111,162,85,29.68,12.07,11.880000000000003
22,184,101,118,102,26.07,12.08,12.120000000000001
190,21,185,40,43,29.63,12.53,12.600000000000001
32,7,38,151,119,34.17,15.42,16.520000000000003
167,37,156,152,121,24.98,10.21,10.520000000000001
168,89,39,140,140,30.35,11.72,13.72
33,5,3,185,166,38.78,23.99,25.359999999999992
26,134,191,35,111,33.4,14.17,14.88
49,54,7,64,54,34.3,14.79,19.440000000000005
74,128,61,195,150,32.02,13.77,12.680000000000001
83,66,139,107,33,27.83,12.77,12.36
15,189,90,117,169,30.73,12.57,12.52
149,132,107,128,33,28.58,12.93,13.64
136,38,134,130,4,39.13,17.89,19.4
112,198,46,155,1,31.41,11.31,11.440000000000001
198,38,44,36,121,38.17,16.11,17.28
158,185,30,142,15,34.98,12.23,13.36
83,174,132,135,142,30.04,12.26,12.16
123,198,27,143,14,35.94,16.92,16.720000000000006
63,48,70,10,197,35.78,14.61,15.360000000000005
25,129,115,143,7,31.01,15.15,15.200000000000003
194,16,113,83,156,23.4,11.23,10.680000000000001
129,155,131,51,177,31.46,12.09,13.160000000000002
70,115,130,136,122,21.82,9.49,9.16
129,63,178,133,66,25.39,11.33,11.760000000000002
143,51,114,35,106,21.67,9.82,9.84
31,100,113,80,18,29.55,14.97,14.920000000000002
171,61,109,18,54,34.03,17.2,16.840000000000003
171,77,31,198,39,31.21,12.58,12.88
183,164,169,93,36,30.23,14.17,14.880000000000004
64,35,119,56,191,28.63,10.82,11.72
24,101,124,41,170,32.35,13.85,14.200000000000003
57,41,180,110,131,34.27,13.5,13.520000000000001
103,86,107,50,91,27.09,11.42,11.68
